gene_id	present_in_unfiltered_biomart	chromosomes_or_scaffolds	any_main_chromosome	all_non_main_chromosome	qc_class
ENSG00000211656	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211657	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211658	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211659	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211660	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211661	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211662	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211663	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211664	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211665	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211666	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211667	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211668	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211669	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211670	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211672	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211673	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211674	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211675	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211676	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211677	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211678	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211679	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211680	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211681	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211682	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211684	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211685	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211687	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211688	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211689	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211690	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211691	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211692	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211693	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211694	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211695	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211696	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211697	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211698	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211699	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211701	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211706	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211707	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211710	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211713	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211714	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211715	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211716	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211717	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211720	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211721	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211724	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211725	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211727	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211728	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211731	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211734	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211745	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211746	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211747	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211749	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211750	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211751	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211752	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211753	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211764	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211765	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211766	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211767	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211768	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211769	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211770	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211771	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211772	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211776	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211777	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211778	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211779	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211780	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211781	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211782	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211783	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211784	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211785	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211786	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211787	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211788	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211789	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211790	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211791	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211792	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211793	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211794	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211795	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211796	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211797	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211798	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211799	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211800	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211801	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211802	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211803	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211804	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211805	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211806	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211807	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211808	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211809	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211810	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211812	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211813	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211815	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211816	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211817	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211818	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211819	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211820	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211821	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211825	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211826	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211827	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211828	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211829	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211831	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211832	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211833	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211834	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211835	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211836	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211837	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211838	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211839	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211840	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211841	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211842	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211843	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211844	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211845	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211846	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211847	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211848	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211849	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211850	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211851	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211854	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211855	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211856	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211857	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211858	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211859	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211860	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211861	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211862	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211863	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211864	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211865	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211866	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211867	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211868	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211869	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211870	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211871	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211872	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211873	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211875	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211876	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211877	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211878	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211879	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211880	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211882	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211883	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211884	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211885	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211886	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211887	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211888	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211890	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211891	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211892	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211893	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211895	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211896	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211897	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211898	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211899	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211900	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211904	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211905	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211907	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211909	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211911	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211912	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211914	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211915	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211917	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211918	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211920	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211921	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211923	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211924	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211925	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211928	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211930	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211931	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211933	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211934	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211935	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211937	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211938	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211941	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211942	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211943	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211944	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211945	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211946	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211947	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211949	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211950	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211951	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211952	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211955	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211956	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211957	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211958	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211959	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211961	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211962	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211964	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211965	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211966	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211967	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211968	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211970	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211972	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211973	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211974	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211976	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000211979	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000212907	True	MT	False	True	present_in_unfiltered_biomart_but_non_main_chromosome
ENSG00000223350	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000223648	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000223997	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000224041	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000224373	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000224650	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000225523	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000225698	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000225825	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
ENSG00000226660	False	not_present_in_unfiltered_biomart	False	False	absent_from_unfiltered_biomart
