uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
Q96LS8	CB048_HUMAN	Putative uncharacterized protein C2orf48 OS=Homo sapiens OX=9606 GN=C2orf48 PE=5 SV=1	159	non-HK		not_mapped_to_ensg	sp	CB048_HUMAN	Swiss-Prot reviewed
Q5SQ80	A20A2_HUMAN	Putative ankyrin repeat domain-containing protein 20A2 OS=Homo sapiens OX=9606 GN=ANKRD20A2P PE=5 SV=1	823	non-HK		not_mapped_to_ensg	sp	A20A2_HUMAN	Swiss-Prot reviewed
Q6UXQ4	CB066_HUMAN	Uncharacterized protein C2orf66 OS=Homo sapiens OX=9606 GN=C2orf66 PE=3 SV=1	117	non-HK		not_mapped_to_ensg	sp	CB066_HUMAN	Swiss-Prot reviewed
Q7RTT3	SSX9_HUMAN	Putative protein SSX9 OS=Homo sapiens OX=9606 GN=SSX9P PE=5 SV=1	188	non-HK		not_mapped_to_ensg	sp	SSX9_HUMAN	Swiss-Prot reviewed
Q9H6N6	MYH16_HUMAN	Putative uncharacterized protein MYH16 OS=Homo sapiens OX=9606 GN=MYH16 PE=1 SV=2	1097	non-HK		not_mapped_to_ensg	sp	MYH16_HUMAN	Swiss-Prot reviewed
A6NCF6	MA13P_HUMAN	Putative MAGE domain-containing protein MAGEA13P OS=Homo sapiens OX=9606 GN=MAGEA13P PE=5 SV=1	341	non-HK		not_mapped_to_ensg	sp	MA13P_HUMAN	Swiss-Prot reviewed
Q49AS3	L37A5_HUMAN	Putative protein LRRC37A5P OS=Homo sapiens OX=9606 GN=LRRC37A5P PE=5 SV=3	106	non-HK		not_mapped_to_ensg	sp	L37A5_HUMAN	Swiss-Prot reviewed
Q8IWN6	F223A_HUMAN	Protein FAM223A OS=Homo sapiens OX=9606 GN=FAM223A PE=2 SV=1	122	non-HK		not_mapped_to_ensg	sp	F223A_HUMAN	Swiss-Prot reviewed
Q9P2X8	CI027_HUMAN	Putative uncharacterized protein encoded by LINC00474 OS=Homo sapiens OX=9606 GN=LINC00474 PE=5 SV=2	69	non-HK		not_mapped_to_ensg	sp	CI027_HUMAN	Swiss-Prot reviewed
Q9UN81	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein OS=Homo sapiens OX=9606 GN=L1RE1 PE=1 SV=1	338	non-HK		not_mapped_to_ensg	sp	LORF1_HUMAN	Swiss-Prot reviewed
P0DP07	HV431_HUMAN	Immunoglobulin heavy variable 4-31 OS=Homo sapiens OX=9606 GN=IGHV4-31 PE=1 SV=1	118	non-HK		not_mapped_to_ensg	sp	HV431_HUMAN	Swiss-Prot reviewed
Q8MH63	LAT1N_HUMAN	Putative L-type amino acid transporter 1-like protein MLAS OS=Homo sapiens OX=9606 GN=SLC7A5P1 PE=5 SV=1	180	non-HK		not_mapped_to_ensg	sp	LAT1N_HUMAN	Swiss-Prot reviewed
Q9BZS9	YG041_HUMAN	Putative uncharacterized protein PNAS-138 OS=Homo sapiens OX=9606 GN=PNAS-138 PE=5 SV=1	49	non-HK		not_mapped_to_ensg	sp	YG041_HUMAN	Swiss-Prot reviewed
Q9P1D8	YP008_HUMAN	Putative uncharacterized protein PRO2289 OS=Homo sapiens OX=9606 GN=PRO2289 PE=5 SV=1	64	non-HK		not_mapped_to_ensg	sp	YP008_HUMAN	Swiss-Prot reviewed
A6NIE6	RN3P2_HUMAN	Putative RRN3-like protein RRN3P2 OS=Homo sapiens OX=9606 GN=RRN3P2 PE=5 SV=3	340	non-HK		not_mapped_to_ensg	sp	RN3P2_HUMAN	Swiss-Prot reviewed
P0DN81	O13C7_HUMAN	Olfactory receptor 13C7 OS=Homo sapiens OX=9606 GN=OR13C7 PE=3 SV=1	318	non-HK		not_mapped_to_ensg	sp	O13C7_HUMAN	Swiss-Prot reviewed
Q58FF8	H90B2_HUMAN	Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2	381	non-HK		not_mapped_to_ensg	sp	H90B2_HUMAN	Swiss-Prot reviewed
Q6ZRV3	CC074_HUMAN	Putative uncharacterized protein encoded by LINC00696 OS=Homo sapiens OX=9606 GN=LINC00696 PE=5 SV=1	163	non-HK		not_mapped_to_ensg	sp	CC074_HUMAN	Swiss-Prot reviewed
Q9BZA0	TTY10_HUMAN	Putative transcript Y 10 protein OS=Homo sapiens OX=9606 GN=TTTY10 PE=5 SV=1	68	non-HK		not_mapped_to_ensg	sp	TTY10_HUMAN	Swiss-Prot reviewed
Q6JHZ5	Q6JHZ5_HUMAN	NS5ATP13TP1 OS=Homo sapiens OX=9606 PE=2 SV=1	121	non-HK		not_mapped_to_ensg	tr	Q6JHZ5_HUMAN	TrEMBL unreviewed
Q96R72	OR4K3_HUMAN	Olfactory receptor 4K3 OS=Homo sapiens OX=9606 GN=OR4K3 PE=3 SV=3	315	non-HK		not_mapped_to_ensg	sp	OR4K3_HUMAN	Swiss-Prot reviewed
P0DY57	ARTEL_HUMAN	Putative protein encoded by LncRNA PSR OS=Homo sapiens OX=9606 GN=RASAL2-AS1 PE=5 SV=1	106	non-HK		not_mapped_to_ensg	sp	ARTEL_HUMAN	Swiss-Prot reviewed
Q9BTD1	SHAS3_HUMAN	Putative uncharacterized protein SHANK2-AS3 OS=Homo sapiens OX=9606 GN=SHANK2-AS3 PE=5 SV=2	123	non-HK		not_mapped_to_ensg	sp	SHAS3_HUMAN	Swiss-Prot reviewed
Q9HBF5	ST20_HUMAN	Suppressor of tumorigenicity 20 protein OS=Homo sapiens OX=9606 GN=ST20 PE=2 SV=2	79	non-HK		not_mapped_to_ensg	sp	ST20_HUMAN	Swiss-Prot reviewed
A0A5K1VDZ0	A0A5K1VDZ0_HUMAN	KIR2DL1 protein OS=Homo sapiens OX=9606 GN=KIR2DL1 PE=2 SV=1	331	non-HK		not_mapped_to_ensg	tr	A0A5K1VDZ0_HUMAN	TrEMBL unreviewed
E5RJ46	CH087_HUMAN	Putative uncharacterized protein LINC02906 OS=Homo sapiens OX=9606 GN=LINC02906 PE=5 SV=1	101	non-HK		not_mapped_to_ensg	sp	CH087_HUMAN	Swiss-Prot reviewed
P0C6P0	BCL8_HUMAN	Putative protein BCL8 OS=Homo sapiens OX=9606 GN=NBEAP1 PE=5 SV=1	100	non-HK		not_mapped_to_ensg	sp	BCL8_HUMAN	Swiss-Prot reviewed
P0CJ87	DU4L4_HUMAN	Double homeobox protein 4-like protein 4 OS=Homo sapiens OX=9606 GN=DUX4L4 PE=3 SV=1	422	non-HK		not_mapped_to_ensg	sp	DU4L4_HUMAN	Swiss-Prot reviewed
P0C7V9	ME15P_HUMAN	Putative methyltransferase-like protein 15P1 OS=Homo sapiens OX=9606 GN=METTL15P1 PE=5 SV=1	234	non-HK		not_mapped_to_ensg	sp	ME15P_HUMAN	Swiss-Prot reviewed
Q14602	ID2B_HUMAN	Putative DNA-binding protein inhibitor ID-2B OS=Homo sapiens OX=9606 GN=ID2B PE=5 SV=1	36	non-HK		not_mapped_to_ensg	sp	ID2B_HUMAN	Swiss-Prot reviewed
Q5VZR4	S71A3_HUMAN	Putative solute carrier family 71 member 3 OS=Homo sapiens OX=9606 GN=SLC71A3P PE=5 SV=2	150	non-HK		not_mapped_to_ensg	sp	S71A3_HUMAN	Swiss-Prot reviewed
Q63HN1	S31F2_HUMAN	Putative protein SPATA31F2P OS=Homo sapiens OX=9606 GN=SPATA31F2P PE=5 SV=1	556	non-HK		not_mapped_to_ensg	sp	S31F2_HUMAN	Swiss-Prot reviewed
Q99440	CD006_HUMAN	Uncharacterized protein encoded by LINC01587 OS=Homo sapiens OX=9606 GN=LINC01587 PE=1 SV=1	93	non-HK		not_mapped_to_ensg	sp	CD006_HUMAN	Swiss-Prot reviewed
Q9Y442	CV024_HUMAN	Putative uncharacterized protein YWHAH-AS1 OS=Homo sapiens OX=9606 GN=YWHAH-AS1 PE=5 SV=1	160	non-HK		not_mapped_to_ensg	sp	CV024_HUMAN	Swiss-Prot reviewed
P59020	DSCR9_HUMAN	Down syndrome critical region protein 9 OS=Homo sapiens OX=9606 GN=DSCR9 PE=2 SV=1	149	non-HK		not_mapped_to_ensg	sp	DSCR9_HUMAN	Swiss-Prot reviewed
Q96PT3	DUX5_HUMAN	Double homeobox protein 5 OS=Homo sapiens OX=9606 GN=DUX5 PE=2 SV=1	197	non-HK		not_mapped_to_ensg	sp	DUX5_HUMAN	Swiss-Prot reviewed
Q9Y4M8	CH071_HUMAN	Putative uncharacterized protein encoded by LINC00588 OS=Homo sapiens OX=9606 GN=LINC00588 PE=5 SV=1	146	non-HK		not_mapped_to_ensg	sp	CH071_HUMAN	Swiss-Prot reviewed
P51861	CDR1_HUMAN	Cerebellar degeneration-related antigen 1 OS=Homo sapiens OX=9606 GN=CDR1 PE=1 SV=2	262	non-HK		not_mapped_to_ensg	sp	CDR1_HUMAN	Swiss-Prot reviewed
Q6DN03	H2B2C_HUMAN	Putative histone H2B type 2-C OS=Homo sapiens OX=9606 GN=H2BC20P PE=5 SV=3	193	non-HK		not_mapped_to_ensg	sp	H2B2C_HUMAN	Swiss-Prot reviewed
Q6ZS02	DMP46_HUMAN	Putative GED domain-containing protein DNM1P46 OS=Homo sapiens OX=9606 GN=DNM1P46 PE=5 SV=1	220	non-HK		not_mapped_to_ensg	sp	DMP46_HUMAN	Swiss-Prot reviewed
Q8NGU1	OR9A1_HUMAN	Olfactory receptor 9A1 OS=Homo sapiens OX=9606 GN=OR9A1P PE=2 SV=3	314	non-HK		not_mapped_to_ensg	sp	OR9A1_HUMAN	Swiss-Prot reviewed
Q9NQF3	SERHL_HUMAN	Serine hydrolase-like protein OS=Homo sapiens OX=9606 GN=SERHL PE=5 SV=1	203	non-HK		not_mapped_to_ensg	sp	SERHL_HUMAN	Swiss-Prot reviewed
A3QJZ6	PRA22_HUMAN	PRAME family member 22 OS=Homo sapiens OX=9606 GN=PRAMEF22 PE=3 SV=3	481	non-HK		not_mapped_to_ensg	sp	PRA22_HUMAN	Swiss-Prot reviewed
Q1RN00	N3AS1_HUMAN	Uncharacterized protein NECTIN3-AS1 OS=Homo sapiens OX=9606 GN=NECTIN3-AS1 PE=1 SV=1	199	non-HK		not_mapped_to_ensg	sp	N3AS1_HUMAN	Swiss-Prot reviewed
Q495Z4	ASAS1_HUMAN	Putative uncharacterized protein ASB16-AS1 OS=Homo sapiens OX=9606 GN=ASB16-AS1 PE=5 SV=2	193	non-HK		not_mapped_to_ensg	sp	ASAS1_HUMAN	Swiss-Prot reviewed
Q5T2Q4	CCYL2_HUMAN	Cyclin-Y-like protein 2 OS=Homo sapiens OX=9606 GN=CCNYL2 PE=3 SV=2	361	non-HK		not_mapped_to_ensg	sp	CCYL2_HUMAN	Swiss-Prot reviewed
Q96NW7	LRRC7_HUMAN	Leucine-rich repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=LRRC7 PE=1 SV=1	1537	non-HK		not_mapped_to_ensg	sp	LRRC7_HUMAN	Swiss-Prot reviewed
A6NJY1	SL9P1_HUMAN	Putative SLC9B1-like protein SLC9B1P1 OS=Homo sapiens OX=9606 GN=SLC9B1P1 PE=5 SV=4	282	non-HK		not_mapped_to_ensg	sp	SL9P1_HUMAN	Swiss-Prot reviewed
P0CJ71	HMN4_HUMAN	Humanin-like 4 OS=Homo sapiens OX=9606 GN=MTRNR2L4 PE=2 SV=1	28	non-HK		not_mapped_to_ensg	sp	HMN4_HUMAN	Swiss-Prot reviewed
Q30KQ8	DB112_HUMAN	Beta-defensin 112 OS=Homo sapiens OX=9606 GN=DEFB112 PE=1 SV=1	113	non-HK		not_mapped_to_ensg	sp	DB112_HUMAN	Swiss-Prot reviewed
Q6S8J7	POTEA_HUMAN	POTE ankyrin domain family member A OS=Homo sapiens OX=9606 GN=POTEA PE=2 SV=1	498	non-HK		not_mapped_to_ensg	sp	POTEA_HUMAN	Swiss-Prot reviewed
Q6UXR8	YS001_HUMAN	Putative uncharacterized protein UNQ6493/PRO21345 OS=Homo sapiens OX=9606 GN=UNQ6493/PRO21345 PE=5 SV=1	122	non-HK		not_mapped_to_ensg	sp	YS001_HUMAN	Swiss-Prot reviewed
Q86Y28	BAGE4_HUMAN	B melanoma antigen 4 OS=Homo sapiens OX=9606 GN=BAGE4 PE=2 SV=1	39	non-HK		not_mapped_to_ensg	sp	BAGE4_HUMAN	Swiss-Prot reviewed
Q309B1	TR16L_HUMAN	Tripartite motif-containing protein 16-like protein OS=Homo sapiens OX=9606 GN=TRIM16L PE=1 SV=3	348	non-HK		not_mapped_to_ensg	sp	TR16L_HUMAN	Swiss-Prot reviewed
Q86U02	CN165_HUMAN	Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens OX=9606 GN=LINC00596 PE=5 SV=1	117	non-HK		not_mapped_to_ensg	sp	CN165_HUMAN	Swiss-Prot reviewed
Q8NHP1	ARK74_HUMAN	Aflatoxin B1 aldehyde reductase member 4 OS=Homo sapiens OX=9606 GN=AKR7L PE=1 SV=7	331	non-HK		not_mapped_to_ensg	sp	ARK74_HUMAN	Swiss-Prot reviewed
Q96FQ7	CR018_HUMAN	Putative uncharacterized protein encoded by LINC00526 OS=Homo sapiens OX=9606 GN=LINC00526 PE=5 SV=1	95	non-HK		not_mapped_to_ensg	sp	CR018_HUMAN	Swiss-Prot reviewed
Q9WJR5	POK19_HUMAN	Endogenous retrovirus group K member 19 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-19 PE=2 SV=2	959	non-HK		not_mapped_to_ensg	sp	POK19_HUMAN	Swiss-Prot reviewed
P0C7U9	FA87A_HUMAN	Protein FAM87A OS=Homo sapiens OX=9606 GN=FAM87A PE=2 SV=1	286	non-HK		not_mapped_to_ensg	sp	FA87A_HUMAN	Swiss-Prot reviewed
Q5SY68	S1A7B_HUMAN	Protein S100-A7-like 2 OS=Homo sapiens OX=9606 GN=S100A7L2 PE=1 SV=1	101	non-HK		not_mapped_to_ensg	sp	S1A7B_HUMAN	Swiss-Prot reviewed
Q6UXR6	YI004_HUMAN	Putative uncharacterized protein UNQ6494/PRO21346 OS=Homo sapiens OX=9606 GN=UNQ6494/PRO21346 PE=5 SV=1	183	non-HK		not_mapped_to_ensg	sp	YI004_HUMAN	Swiss-Prot reviewed
A4D2B8	PM2P1_HUMAN	Putative postmeiotic segregation increased 2-like protein 1 OS=Homo sapiens OX=9606 GN=PMS2P1 PE=5 SV=1	440	non-HK		not_mapped_to_ensg	sp	PM2P1_HUMAN	Swiss-Prot reviewed
Q6UXP3	TM14E_HUMAN	Transmembrane protein 14EP OS=Homo sapiens OX=9606 GN=TMEM14EP PE=5 SV=1	125	non-HK		not_mapped_to_ensg	sp	TM14E_HUMAN	Swiss-Prot reviewed
Q9UEU5	GGE2D_HUMAN	G antigen 2D OS=Homo sapiens OX=9606 GN=GAGE2D PE=1 SV=1	116	non-HK		not_mapped_to_ensg	sp	GGE2D_HUMAN	Swiss-Prot reviewed
Q9UQG0	POK11_HUMAN	Endogenous retrovirus group K member 11 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-11 PE=1 SV=2	969	non-HK		not_mapped_to_ensg	sp	POK11_HUMAN	Swiss-Prot reviewed
P0C7N1	OR8U8_HUMAN	Olfactory receptor 8U8 OS=Homo sapiens OX=9606 GN=OR8U8 PE=3 SV=1	319	non-HK		not_mapped_to_ensg	sp	OR8U8_HUMAN	Swiss-Prot reviewed
Q92928	RAB1C_HUMAN	Putative Ras-related protein Rab-1C OS=Homo sapiens OX=9606 GN=RAB1C PE=5 SV=2	201	non-HK		not_mapped_to_ensg	sp	RAB1C_HUMAN	Swiss-Prot reviewed
Q96IX9	A26L1_HUMAN	Putative ankyrin repeat domain-containing protein 26-like 1 OS=Homo sapiens OX=9606 GN=ANKRD36BP1 PE=5 SV=1	119	non-HK		not_mapped_to_ensg	sp	A26L1_HUMAN	Swiss-Prot reviewed
A8MUL3	ADAS1_HUMAN	Putative uncharacterized protein ADARB2-AS1 OS=Homo sapiens OX=9606 GN=ADARB2-AS1 PE=5 SV=2	147	non-HK		not_mapped_to_ensg	sp	ADAS1_HUMAN	Swiss-Prot reviewed
Q8N812	CL076_HUMAN	Uncharacterized protein C12orf76 OS=Homo sapiens OX=9606 GN=C12orf76 PE=2 SV=1	135	non-HK		not_mapped_to_ensg	sp	CL076_HUMAN	Swiss-Prot reviewed
Q9NSQ0	RRP7B_HUMAN	Putative ribosomal RNA-processing protein 7 homolog B OS=Homo sapiens OX=9606 GN=RRP7BP PE=5 SV=1	103	non-HK		not_mapped_to_ensg	sp	RRP7B_HUMAN	Swiss-Prot reviewed
A1A4F0	S66AL_HUMAN	Putative uncharacterized protein SLC66A1LP OS=Homo sapiens OX=9606 GN=SLC66A1LP PE=5 SV=2	135	non-HK		not_mapped_to_ensg	sp	S66AL_HUMAN	Swiss-Prot reviewed
A6NHM9	MOXD2_HUMAN	Putative DBH-like monooxygenase protein 2 OS=Homo sapiens OX=9606 GN=MOXD2P PE=5 SV=1	499	non-HK		not_mapped_to_ensg	sp	MOXD2_HUMAN	Swiss-Prot reviewed
O60756	BCE1_HUMAN	Putative protein BCE-1 OS=Homo sapiens OX=9606 GN=BCE1 PE=5 SV=1	84	non-HK		not_mapped_to_ensg	sp	BCE1_HUMAN	Swiss-Prot reviewed
P0DPF2	NBPFK_HUMAN	NBPF family member NBPF20 OS=Homo sapiens OX=9606 GN=NBPF20 PE=1 SV=1	5207	non-HK		not_mapped_to_ensg	sp	NBPFK_HUMAN	Swiss-Prot reviewed
Q8N8Z3	PRR26_HUMAN	Putative uncharacterized protein DIP2C-AS1 OS=Homo sapiens OX=9606 GN=DIP2C-AS1 PE=2 SV=1	221	non-HK		not_mapped_to_ensg	sp	PRR26_HUMAN	Swiss-Prot reviewed
Q969H9	DIRC1_HUMAN	Disrupted in renal carcinoma protein 1 OS=Homo sapiens OX=9606 GN=DIRC1 PE=2 SV=1	104	non-HK		not_mapped_to_ensg	sp	DIRC1_HUMAN	Swiss-Prot reviewed
Q96MC9	CA147_HUMAN	Putative uncharacterized protein IKBKE-AS1 OS=Homo sapiens OX=9606 GN=IKBKE-AS1 PE=5 SV=2	270	non-HK		not_mapped_to_ensg	sp	CA147_HUMAN	Swiss-Prot reviewed
Q9H3A6	Q9H3A6_HUMAN	PRO2179 OS=Homo sapiens OX=9606 PE=2 SV=1	140	non-HK		not_mapped_to_ensg	tr	Q9H3A6_HUMAN	TrEMBL unreviewed
E2RYF7	PBMU2_HUMAN	Protein PBMUCL2 OS=Homo sapiens OX=9606 GN=HCG22 PE=2 SV=1	251	non-HK		not_mapped_to_ensg	sp	PBMU2_HUMAN	Swiss-Prot reviewed
P0DP01	HV108_HUMAN	Immunoglobulin heavy variable 1-8 OS=Homo sapiens OX=9606 GN=IGHV1-8 PE=1 SV=1	117	non-HK		not_mapped_to_ensg	sp	HV108_HUMAN	Swiss-Prot reviewed
Q86TU6	CN070_HUMAN	Putative uncharacterized protein encoded by LINC00523 OS=Homo sapiens OX=9606 GN=LINC00523 PE=5 SV=1	105	non-HK		not_mapped_to_ensg	sp	CN070_HUMAN	Swiss-Prot reviewed
A6NKF1	SAC31_HUMAN	SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2	404	non-HK		not_mapped_to_ensg	sp	SAC31_HUMAN	Swiss-Prot reviewed
Q6UXT6	OR9H1_HUMAN	Olfactory receptor OR9H1 OS=Homo sapiens OX=9606 GN=OR9H1 PE=2 SV=1	308	non-HK		not_mapped_to_ensg	sp	OR9H1_HUMAN	Swiss-Prot reviewed
A0A5B9	TRBC2_HUMAN	T cell receptor beta constant 2 OS=Homo sapiens OX=9606 GN=TRBC2 PE=1 SV=2	178	non-HK		not_mapped_to_ensg	sp	TRBC2_HUMAN	Swiss-Prot reviewed
O43261	LEU1_HUMAN	Leukemia-associated protein 1 OS=Homo sapiens OX=9606 GN=DLEU1 PE=1 SV=2	78	non-HK		not_mapped_to_ensg	sp	LEU1_HUMAN	Swiss-Prot reviewed
P59539	T2R45_HUMAN	Taste receptor type 2 member 45 OS=Homo sapiens OX=9606 GN=TAS2R45 PE=2 SV=1	299	non-HK		not_mapped_to_ensg	sp	T2R45_HUMAN	Swiss-Prot reviewed
Q0P140	YA037_HUMAN	Putative uncharacterized protein HSD52 OS=Homo sapiens OX=9606 GN=HSD52 PE=5 SV=1	79	non-HK		not_mapped_to_ensg	sp	YA037_HUMAN	Swiss-Prot reviewed
Q538Z0	LUZP6_HUMAN	Leucine zipper protein 6 OS=Homo sapiens OX=9606 GN=LUZP6 PE=1 SV=1	58	non-HK		not_mapped_to_ensg	sp	LUZP6_HUMAN	Swiss-Prot reviewed
Q6ZS62	COLC1_HUMAN	Colorectal cancer-associated protein 1 OS=Homo sapiens OX=9606 GN=COLCA1 PE=2 SV=1	124	non-HK		not_mapped_to_ensg	sp	COLC1_HUMAN	Swiss-Prot reviewed
A0A0A0MT94	TJB22_HUMAN	T cell receptor beta joining 2-2 OS=Homo sapiens OX=9606 GN=TRBJ2-2 PE=4 SV=2	16	non-HK		not_mapped_to_ensg	sp	TJB22_HUMAN	Swiss-Prot reviewed
A6NJR5	SPDL3_HUMAN	Putative speedy protein-like protein 3 OS=Homo sapiens OX=9606 PE=5 SV=3	290	non-HK		not_mapped_to_ensg	sp	SPDL3_HUMAN	Swiss-Prot reviewed
A6NL46	YF016_HUMAN	Putative UPF0607 protein ENSP00000332738 OS=Homo sapiens OX=9606 PE=3 SV=3	340	non-HK		not_mapped_to_ensg	sp	YF016_HUMAN	Swiss-Prot reviewed
A6NNC1	P12LL_HUMAN	Putative POM121-like protein 1-like OS=Homo sapiens OX=9606 PE=5 SV=3	897	non-HK		not_mapped_to_ensg	sp	P12LL_HUMAN	Swiss-Prot reviewed
A8MV72	YH009_HUMAN	Putative UPF0607 protein ENSP00000382826 OS=Homo sapiens OX=9606 PE=5 SV=2	311	non-HK		not_mapped_to_ensg	sp	YH009_HUMAN	Swiss-Prot reviewed
A8MVM7	YD021_HUMAN	Putative uncharacterized protein ENSP00000382790 OS=Homo sapiens OX=9606 PE=5 SV=3	634	non-HK		not_mapped_to_ensg	sp	YD021_HUMAN	Swiss-Prot reviewed
F2Z398	LMO7D_HUMAN	LMO7 downstream neighbor protein OS=Homo sapiens OX=9606 GN=LMO7DN PE=2 SV=1	122	non-HK		not_mapped_to_ensg	sp	LMO7D_HUMAN	Swiss-Prot reviewed
Q5W150	YT011_HUMAN	Putative uncharacterized protein MGC163334 OS=Homo sapiens OX=9606 PE=1 SV=1	140	non-HK		not_mapped_to_ensg	sp	YT011_HUMAN	Swiss-Prot reviewed
Q6ZS92	YD022_HUMAN	Putative uncharacterized protein FLJ45721 OS=Homo sapiens OX=9606 PE=5 SV=2	163	non-HK		not_mapped_to_ensg	sp	YD022_HUMAN	Swiss-Prot reviewed
Q6ZSR6	YP007_HUMAN	Putative uncharacterized protein FLJ45256 OS=Homo sapiens OX=9606 PE=2 SV=3	202	non-HK		not_mapped_to_ensg	sp	YP007_HUMAN	Swiss-Prot reviewed
Q7Z5A4	PRS42_HUMAN	Putative serine protease 42 OS=Homo sapiens OX=9606 GN=PRSS42P PE=5 SV=1	293	non-HK		not_mapped_to_ensg	sp	PRS42_HUMAN	Swiss-Prot reviewed
Q86UQ8	NFE4_HUMAN	Transcription factor NF-E4 OS=Homo sapiens OX=9606 GN=NFE4 PE=1 SV=1	179	non-HK		not_mapped_to_ensg	sp	NFE4_HUMAN	Swiss-Prot reviewed
Q8N7R0	NANG2_HUMAN	Putative homeobox protein NANOG2 OS=Homo sapiens OX=9606 GN=NANOGP1 PE=5 SV=1	232	non-HK		not_mapped_to_ensg	sp	NANG2_HUMAN	Swiss-Prot reviewed
Q8N814	YG045_HUMAN	Putative uncharacterized protein FLJ40140 OS=Homo sapiens OX=9606 PE=5 SV=1	137	non-HK		not_mapped_to_ensg	sp	YG045_HUMAN	Swiss-Prot reviewed
Q8N976	YG039_HUMAN	Putative uncharacterized protein FLJ38264 OS=Homo sapiens OX=9606 PE=5 SV=1	141	non-HK		not_mapped_to_ensg	sp	YG039_HUMAN	Swiss-Prot reviewed
Q8N9P0	YF006_HUMAN	Putative uncharacterized protein FLJ36797 OS=Homo sapiens OX=9606 PE=5 SV=1	234	non-HK		not_mapped_to_ensg	sp	YF006_HUMAN	Swiss-Prot reviewed
Q8NF67	A2012_HUMAN	Putative ankyrin repeat domain-containing protein 20A12 OS=Homo sapiens OX=9606 GN=ANKRD20A12P PE=5 SV=3	263	non-HK		not_mapped_to_ensg	sp	A2012_HUMAN	Swiss-Prot reviewed
