uniprot_accession	entry_name	description	protein_length_aa	hk_status_protein_level	hk_source	gene_id	hk_status_gene_level	n_tissues_expressed	mean_nTPM_across_expressed_tissues	median_nTPM_across_expressed_tissues	breadth_group
Q96JG6	VPS50_HUMAN	Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3	964	non-HK		ENSG00000004766	non-HK	36	2.841666666666667	2.8	broad non-HK
O14558	HSPB6_HUMAN	Heat shock protein beta-6 OS=Homo sapiens OX=9606 GN=HSPB6 PE=1 SV=2	160	non-HK		ENSG00000004776	non-HK	36	314.2138888888889	101.4	broad non-HK
O14559	RHG33_HUMAN	Rho GTPase-activating protein 33 OS=Homo sapiens OX=9606 GN=ARHGAP33 PE=1 SV=2	1287	non-HK		ENSG00000004777	non-HK	36	15.333333333333334	10.2	broad non-HK
O14561	ACPM_HUMAN	Acyl carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAB1 PE=1 SV=3	156	HK	HRT Atlas	ENSG00000004779	HK	36	124.39444444444445	94.44999999999999	HK
Q16654	PDK4_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial OS=Homo sapiens OX=9606 GN=PDK4 PE=1 SV=1	411	non-HK		ENSG00000004799	non-HK	36	173.89722222222224	81.44999999999999	broad non-HK
Q86VW1	S22AG_HUMAN	Solute carrier family 22 member 16 OS=Homo sapiens OX=9606 GN=SLC22A16 PE=1 SV=1	577	non-HK		ENSG00000004809	non-HK	1	14.0	14.0	restricted non-HK
O75800	ZMY10_HUMAN	Zinc finger MYND domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZMYND10 PE=1 SV=2	440	non-HK		ENSG00000004838	non-HK	18	17.827777777777776	2.75	intermediate non-HK
Q2M3G0	ABCB5_HUMAN	ATP-binding cassette sub-family B member 5 OS=Homo sapiens OX=9606 GN=ABCB5 PE=1 SV=4	1257	non-HK		ENSG00000004846	non-HK	2	1.95	1.95	restricted non-HK
Q96QS3	ARX_HUMAN	Homeobox protein ARX OS=Homo sapiens OX=9606 GN=ARX PE=1 SV=1	562	non-HK		ENSG00000004848	non-HK	8	12.8	6.1	restricted non-HK
Q9UJS0	S2513_HUMAN	Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2	675	non-HK		ENSG00000004864	non-HK	36	10.230555555555556	7.55	broad non-HK
Q9NRC1	ST7_HUMAN	Suppressor of tumorigenicity 7 protein OS=Homo sapiens OX=9606 GN=ST7 PE=1 SV=1	585	non-HK		ENSG00000004866	non-HK	36	15.225000000000001	12.9	broad non-HK
P30260	CDC27_HUMAN	Cell division cycle protein 27 homolog OS=Homo sapiens OX=9606 GN=CDC27 PE=1 SV=2	824	HK	HRT Atlas	ENSG00000004897	HK	36	11.355555555555556	10.4	HK
P02730	B3AT_HUMAN	Band 3 anion transport protein OS=Homo sapiens OX=9606 GN=SLC4A1 PE=1 SV=3	911	non-HK		ENSG00000004939	non-HK	4	12.65	5.15	restricted non-HK
P30988	CALCR_HUMAN	Calcitonin receptor OS=Homo sapiens OX=9606 GN=CALCR PE=1 SV=4	474	non-HK		ENSG00000004948	non-HK	1	4.0	4.0	restricted non-HK
P53701	CCHL_HUMAN	Holocytochrome c-type synthase OS=Homo sapiens OX=9606 GN=HCCS PE=1 SV=1	268	non-HK		ENSG00000004961	non-HK	36	11.708333333333334	10.05	broad non-HK
O14641	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 OS=Homo sapiens OX=9606 GN=DVL2 PE=1 SV=1	736	HK	HRT Atlas	ENSG00000004975	HK	36	18.11111111111111	16.8	HK
Q9GZN4	BSSP4_HUMAN	Brain-specific serine protease 4 OS=Homo sapiens OX=9606 GN=PRSS22 PE=1 SV=1	317	non-HK		ENSG00000005001	non-HK	15	12.646666666666668	5.4	intermediate non-HK
Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2	1129	non-HK		ENSG00000005007	non-HK	36	19.75277777777778	20.700000000000003	broad non-HK
O75563	SKAP2_HUMAN	Src kinase-associated phosphoprotein 2 OS=Homo sapiens OX=9606 GN=SKAP2 PE=1 SV=1	359	non-HK		ENSG00000005020	non-HK	36	9.336111111111112	7.5	broad non-HK
P05141	ADT2_HUMAN	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	298	HK	HRT Atlas	ENSG00000005022	HK	36	196.89444444444445	157.10000000000002	HK
Q9NWR8	MCUB_HUMAN	Calcium uniporter regulatory subunit MCUb, mitochondrial OS=Homo sapiens OX=9606 GN=MCUB PE=1 SV=2	336	non-HK		ENSG00000005059	non-HK	35	4.645714285714286	3.9	intermediate non-HK
P31270	HXA11_HUMAN	Homeobox protein Hox-A11 OS=Homo sapiens OX=9606 GN=HOXA11 PE=1 SV=2	313	non-HK		ENSG00000005073	non-HK	12	18.55	10.75	intermediate non-HK
P52435	RPB11_HUMAN	DNA-directed RNA polymerase II subunit RPB11-a OS=Homo sapiens OX=9606 GN=POLR2J PE=1 SV=1	117	HK	HRT Atlas	ENSG00000005075	HK	36	63.56944444444444	54.599999999999994	HK
Q9H6R0	DHX33_HUMAN	ATP-dependent RNA helicase DHX33 OS=Homo sapiens OX=9606 GN=DHX33 PE=1 SV=2	707	non-HK		ENSG00000005100	non-HK	36	5.238888888888889	5.300000000000001	broad non-HK
P50221	MEOX1_HUMAN	Homeobox protein MOX-1 OS=Homo sapiens OX=9606 GN=MEOX1 PE=1 SV=1	254	non-HK		ENSG00000005102	non-HK	20	7.87	5.1	intermediate non-HK
Q9UPZ6	THS7A_HUMAN	Thrombospondin type-1 domain-containing protein 7A OS=Homo sapiens OX=9606 GN=THSD7A PE=1 SV=4	1657	non-HK		ENSG00000005108	non-HK	22	1.8136363636363635	1.55	intermediate non-HK
P49916	DNLI3_HUMAN	DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2	1009	non-HK		ENSG00000005156	non-HK	36	6.280555555555555	6.2	broad non-HK
Q9H6T3	RPAP3_HUMAN	RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2	665	non-HK		ENSG00000005175	non-HK	36	8.63888888888889	8.1	broad non-HK
Q53FZ2	ACSM3_HUMAN	Acyl-coenzyme A synthetase ACSM3, mitochondrial OS=Homo sapiens OX=9606 GN=ACSM3 PE=1 SV=2	586	non-HK		ENSG00000005187	non-HK	24	13.254166666666668	4.6	intermediate non-HK
Q96IC2	REXO5_HUMAN	RNA exonuclease 5 OS=Homo sapiens OX=9606 GN=REXO5 PE=1 SV=1	774	non-HK		ENSG00000005189	non-HK	28	8.20357142857143	1.65	intermediate non-HK
Q6FI81	CPIN1_HUMAN	Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2	312	non-HK		ENSG00000005194	non-HK	36	22.169444444444444	19.0	broad non-HK
Q8TCT7	SPP2B_HUMAN	Signal peptide peptidase-like 2B OS=Homo sapiens OX=9606 GN=SPPL2B PE=1 SV=2	592	non-HK		ENSG00000005206	non-HK	36	29.07222222222222	25.3	broad non-HK
Q7L5A3	ATOSB_HUMAN	Atos homolog protein B OS=Homo sapiens OX=9606 GN=ATOSB PE=1 SV=1	538	non-HK		ENSG00000005238	non-HK	36	15.386111111111111	14.2	broad non-HK
Q9P299	COPZ2_HUMAN	Coatomer subunit zeta-2 OS=Homo sapiens OX=9606 GN=COPZ2 PE=1 SV=1	210	non-HK		ENSG00000005243	non-HK	36	27.805555555555557	23.3	broad non-HK
P31323	KAP3_HUMAN	cAMP-dependent protein kinase type II-beta regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR2B PE=1 SV=3	418	non-HK		ENSG00000005249	non-HK	36	15.063888888888888	9.55	broad non-HK
Q8N5Y2	MS3L1_HUMAN	MSL complex subunit 3 OS=Homo sapiens OX=9606 GN=MSL3 PE=1 SV=1	521	non-HK		ENSG00000005302	non-HK	36	12.530555555555557	10.649999999999999	broad non-HK
Q92793	CBP_HUMAN	CREB-binding protein OS=Homo sapiens OX=9606 GN=CREBBP PE=1 SV=3	2442	HK	HRT Atlas	ENSG00000005339	HK	36	14.85277777777778	13.85	HK
O95153	RIMB1_HUMAN	Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens OX=9606 GN=TSPOAP1 PE=1 SV=2	1857	non-HK		ENSG00000005379	non-HK	36	33.46388888888889	20.45	broad non-HK
P05164	PERM_HUMAN	Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1	745	non-HK		ENSG00000005381	non-HK	10	3.91	1.45	restricted non-HK
P27169	PON1_HUMAN	Serum paraoxonase/arylesterase 1 OS=Homo sapiens OX=9606 GN=PON1 PE=1 SV=3	355	non-HK		ENSG00000005421	non-HK	2	61.0	61.0	restricted non-HK
P16383	GCFC2_HUMAN	Intron Large complex component GCFC2 OS=Homo sapiens OX=9606 GN=GCFC2 PE=1 SV=2	781	non-HK		ENSG00000005436	non-HK	36	11.663888888888888	10.5	broad non-HK
Q9H977	WDR54_HUMAN	WD repeat-containing protein 54 OS=Homo sapiens OX=9606 GN=WDR54 PE=1 SV=1	334	non-HK		ENSG00000005448	non-HK	36	10.552777777777777	7.95	broad non-HK
Q9UKG9	OCTC_HUMAN	Peroxisomal carnitine O-octanoyltransferase OS=Homo sapiens OX=9606 GN=CROT PE=1 SV=2	612	non-HK		ENSG00000005469	non-HK	36	9.419444444444444	6.949999999999999	broad non-HK
P21439	MDR3_HUMAN	Phosphatidylcholine translocator ABCB4 OS=Homo sapiens OX=9606 GN=ABCB4 PE=1 SV=2	1286	non-HK		ENSG00000005471	non-HK	8	10.8125	2.7	restricted non-HK
Q8IZD2	KMT2E_HUMAN	Inactive histone-lysine N-methyltransferase 2E OS=Homo sapiens OX=9606 GN=KMT2E PE=1 SV=1	1858	non-HK		ENSG00000005483	non-HK	36	4.755555555555556	3.5	broad non-HK
Q6NTF9	RHBD2_HUMAN	Rhomboid domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RHBDD2 PE=1 SV=2	364	HK	HRT Atlas	ENSG00000005486	HK	36	101.35277777777777	54.7	HK
P57073	SOX8_HUMAN	Transcription factor SOX-8 OS=Homo sapiens OX=9606 GN=SOX8 PE=1 SV=1	446	non-HK		ENSG00000005513	non-HK	22	22.581818181818182	4.3	intermediate non-HK
Q9P2D0	IBTK_HUMAN	Inhibitor of Bruton tyrosine kinase OS=Homo sapiens OX=9606 GN=IBTK PE=1 SV=3	1353	non-HK		ENSG00000005700	non-HK	36	6.588888888888889	6.2	broad non-HK
O14628	ZN195_HUMAN	Zinc finger protein 195 OS=Homo sapiens OX=9606 GN=ZNF195 PE=1 SV=2	629	non-HK		ENSG00000005801	non-HK	36	9.427777777777777	9.100000000000001	broad non-HK
O75592	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=4	4678	HK	HRT Atlas	ENSG00000005810	HK	36	20.37222222222222	17.2	HK
Q9UKT7	FBXL3_HUMAN	F-box/LRR-repeat protein 3 OS=Homo sapiens OX=9606 GN=FBXL3 PE=1 SV=1	428	HK	HRT Atlas	ENSG00000005812	HK	36	18.905555555555555	17.15	HK
P20701	ITAL_HUMAN	Integrin alpha-L OS=Homo sapiens OX=9606 GN=ITGAL PE=1 SV=3	1170	non-HK		ENSG00000005844	non-HK	21	5.9904761904761905	2.5	intermediate non-HK
Q15119	PDK2_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens OX=9606 GN=PDK2 PE=1 SV=2	407	non-HK		ENSG00000005882	non-HK	36	39.56666666666667	30.55	broad non-HK
P26006	ITA3_HUMAN	Integrin alpha-3 OS=Homo sapiens OX=9606 GN=ITGA3 PE=1 SV=5	1051	non-HK		ENSG00000005884	non-HK	36	19.23611111111111	16.450000000000003	broad non-HK
P17010	ZFX_HUMAN	Zinc finger X-chromosomal protein OS=Homo sapiens OX=9606 GN=ZFX PE=1 SV=2	805	non-HK		ENSG00000005889	non-HK	36	6.727777777777778	6.45	broad non-HK
P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2	410	HK	HRT Atlas	ENSG00000005893	HK	36	41.099999999999994	31.900000000000002	HK
P08514	ITA2B_HUMAN	Integrin alpha-IIb OS=Homo sapiens OX=9606 GN=ITGA2B PE=1 SV=3	1039	non-HK		ENSG00000005961	non-HK	18	2.761111111111111	2.05	intermediate non-HK
Q9Y574	ASB4_HUMAN	Ankyrin repeat and SOCS box protein 4 OS=Homo sapiens OX=9606 GN=ASB4 PE=1 SV=1	426	non-HK		ENSG00000005981	non-HK	12	6.7749999999999995	1.8	intermediate non-HK
Q9NZC3	GDE1_HUMAN	Glycerophosphodiester phosphodiesterase 1 OS=Homo sapiens OX=9606 GN=GDE1 PE=1 SV=1	331	HK	HRT Atlas	ENSG00000006007	HK	36	26.591666666666665	23.75	HK
Q96EN9	REX1B_HUMAN	Required for excision 1-B domain-containing protein OS=Homo sapiens OX=9606 GN=REX1BD PE=1 SV=1	201	non-HK		ENSG00000006015	non-HK	35	51.440000000000005	43.4	intermediate non-HK
O75462	CRLF1_HUMAN	Cytokine receptor-like factor 1 OS=Homo sapiens OX=9606 GN=CRLF1 PE=1 SV=1	422	non-HK		ENSG00000006016	non-HK	35	18.637142857142855	7.5	intermediate non-HK
Q9BZF2	OSBL7_HUMAN	Oxysterol-binding protein-related protein 7 OS=Homo sapiens OX=9606 GN=OSBPL7 PE=1 SV=1	842	non-HK		ENSG00000006025	non-HK	36	9.555555555555555	8.8	broad non-HK
Q9Y2Y6	TMM98_HUMAN	Transmembrane protein 98 OS=Homo sapiens OX=9606 GN=TMEM98 PE=1 SV=1	226	non-HK		ENSG00000006042	non-HK	36	44.56111111111111	42.55	broad non-HK
Q9Y2T7	YBOX2_HUMAN	Y-box-binding protein 2 OS=Homo sapiens OX=9606 GN=YBX2 PE=1 SV=2	364	non-HK		ENSG00000006047	non-HK	18	29.32222222222222	1.65	intermediate non-HK
O76009	KT33A_HUMAN	Keratin, type I cuticular Ha3-I OS=Homo sapiens OX=9606 GN=KRT33A PE=1 SV=2	404	non-HK		ENSG00000006059	non-HK	3	15.433333333333332	2.4	restricted non-HK
Q99558	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14 OS=Homo sapiens OX=9606 GN=MAP3K14 PE=1 SV=2	947	non-HK		ENSG00000006062	non-HK	36	5.663888888888889	5.15	broad non-HK
Q09428	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8 OS=Homo sapiens OX=9606 GN=ABCC8 PE=1 SV=6	1581	non-HK		ENSG00000006071	non-HK	19	6.878947368421054	4.9	intermediate non-HK
O60359	CCG3_HUMAN	Voltage-dependent calcium channel gamma-3 subunit OS=Homo sapiens OX=9606 GN=CACNG3 PE=1 SV=1	315	non-HK		ENSG00000006116	non-HK	9	25.677777777777777	16.4	restricted non-HK
Q24JP5	T132A_HUMAN	Transmembrane protein 132A OS=Homo sapiens OX=9606 GN=TMEM132A PE=1 SV=1	1023	non-HK		ENSG00000006118	non-HK	36	25.791666666666668	10.75	broad non-HK
