Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_id	gene_length_bp
ENSG00000100344	43923792	43964488	22	ENSG00000100344	40697
ENSG00000154359	12721906	12756073	8	ENSG00000154359	34168
ENSG00000186976	43528744	43812337	22	ENSG00000186976	283594
ENSG00000156253	29004384	29019360	21	ENSG00000156253	14977
ENSG00000168234	23992773	24135610	18	ENSG00000168234	142838
ENSG00000129480	31446036	31457506	14	ENSG00000129480	11471
ENSG00000100519	52707178	52728590	14	ENSG00000100519	21413
ENSG00000175806	10054292	10428891	8	ENSG00000175806	374600
ENSG00000156265	29077471	29175889	21	ENSG00000156265	98419
ENSG00000187323	52340197	53535903	18	ENSG00000187323	1195707
ENSG00000054611	46762617	47175699	22	ENSG00000054611	413083
ENSG00000134020	22713251	23000000	8	ENSG00000134020	286750
ENSG00000141639	50560087	50731826	18	ENSG00000141639	171740
ENSG00000184647	10525532	10554166	8	ENSG00000184647	28635
ENSG00000275591	6808517	6835524	8	ENSG00000275591	27008
ENSG00000180998	52552836	52637713	14	ENSG00000180998	84878
ENSG00000141622	46326809	46463140	18	ENSG00000141622	136332
ENSG00000126773	60091911	60169133	14	ENSG00000126773	77223
ENSG00000253649	10482878	10547585	8	ENSG00000253649	64708
ENSG00000275342	8317736	8386439	8	ENSG00000275342	68704
ENSG00000134042	50795120	50825402	18	ENSG00000134042	30283
ENSG00000168546	21690398	21812357	8	ENSG00000168546	121960
ENSG00000142207	32311018	32393012	21	ENSG00000142207	81995
ENSG00000126778	60643421	60658259	14	ENSG00000126778	14839
ENSG00000154001	63371364	63543377	14	ENSG00000154001	172014
ENSG00000215547	31257664	31259632	20	ENSG00000215547	1969
ENSG00000270299	646626	675800	20	ENSG00000270299	29175
ENSG00000164741	13083361	13604610	8	ENSG00000164741	521250
ENSG00000232263	30289145	30289514	21	ENSG00000232263	370
ENSG00000154721	25639258	25717562	21	ENSG00000154721	78305
ENSG00000067900	20946906	21111813	18	ENSG00000067900	164908
ENSG00000156256	29024629	29054488	21	ENSG00000156256	29860
ENSG00000100426	49853844	49890080	22	ENSG00000100426	36237
ENSG00000056487	44881162	45010005	22	ENSG00000056487	128844
ENSG00000078804	34704339	34713439	20	ENSG00000078804	9101
ENSG00000177511	57352557	57371731	18	ENSG00000177511	19175
ENSG00000176641	61808067	61894247	18	ENSG00000176641	86181
ENSG00000101384	10637684	10673999	20	ENSG00000101384	36316
ENSG00000166510	54901509	54959461	18	ENSG00000166510	57953
ENSG00000175387	47808957	47931146	18	ENSG00000175387	122190
ENSG00000198252	52730166	52774989	14	ENSG00000198252	44824
ENSG00000164151	5420664	5490220	5	ENSG00000164151	69557
ENSG00000100316	39312882	39320389	22	ENSG00000100316	7508
ENSG00000185053	14084845	15238431	8	ENSG00000185053	1153587
ENSG00000126790	59460363	59484408	14	ENSG00000126790	24046
ENSG00000156282	30165565	30166805	21	ENSG00000156282	1241
ENSG00000166265	26466209	26573286	21	ENSG00000166265	107078
ENSG00000089057	4852356	5010293	20	ENSG00000089057	157938
ENSG00000145536	5140330	5320304	5	ENSG00000145536	179975
ENSG00000147324	8783354	8893630	8	ENSG00000147324	110277
ENSG00000243927	34073224	34143034	21	ENSG00000243927	69811
ENSG00000179008	60396469	60515543	14	ENSG00000179008	119075
ENSG00000254093	10764961	10839884	8	ENSG00000254093	74924
ENSG00000188694	30281309	30282950	21	ENSG00000188694	1642
ENSG00000198743	34073578	34106260	21	ENSG00000198743	32683
ENSG00000159259	36385392	36419015	21	ENSG00000159259	33624
ENSG00000198791	17224966	17246878	8	ENSG00000198791	21913
ENSG00000184302	60509146	60512850	14	ENSG00000184302	3705
ENSG00000171421	1798385	1801366	5	ENSG00000171421	2982
ENSG00000100625	60709539	60724351	14	ENSG00000100625	14813
ENSG00000041353	54717860	54895516	18	ENSG00000041353	177657
ENSG00000124279	7859159	7869037	5	ENSG00000124279	9879
ENSG00000101435	23564732	23568484	20	ENSG00000101435	3753
ENSG00000156304	31671000	31732118	21	ENSG00000156304	61119
ENSG00000075218	46296870	46330810	22	ENSG00000075218	33941
ENSG00000091164	56597209	56651600	18	ENSG00000091164	54392
ENSG00000100614	60245752	60299087	14	ENSG00000100614	53336
ENSG00000078295	7396138	7830081	5	ENSG00000078295	433944
ENSG00000089123	13389392	13638932	20	ENSG00000089123	249541
ENSG00000184708	31436977	31496108	22	ENSG00000184708	59132
ENSG00000179388	22687659	22693480	8	ENSG00000179388	5822
ENSG00000151838	59504539	59576812	14	ENSG00000151838	72274
ENSG00000132792	37693955	37872129	20	ENSG00000132792	178175
ENSG00000134030	48539031	48863217	18	ENSG00000134030	324187
ENSG00000221818	25841725	26045413	8	ENSG00000221818	203689
ENSG00000100612	60144119	60169856	14	ENSG00000100612	25738
ENSG00000183654	16067139	16180762	5	ENSG00000183654	113624
ENSG00000104714	614746	738106	8	ENSG00000104714	123361
ENSG00000113430	1877413	1887236	5	ENSG00000113430	9824
ENSG00000100731	70907405	71115382	14	ENSG00000100731	207978
ENSG00000155975	17246931	17302427	8	ENSG00000155975	55497
ENSG00000082212	50879080	50954257	18	ENSG00000082212	75178
ENSG00000156261	29055805	29073797	21	ENSG00000156261	17993
ENSG00000248405	44702233	44862706	22	ENSG00000248405	160474
ENSG00000164743	13566869	13568288	8	ENSG00000164743	1420
ENSG00000112902	9035033	9546075	5	ENSG00000112902	511043
ENSG00000248235	22589274	22602084	8	ENSG00000248235	12811
ENSG00000159167	23841929	23854806	8	ENSG00000159167	12878
ENSG00000180205	45607939	45631284	20	ENSG00000180205	23346
ENSG00000104228	27284886	27311272	8	ENSG00000104228	26387
ENSG00000149639	36777447	36863538	20	ENSG00000149639	86092
ENSG00000198042	33485182	33501262	8	ENSG00000198042	16081
ENSG00000145555	16661907	16936288	5	ENSG00000145555	274382
ENSG00000180305	45629739	45631196	20	ENSG00000180305	1458
ENSG00000175445	19901717	19967259	8	ENSG00000175445	65543
ENSG00000141441	32124877	32470882	18	ENSG00000141441	346006
ENSG00000188064	45920366	45977162	22	ENSG00000188064	56797
ENSG00000179600	63312835	63318935	14	ENSG00000179600	6101
ENSG00000154654	20998409	21543329	21	ENSG00000154654	544921
ENSG00000101445	38805697	38923024	20	ENSG00000101445	117328
ENSG00000020426	60734742	60969965	14	ENSG00000020426	235224
ENSG00000100347	43955442	44010531	22	ENSG00000100347	55090
ENSG00000147421	28890395	29064764	8	ENSG00000147421	174370
ENSG00000184828	48026672	48410752	18	ENSG00000184828	384081
ENSG00000198862	28928144	28992956	21	ENSG00000198862	64813
ENSG00000149633	38210503	38260772	20	ENSG00000149633	50270
ENSG00000267909	69569799	69574871	14	ENSG00000267909	5073
ENSG00000179476	44897275	44907257	14	ENSG00000179476	9983
ENSG00000119599	72926377	72959703	14	ENSG00000119599	33327
ENSG00000101452	38962299	39039723	20	ENSG00000101452	77425
ENSG00000075234	46267961	46294008	22	ENSG00000075234	26048
ENSG00000156006	18391282	18401218	8	ENSG00000156006	9937
ENSG00000171056	10723768	10730511	8	ENSG00000171056	6744
ENSG00000156284	30214006	30216097	21	ENSG00000156284	2092
ENSG00000228075	57147087	57150410	18	ENSG00000228075	3324
ENSG00000222018	34400112	34401072	21	ENSG00000222018	961
ENSG00000101782	23453287	23486603	18	ENSG00000101782	33317
ENSG00000036565	20144855	20183206	8	ENSG00000036565	38352
ENSG00000100372	40769630	40819399	22	ENSG00000100372	49770
ENSG00000142149	31873020	32044633	21	ENSG00000142149	171614
ENSG00000050130	59484443	59505410	14	ENSG00000050130	20968
ENSG00000154642	17788974	17819386	21	ENSG00000154642	30413
ENSG00000141665	74073353	74147843	18	ENSG00000141665	74491
ENSG00000124191	43914852	44069616	20	ENSG00000124191	154765
ENSG00000100106	37697048	37776556	22	ENSG00000100106	79509
ENSG00000133398	6371874	6378571	5	ENSG00000133398	6698
ENSG00000159256	36320189	36386148	21	ENSG00000159256	65960
ENSG00000284283	17521801	17522397	5	ENSG00000284283	597
ENSG00000141458	23506184	23586506	18	ENSG00000141458	80323
ENSG00000124275	7851186	7906025	5	ENSG00000124275	54840
ENSG00000064655	46894624	47188844	20	ENSG00000064655	294221
ENSG00000126785	63204114	63293508	14	ENSG00000126785	89395
ENSG00000159086	32733899	32771792	21	ENSG00000159086	37894
ENSG00000180008	55027230	55049489	14	ENSG00000180008	22260
ENSG00000140015	62699464	63102037	14	ENSG00000140015	402574
ENSG00000141437	31759584	31760880	18	ENSG00000141437	1297
ENSG00000172466	35332227	35345482	18	ENSG00000172466	13256
ENSG00000172728	33370824	33473146	8	ENSG00000172728	102323
ENSG00000100304	43166622	43187134	22	ENSG00000100304	20513
ENSG00000100647	69611596	69715144	14	ENSG00000100647	103549
ENSG00000166562	59139866	59158832	18	ENSG00000166562	18967
ENSG00000258989	61529128	61657964	14	ENSG00000258989	128837
ENSG00000258724	10725399	10839847	8	ENSG00000258724	114449
ENSG00000156687	35235475	35796550	8	ENSG00000156687	561076
ENSG00000215217	7830378	7851151	5	ENSG00000215217	20774
ENSG00000081138	65750252	65890337	18	ENSG00000081138	140086
ENSG00000129521	33924227	34462774	14	ENSG00000129521	538548
ENSG00000180083	45648563	45670270	20	ENSG00000180083	21708
ENSG00000186654	44668547	44737681	22	ENSG00000186654	69135
ENSG00000062598	46366050	46432985	20	ENSG00000062598	66936
ENSG00000113569	37288137	37371106	5	ENSG00000113569	82970
ENSG00000205929	32790673	32813743	21	ENSG00000205929	23071
ENSG00000203546	31334312	31457441	14	ENSG00000203546	123130
ENSG00000134779	36777647	36829216	18	ENSG00000134779	51570
ENSG00000165389	34432788	34462240	14	ENSG00000165389	29453
ENSG00000170345	75278826	75282230	14	ENSG00000170345	3405
ENSG00000205726	33642400	33899861	21	ENSG00000205726	257462
ENSG00000038945	16107878	16567490	8	ENSG00000038945	459613
ENSG00000175985	69484692	69531551	14	ENSG00000175985	46860
ENSG00000119681	74498183	74612378	14	ENSG00000119681	114196
ENSG00000100150	31753867	31908033	22	ENSG00000100150	154167
ENSG00000092964	26514031	26658178	8	ENSG00000092964	144148
ENSG00000183580	15500180	15939795	5	ENSG00000183580	439616
ENSG00000166603	60371062	60372775	18	ENSG00000166603	1714
ENSG00000166479	68673688	68715108	18	ENSG00000166479	41421
ENSG00000164236	10564070	10657816	5	ENSG00000164236	93747
ENSG00000165898	74493756	74497106	14	ENSG00000165898	3351
ENSG00000152582	35617844	35814611	5	ENSG00000152582	196768
ENSG00000140044	75427716	75474111	14	ENSG00000140044	46396
ENSG00000164825	6870592	6877936	8	ENSG00000164825	7345
ENSG00000042317	88384924	88470350	14	ENSG00000042317	85427
ENSG00000078902	1274371	1309654	11	ENSG00000078902	35284
ENSG00000198959	38127385	38166578	20	ENSG00000198959	39194
ENSG00000147454	23528956	23575463	8	ENSG00000147454	46508
ENSG00000141452	23503470	23531822	18	ENSG00000141452	28353
ENSG00000104626	9002147	9116746	8	ENSG00000104626	114600
ENSG00000042062	50586108	50691542	20	ENSG00000042062	105435
ENSG00000284438	4338660	4339244	11	ENSG00000284438	585
ENSG00000284546	4329865	4330449	11	ENSG00000284546	585
ENSG00000177669	30131671	30144665	8	ENSG00000177669	12995
ENSG00000284018	4233288	4233872	11	ENSG00000284018	585
ENSG00000117983	1223066	1262172	11	ENSG00000117983	39107
ENSG00000147459	25184689	25418082	8	ENSG00000147459	233394
ENSG00000158480	49903391	49915529	20	ENSG00000158480	12139
ENSG00000101447	38926312	38953106	20	ENSG00000101447	26795
ENSG00000197496	46709649	46736347	20	ENSG00000197496	26699
ENSG00000158445	49293394	49484297	20	ENSG00000158445	190904
ENSG00000124249	44745865	44752313	20	ENSG00000124249	6449
ENSG00000149654	46173739	46308498	20	ENSG00000149654	134760
ENSG00000101542	61333430	61555779	18	ENSG00000101542	222350
ENSG00000174672	1389899	1462689	11	ENSG00000174672	72791
ENSG00000164327	38937920	39074399	5	ENSG00000164327	136480
ENSG00000124226	49936336	49953885	20	ENSG00000124226	17550
ENSG00000167393	333933	386955	X	ENSG00000167393	53023
ENSG00000104660	30095408	30177208	8	ENSG00000104660	81801
ENSG00000175354	12785478	12929643	18	ENSG00000175354	144166
ENSG00000080189	46345980	46364458	20	ENSG00000080189	18479
ENSG00000198718	44962190	45074431	14	ENSG00000198718	112242
ENSG00000120907	26748150	26867278	8	ENSG00000120907	119129
ENSG00000183943	3604340	3713649	X	ENSG00000183943	109310
ENSG00000133878	33591330	33600023	8	ENSG00000133878	8694
ENSG00000177504	8169944	8171267	X	ENSG00000177504	1324
ENSG00000185291	1336616	1382689	X	ENSG00000185291	46074
ENSG00000167034	23678697	23682938	8	ENSG00000167034	4242
ENSG00000147416	20197381	20226819	8	ENSG00000147416	29439
ENSG00000053770	57268924	57298742	14	ENSG00000053770	29819
ENSG00000182162	1462581	1537185	X	ENSG00000182162	74605
ENSG00000169100	1386152	1392113	X	ENSG00000169100	5962
ENSG00000165548	77116568	77259495	14	ENSG00000165548	142928
ENSG00000104756	25427847	25458476	8	ENSG00000104756	30630
ENSG00000125363	11293413	11300761	X	ENSG00000125363	7349
ENSG00000196433	1615059	1643081	X	ENSG00000196433	28023
ENSG00000151812	57563920	57982194	14	ENSG00000151812	418275
ENSG00000198768	58459101	58515399	20	ENSG00000198768	56299
ENSG00000134013	23296897	23425328	8	ENSG00000134013	128432
ENSG00000186496	35366694	35377337	18	ENSG00000186496	10644
ENSG00000088298	35115364	35147336	20	ENSG00000088298	31973
ENSG00000125378	53949736	53958761	14	ENSG00000125378	9026
ENSG00000081913	62715541	62980433	18	ENSG00000081913	264893
ENSG00000061337	20246165	20303963	8	ENSG00000061337	57799
ENSG00000184661	25459199	25507911	8	ENSG00000184661	48713
ENSG00000169084	2219506	2502805	X	ENSG00000169084	283300
ENSG00000124151	47501887	47656877	20	ENSG00000124151	154991
ENSG00000071991	66501083	66604138	18	ENSG00000071991	103056
ENSG00000146950	9786429	9949443	X	ENSG00000146950	163015
ENSG00000221996	4367263	4368386	11	ENSG00000221996	1124
ENSG00000283740	17604177	17605377	5	ENSG00000283740	1201
ENSG00000053918	2444684	2849105	11	ENSG00000053918	404422
ENSG00000182836	41306952	41510628	5	ENSG00000182836	203677
ENSG00000100650	69726900	69772005	14	ENSG00000100650	45106
ENSG00000011201	8528874	8732137	X	ENSG00000011201	203264
ENSG00000104219	17156482	17224799	8	ENSG00000104219	68318
ENSG00000250305	12945642	13031503	8	ENSG00000250305	85862
ENSG00000169093	1403139	1453762	X	ENSG00000169093	50624
ENSG00000206026	75409476	75427703	18	ENSG00000206026	18228
ENSG00000168300	51817575	51899186	8	ENSG00000168300	81612
ENSG00000132109	4384897	4393702	11	ENSG00000132109	8806
ENSG00000141428	35972625	35979286	18	ENSG00000141428	6662
ENSG00000149054	6926404	7001004	11	ENSG00000149054	74601
ENSG00000033170	65410592	65744121	14	ENSG00000033170	333530
ENSG00000104765	26383054	26505636	8	ENSG00000104765	122583
ENSG00000056097	32354350	32444740	5	ENSG00000056097	90391
ENSG00000205755	1187549	1212723	X	ENSG00000205755	25175
ENSG00000134504	26454910	26657401	18	ENSG00000134504	202492
ENSG00000151240	274190	689668	10	ENSG00000151240	415479
ENSG00000256206	14493783	14520344	11	ENSG00000256206	26562
ENSG00000110328	11270877	11622005	11	ENSG00000110328	351129
ENSG00000177138	9024232	9295682	X	ENSG00000177138	271451
ENSG00000124089	56248732	56249815	20	ENSG00000124089	1084
ENSG00000141424	36108531	36129385	18	ENSG00000141424	20855
ENSG00000101425	38304150	38337505	20	ENSG00000101425	33356
ENSG00000196139	5035354	5107686	10	ENSG00000196139	72333
ENSG00000004961	11111301	11123086	X	ENSG00000004961	11786
ENSG00000197892	29067278	29263124	8	ENSG00000197892	195847
ENSG00000175868	14904997	15082342	11	ENSG00000175868	177346
ENSG00000283873	4287499	4288083	11	ENSG00000283873	585
ENSG00000284306	4242056	4242640	11	ENSG00000284306	585
ENSG00000177054	19117099	19176422	11	ENSG00000177054	59324
ENSG00000146938	5840637	6228867	X	ENSG00000146938	388231
ENSG00000198081	5289019	5297053	18	ENSG00000198081	8035
ENSG00000124126	48624252	48827999	20	ENSG00000124126	203748
ENSG00000166573	77249848	77277900	18	ENSG00000166573	28053
ENSG00000178462	5393101	5404828	10	ENSG00000178462	11728
ENSG00000177058	55625845	55773194	5	ENSG00000177058	147350
ENSG00000198795	25061924	25352190	18	ENSG00000198795	290267
ENSG00000183304	8790795	8801383	X	ENSG00000183304	10589
ENSG00000185736	1177313	1737525	10	ENSG00000185736	560213
ENSG00000197930	52639915	52695900	14	ENSG00000197930	55986
ENSG00000149050	6997085	7020346	11	ENSG00000149050	23262
ENSG00000104613	19817391	19852083	8	ENSG00000104613	34693
ENSG00000154059	24426634	24453531	18	ENSG00000154059	26898
ENSG00000134463	11742366	11764070	10	ENSG00000134463	21705
ENSG00000215182	1157953	1201138	11	ENSG00000215182	43186
ENSG00000101955	38149336	38220924	X	ENSG00000101955	71589
ENSG00000151465	12195965	12250589	10	ENSG00000151465	54625
ENSG00000126010	16123565	16153518	X	ENSG00000126010	29954
ENSG00000170748	7088998	7091148	11	ENSG00000170748	2151
ENSG00000141668	72536680	72638521	18	ENSG00000141668	101842
ENSG00000164822	6924697	6926076	8	ENSG00000164822	1380
ENSG00000177324	18162931	18220886	X	ENSG00000177324	57956
ENSG00000134343	26188842	26663289	11	ENSG00000134343	474448
ENSG00000104671	30156319	30183639	8	ENSG00000104671	27321
ENSG00000124212	49503874	49568137	20	ENSG00000124212	64264
ENSG00000147027	34627075	34657285	X	ENSG00000147027	30211
ENSG00000139977	57390544	57415906	14	ENSG00000139977	25363
ENSG00000185915	21654690	21658330	X	ENSG00000185915	3641
ENSG00000197976	1591604	1602520	X	ENSG00000197976	10917
ENSG00000176435	38254000	38256093	14	ENSG00000176435	2094
ENSG00000221914	26291508	26372680	8	ENSG00000221914	81173
ENSG00000182732	71932429	72566530	14	ENSG00000182732	634102
ENSG00000182621	8077251	8968360	20	ENSG00000182621	891110
ENSG00000178473	5364966	5374692	10	ENSG00000178473	9727
ENSG00000067082	3775996	3785281	10	ENSG00000067082	9286
ENSG00000091482	21705978	21758116	X	ENSG00000091482	52139
ENSG00000040731	24487100	24644978	5	ENSG00000040731	157879
ENSG00000149970	21372801	21654695	X	ENSG00000149970	281895
ENSG00000165629	7788147	7807815	10	ENSG00000165629	19669
ENSG00000284439	17518367	17518963	5	ENSG00000284439	597
ENSG00000129170	19182030	19210571	11	ENSG00000129170	28542
ENSG00000164294	55160167	55167297	5	ENSG00000164294	7131
ENSG00000197971	76978827	77133683	18	ENSG00000197971	154857
ENSG00000016082	51383448	51394730	5	ENSG00000016082	11283
ENSG00000170743	7238778	7469043	11	ENSG00000170743	230266
ENSG00000154122	14704800	14871778	5	ENSG00000154122	166979
ENSG00000065665	12129637	12169961	10	ENSG00000065665	40325
ENSG00000254598	11351942	11353250	11	ENSG00000254598	1309
