Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_length_bp
ENSG00000113812	53863038	53882198	3	19161
ENSG00000115170	157736249	157876347	2	140099
ENSG00000135503	51951679	51997082	12	45404
ENSG00000133597	140672885	140696261	7	23377
ENSG00000197894	99070978	99088801	4	17824
ENSG00000280830	106831	110463	HSCHR2_1_CTG1	3633
ENSG00000182551	3497366	3519559	2	22194
ENSG00000159346	202940090	202958572	1	18483
ENSG00000285070	30718	130818	HG1815_PATCH	100101
ENSG00000006831	1688574	1788680	12	100107
ENSG00000156110	74151191	74709963	10	558773
ENSG00000101126	50888916	50931437	20	42522
ENSG00000181915	62804720	62808479	10	3760
ENSG00000144843	119579268	119590165	3	10898
ENSG00000170222	10697594	10711558	17	13965
ENSG00000239900	40346461	40390463	22	44003
ENSG00000072364	132875395	132963634	5	88240
ENSG00000119844	64524289	64593007	2	68719
ENSG00000173744	227472134	227561217	2	89084
ENSG00000164252	77029251	77065234	5	35984
ENSG00000236873	3500814	3510698	HSCHR6_MHC_APD_CTG1	9885
ENSG00000226467	3606564	3616448	HSCHR6_MHC_COX_CTG1	9885
ENSG00000228892	3484419	3494303	HSCHR6_MHC_SSTO_CTG1	9885
ENSG00000227642	3473193	3483077	HSCHR6_MHC_MANN_CTG1	9885
ENSG00000235758	3510233	3520117	HSCHR6_MHC_MCF_CTG1	9885
ENSG00000206324	3391413	3401297	HSCHR6_MHC_QBL_CTG1	9885
ENSG00000204310	32168205	32178096	6	9892
ENSG00000160216	43865223	43987592	21	122370
ENSG00000018510	177392576	177567024	2	174449
ENSG00000101444	34280268	34311802	20	31535
ENSG00000100591	77457743	77469482	14	11740
ENSG00000164022	106315544	106349456	4	33913
ENSG00000110711	67468174	67491154	11	22981
ENSG00000004455	33007986	33080996	1	73011
ENSG00000147853	4709556	4742043	9	32488
ENSG00000105127	15353385	15379829	19	26445
ENSG00000127914	91940840	92110673	7	169834
ENSG00000166452	8911113	8922406	11	11294
ENSG00000174574	38991272	39006059	1	14788
ENSG00000135334	87674860	87702255	6	27396
ENSG00000117448	45550475	45570051	1	19577
ENSG00000053371	19301991	19312144	1	10154
ENSG00000142208	104769348	104799934	14	30587
ENSG00000204673	49869033	49879470	19	10438
ENSG00000166971	53490502	53504411	16	13910
ENSG00000148218	113386304	113401356	9	15053
ENSG00000072210	19647291	19685760	17	38470
ENSG00000143149	165662216	165698597	1	36382
ENSG00000253710	52012391	52079232	13	66842
ENSG00000120697	36949738	37000763	13	51026
ENSG00000159063	78095244	78139660	11	44417
ENSG00000086848	111782195	111872405	11	90211
ENSG00000100601	77672404	77708023	14	35620
ENSG00000189046	109088188	109098462	12	10275
ENSG00000166199	43880811	43920274	11	39464
ENSG00000091542	18183078	18209954	17	26877
ENSG00000003393	201700267	201782112	2	81846
ENSG00000183684	81887835	81891586	17	3752
ENSG00000110497	46396414	46594125	11	197712
ENSG00000123505	110874770	110898879	6	24110
ENSG00000164162	144831908	145098823	4	266916
ENSG00000141552	81890669	81900991	17	10323
ENSG00000129055	134477704	134486716	3	9013
ENSG00000110200	72106378	72113688	11	7311
ENSG00000166295	72215863	72235860	10	19998
ENSG00000176248	137174784	137189028	9	14245
ENSG00000089053	121308245	121399896	12	91652
ENSG00000196510	110372900	110403730	12	30831
ENSG00000185722	4163821	4263995	17	100175
ENSG00000154122	14704800	14871877	5	167078
ENSG00000131503	140401660	140541168	5	139509
ENSG00000254996	140401908	140549569	5	147662
ENSG00000088448	110878540	110915071	13	36532
ENSG00000132466	73073376	73259147	4	185772
ENSG00000206560	15667236	15859771	3	192536
ENSG00000213337	96836611	96858016	2	21406
ENSG00000186106	100509752	100559784	8	50033
ENSG00000177119	45215987	45482280	12	266294
ENSG00000140350	68778534	68820924	15	42391
ENSG00000136938	97983215	98015943	9	32729
ENSG00000143401	150218417	150236202	1	17786
ENSG00000197043	151100706	151157815	5	57110
ENSG00000138279	73375101	73414731	10	39631
ENSG00000100280	29327680	29388612	22	60933
ENSG00000166747	71729000	71809201	16	80202
ENSG00000072958	16197854	16245906	19	48053
ENSG00000196961	49766990	49807114	19	40125
ENSG00000280759	3478	74982	HSCHR11_2_CTG1	71505
ENSG00000281385	3478	81830	HSCHR11_3_CTG1	78353
ENSG00000183020	924881	1012245	11	87365
ENSG00000161203	184174689	184184214	3	9526
ENSG00000042753	46838136	46850882	19	12747
ENSG00000132842	77991640	78294762	5	303123
ENSG00000065000	2100982	2164468	19	63487
ENSG00000185009	74120255	74151055	10	30801
ENSG00000177879	115841422	115914086	5	72665
ENSG00000157823	89830599	89894638	15	64040
ENSG00000134262	113894194	113905722	1	11529
ENSG00000053770	57268504	57298742	14	30239
ENSG00000164062	49673981	49683971	3	9991
ENSG00000291796	657872	660453	HG2526_HG2573_PATCH	2582
ENSG00000100823	20454525	20457779	14	3255
ENSG00000169188	55000331	55009057	X	8727
ENSG00000117362	150265399	150269580	1	4182
ENSG00000166181	43311955	43344530	11	32576
ENSG00000149089	34853094	34916520	11	63427
ENSG00000128335	36226209	36239954	22	13746
ENSG00000155008	85003871	85093315	X	89445
ENSG00000136044	105172485	105236221	12	63737
ENSG00000137074	32886601	33025130	9	138530
ENSG00000078061	47561182	47571921	X	10740
ENSG00000095139	118572390	118603033	11	30644
ENSG00000143761	228081841	228099212	1	17372
ENSG00000004059	127588370	127591700	7	3331
ENSG00000165527	49892608	49897054	14	4447
ENSG00000149182	47164299	47177474	11	13176
ENSG00000242247	42796502	42858106	22	61605
ENSG00000124198	48921711	49036693	20	114983
ENSG00000164144	152779096	152918463	4	139368
ENSG00000132254	6474683	6481479	11	6797
ENSG00000101246	63698622	63708662	20	10041
ENSG00000160007	46860997	47005077	19	144081
ENSG00000100852	32075794	32159728	14	83935
ENSG00000141522	81867719	81871378	17	3660
ENSG00000074964	17539368	17697876	1	158509
ENSG00000132694	156934840	157046903	1	112064
ENSG00000165801	21069647	21090248	14	20602
ENSG00000166233	72474308	72602987	15	128680
ENSG00000177479	48918821	48986382	3	67562
ENSG00000221883	48917788	48919385	3	1598
ENSG00000120805	101393116	101407772	12	14657
ENSG00000152219	30323104	30338458	11	15355
ENSG00000162980	151788984	151828531	2	39548
ENSG00000182196	122980045	122983479	12	3435
ENSG00000143862	202133404	202144743	1	11340
ENSG00000134108	5122249	5180911	3	58663
ENSG00000104442	65602456	65634217	8	31762
ENSG00000282813	144965	158099	HSCHR7_1_CTG4_4	13135
ENSG00000170632	103074625	103102902	7	28278
ENSG00000140691	31458080	31467172	16	9093
ENSG00000105676	19033575	19060311	19	26737
ENSG00000125449	75109952	75130272	17	20321
ENSG00000114098	138187248	138298384	3	111137
ENSG00000102401	101622797	101627843	X	5047
ENSG00000125962	102599168	102604159	X	4992
ENSG00000143437	150808617	150876771	1	68155
ENSG00000241685	99325880	99366267	7	40388
ENSG00000163466	218216630	218254356	2	37727
ENSG00000136950	124862130	124877733	9	15604
ENSG00000173409	230978981	231000733	1	21753
ENSG00000065802	238426742	238452250	2	25509
ENSG00000148331	129634602	129642169	9	7568
ENSG00000183475	100602547	100651703	15	49157
ENSG00000177981	48147789	48181213	12	33425
ENSG00000138303	72096018	72217653	10	121636
ENSG00000112249	100508194	100881407	6	373214
ENSG00000111875	118894152	118909171	6	15020
ENSG00000129691	38105493	38144124	8	38632
ENSG00000138381	189661385	189670831	2	9447
ENSG00000169696	81976807	82017406	17	40600
ENSG00000171456	32358266	32439319	20	81054
ENSG00000138138	87751512	87842355	10	90844
ENSG00000197785	1512147	1534686	1	22540
ENSG00000107669	121709393	121928801	10	219409
ENSG00000123268	50763710	50821162	12	57453
ENSG00000115966	175072250	175168382	2	96133
ENSG00000128272	39519695	39522690	22	2996
ENSG00000118217	161766261	161977574	1	211314
ENSG00000170653	53507856	53626410	12	118555
ENSG00000171681	14365627	14502931	12	137305
ENSG00000145782	115828200	115841837	5	13638
ENSG00000175224	46617251	46674818	11	57568
ENSG00000281089	155389	241012	HG2232_PATCH	85624
ENSG00000085978	233210051	233295674	2	85624
ENSG00000110046	64894531	64917245	11	22715
ENSG00000066739	96279195	96363341	14	84147
ENSG00000144848	112532510	112562046	3	29537
ENSG00000168397	241637213	241673857	2	36645
ENSG00000130734	10543533	10553423	19	9891
ENSG00000057663	106045423	106326477	6	281055
ENSG00000197548	11272309	11557665	3	285357
ENSG00000138363	215311956	215349773	2	37818
ENSG00000119787	38293949	38377438	2	83490
ENSG00000291953	84081	95589	HG405_PATCH	11509
ENSG00000166454	81035842	81047350	16	11509
ENSG00000177556	151738084	151772532	5	34449
ENSG00000017260	130850511	131016712	3	166202
ENSG00000071553	154428618	154436517	X	7900
ENSG00000185344	123712342	123761755	12	49414
ENSG00000117410	43974487	43978295	1	3809
ENSG00000185883	2513713	2520218	16	6506
ENSG00000159720	67438005	67481188	16	43184
ENSG00000113732	172983771	173035445	5	51675
ENSG00000155097	103021063	103073051	8	51989
ENSG00000100554	67294371	67360265	14	65895
ENSG00000131100	17592136	17630958	22	38823
ENSG00000128524	128862856	128865847	7	2992
ENSG00000136888	114587706	114598915	9	11210
ENSG00000047249	53715543	53843558	8	128016
ENSG00000171953	17977409	18039209	17	61801
ENSG00000138085	27212041	27217178	2	5138
ENSG00000088812	3471018	3651118	20	180101
ENSG00000130638	45671798	45845307	22	173510
ENSG00000224470	71808439	71885268	16	76830
ENSG00000204842	111443485	111599676	12	156192
ENSG00000168488	28822999	28837237	16	14239
ENSG00000087152	44191805	44200961	17	9157
ENSG00000253719	74537835	74545430	12	7596
ENSG00000148090	91213815	91361961	9	148147
ENSG00000115307	74526636	74529788	2	3153
ENSG00000175756	1373729	1375521	1	1793
ENSG00000103126	287440	352730	16	65291
ENSG00000163512	28315003	28349050	3	34048
ENSG00000155096	102826111	102893864	8	67754
ENSG00000176022	1232237	1235041	1	2805
ENSG00000158850	161171306	161178652	1	7347
ENSG00000158470	49632945	49713908	20	80964
ENSG00000027847	177600114	177611056	5	10943
ENSG00000105393	17267343	17281249	19	13907
ENSG00000002330	64269828	64291946	11	22119
ENSG00000107262	33247820	33264720	9	16901
ENSG00000156735	38176533	38213301	8	36769
ENSG00000229524	3116310	3129995	HSCHR6_MHC_COX_CTG1	13686
ENSG00000227761	2886791	2900476	HSCHR6_MHC_DBB_CTG1	13686
ENSG00000233348	2938304	2951983	HSCHR6_MHC_SSTO_CTG1	13680
ENSG00000228760	2944068	2957751	HSCHR6_MHC_MANN_CTG1	13684
ENSG00000234651	2980907	2994577	HSCHR6_MHC_MCF_CTG1	13671
ENSG00000096155	2894841	2908524	HSCHR6_MHC_QBL_CTG1	13684
ENSG00000204463	31638544	31652747	6	14204
ENSG00000140320	40436611	40468242	15	31632
ENSG00000175334	66002228	66004170	11	1943
ENSG00000163930	52401008	52410008	3	9001
ENSG00000009954	73440406	73522293	7	81888
ENSG00000140463	72686186	72742006	15	55821
ENSG00000283852	426428	464015	HG2266_PATCH	37588
ENSG00000075790	107579957	107629170	7	49214
ENSG00000185825	153698006	153725957	X	27952
ENSG00000116752	114567552	114581648	1	14097
ENSG00000105552	48795061	48811056	19	15996
ENSG00000107949	125823525	125853695	10	30171
ENSG00000248098	41397793	41425005	19	27213
ENSG00000103507	31106107	31112791	16	6685
ENSG00000171552	31664452	31723989	20	59538
ENSG00000099968	17628848	17730855	22	102008
ENSG00000258643	23306833	23326175	14	19343
ENSG00000106635	73536355	73557699	7	21345
ENSG00000029363	136256627	136289851	6	33225
ENSG00000074582	218658764	218663466	2	4703
ENSG00000126581	42809870	42833350	17	23481
ENSG00000275618	205671	242094	HSCHR16_1_CTG1	36424
ENSG00000103429	14632830	14669237	16	36408
ENSG00000110330	102347208	102378680	11	31473
ENSG00000270181	102799110	102875994	13	76885
ENSG00000108578	30248200	30292152	17	43953
ENSG00000135441	55716033	55720087	12	4055
ENSG00000196072	100273280	100286697	10	13418
ENSG00000189114	45178745	45216933	19	38189
ENSG00000186222	6716174	6717664	4	1491
ENSG00000104164	45587214	45615945	15	28732
ENSG00000117475	169367970	169396540	1	28571
ENSG00000168283	22321078	22331485	10	10408
ENSG00000165733	42782783	42834937	10	52155
ENSG00000113734	173144442	173164397	5	19956
ENSG00000140299	59659146	59689350	15	30205
ENSG00000145919	173607145	173616659	5	9515
ENSG00000178096	149887890	149900798	1	12909
ENSG00000163170	74135397	74147977	2	12581
ENSG00000172331	134646811	134679816	7	33006
ENSG00000162813	220057079	220119267	1	62189
ENSG00000171634	67825503	67984378	17	158876
ENSG00000106009	2537810	2555782	7	17973
ENSG00000235307	4367907	4430762	HSCHR6_MHC_SSTO_CTG1	62856
ENSG00000230678	4221380	4225039	HSCHR6_MHC_DBB_CTG1	3660
ENSG00000234507	4380869	4393720	HSCHR6_MHC_COX_CTG1	12852
ENSG00000234704	4388044	4400883	HSCHR6_MHC_MANN_CTG1	12840
ENSG00000236227	4267717	4278255	HSCHR6_MHC_MCF_CTG1	10539
ENSG00000215077	4162985	4175823	HSCHR6_MHC_QBL_CTG1	12839
ENSG00000204256	32968594	32981505	6	12912
ENSG00000141867	15235519	15332545	19	97027
ENSG00000166164	50313487	50368988	16	55502
ENSG00000028310	850291	892838	5	42548
ENSG00000185024	105209277	105315589	14	106313
ENSG00000104221	37843268	37849861	8	6594
ENSG00000113460	34915273	34926622	5	11350
ENSG00000254999	10115673	10127190	3	11518
ENSG00000174744	66337333	66345132	11	7800
ENSG00000156983	9731729	9748019	3	16291
ENSG00000096070	36196006	36232790	6	36785
ENSG00000160058	32364633	32394731	1	30099
ENSG00000172270	571277	583498	19	12222
ENSG00000133243	1985438	2034881	19	49444
ENSG00000169814	15601341	15722311	3	120971
ENSG00000145741	73498408	73505667	5	7260
ENSG00000154473	123154395	123170467	10	16073
ENSG00000082153	200810594	200827338	2	16745
ENSG00000119965	122930901	122954311	10	23411
ENSG00000171067	68261335	68272001	11	10667
ENSG00000110696	16613132	16758340	11	145209
ENSG00000111678	6942938	6946003	12	3066
ENSG00000179933	23094692	23100456	14	5765
ENSG00000186665	67991099	67996469	17	5371
ENSG00000141428	35972625	35979286	18	6662
ENSG00000177576	49477243	49487256	18	10014
ENSG00000104979	13774454	13778773	19	4320
ENSG00000106392	7156934	7248616	7	91683
ENSG00000197982	37806979	37809454	1	2476
ENSG00000198912	3889125	3900293	1	11169
ENSG00000143612	154206668	154220681	1	14014
ENSG00000164008	42767245	42779491	1	12247
ENSG00000162642	85249953	85259672	1	9720
ENSG00000108561	5432777	5448830	17	16054
ENSG00000135974	105337532	105350712	2	13181
ENSG00000178074	199911293	199955935	2	44643
ENSG00000237651	61145068	61164828	2	19761
ENSG00000186132	119299439	119366860	2	67422
ENSG00000179021	88149647	88168729	3	19083
ENSG00000113583	133955510	133968674	5	13165
ENSG00000181904	134845680	134859735	5	14056
ENSG00000185127	169702126	169706360	6	4235
ENSG00000233641	2126761	2132823	HSCHR6_MHC_COX_CTG1	6063
ENSG00000237100	1947798	1953860	HSCHR6_MHC_SSTO_CTG1	6063
ENSG00000237012	1902868	1908932	HSCHR6_MHC_DBB_CTG1	6065
ENSG00000224120	1991089	1997159	HSCHR6_MHC_MCF_CTG1	6071
ENSG00000233164	1957268	1963333	HSCHR6_MHC_MANN_CTG1	6066
ENSG00000206487	1902127	1908191	HSCHR6_MHC_QBL_CTG1	6065
ENSG00000204564	30647033	30653210	6	6178
ENSG00000204439	31658298	31660778	6	2481
ENSG00000226103	2957575	2960049	HSCHR6_MHC_SSTO_CTG1	2475
ENSG00000228435	2906069	2908543	HSCHR6_MHC_DBB_CTG1	2475
ENSG00000235360	3135587	3138059	HSCHR6_MHC_COX_CTG1	2473
ENSG00000228177	2963344	2965819	HSCHR6_MHC_MANN_CTG1	2476
ENSG00000226531	3000170	3002644	HSCHR6_MHC_MCF_CTG1	2475
ENSG00000203623	2914116	2916590	HSCHR6_MHC_QBL_CTG1	2475
ENSG00000112308	24704856	24720874	6	16019
ENSG00000198663	36871870	36928964	6	57095
ENSG00000136197	42908619	42912518	7	3900
ENSG00000291362	9906	24126	HG1047_PATCH	14221
ENSG00000182307	145052425	145066685	8	14261
ENSG00000189376	123219967	123241384	8	21418
ENSG00000213563	144525733	144529132	8	3400
ENSG00000136819	129827194	129835863	9	8670
ENSG00000135932	230712822	230821076	2	108255
ENSG00000136436	48830971	48868228	17	37258
ENSG00000198668	90396502	90408268	14	11767
ENSG00000179218	12938578	12944490	19	5913
ENSG00000128595	128739292	128773400	7	34109
ENSG00000171735	6785454	7769706	1	984253
ENSG00000108509	4967992	4987684	17	19693
ENSG00000171302	78991707	79009867	17	18161
ENSG00000283777	444319	497221	HG30_PATCH	52903
ENSG00000127022	179678628	179731641	5	53014
ENSG00000014216	65180566	65212006	11	31441
ENSG00000131375	15206112	15252919	3	46808
ENSG00000126247	36139953	36150356	19	10404
ENSG00000135387	34051674	34102610	11	50937
ENSG00000198898	116811070	116922049	7	110980
ENSG00000077549	19338775	19485600	1	146826
ENSG00000134905	110641411	110713603	13	72193
ENSG00000108349	40140278	40177001	17	36724
ENSG00000164305	184627695	184650418	4	22724
ENSG00000165806	113679162	113731290	10	52129
ENSG00000132906	15490832	15526534	1	35703
ENSG00000145439	168863770	169010311	4	146542
ENSG00000122565	26201162	26213607	7	12446
ENSG00000094916	54230942	54280133	12	49192
ENSG00000288293	118042	142720	HG109_PATCH	24679
ENSG00000132024	13906160	13930884	19	24725
ENSG00000154222	52345723	52366318	1	20596
ENSG00000060339	68721012	68792377	10	71366
ENSG00000160799	46916634	46982010	3	65377
ENSG00000007080	17932588	17944914	19	12327
ENSG00000164366	196868	218153	5	21286
ENSG00000185298	81666737	81673904	17	7168
ENSG00000181982	24803514	24980204	4	176691
ENSG00000154781	14651762	14672659	3	20898
ENSG00000101997	49235444	49250526	X	15083
ENSG00000147419	27733316	27772653	8	39338
ENSG00000108588	63745255	63776351	17	31097
ENSG00000152492	191329085	191398659	3	69575
ENSG00000164051	48432164	48440456	3	8293
ENSG00000133773	82223681	82358805	12	135125
ENSG00000177352	49161063	49166331	3	5269
ENSG00000110104	60842113	60851081	11	8969
ENSG00000275035	92215	119498	HSCHR12_6_CTG2_1	27284
ENSG00000119242	123918660	123974253	12	55594
ENSG00000136280	44999475	45076469	7	76995
ENSG00000291784	514049	535993	HG2526_HG2573_PATCH	21945
ENSG00000100814	20311353	20333314	14	21962
ENSG00000166946	43185118	43197177	15	12060
ENSG00000113328	163437569	163448199	5	10631
ENSG00000134480	87318416	87413029	5	94614
ENSG00000090061	99481169	99535044	14	53876
ENSG00000163660	157146508	157160760	3	14253
ENSG00000221978	1385711	1399339	1	13629
ENSG00000108100	35247025	35572669	10	325645
ENSG00000260916	55340032	55408510	15	68479
ENSG00000163468	156308960	156367873	1	58914
ENSG00000115484	61868085	61888696	2	20612
ENSG00000150753	10249929	10266389	5	16461
ENSG00000146731	56051685	56063991	7	12307
ENSG00000135624	73233420	73253021	2	19602
ENSG00000291533	146539	164531	HG2219_PATCH	17993
ENSG00000156261	29055805	29073797	21	17993
ENSG00000135535	109366514	109382469	6	15956
ENSG00000167775	8302126	8308366	19	6241
ENSG00000117335	207752037	207795513	1	43477
ENSG00000135404	55723511	55730023	12	6513
ENSG00000110651	2376166	2397802	11	21637
ENSG00000085117	44564414	44620924	11	56511
ENSG00000102181	150766336	150898816	X	132481
ENSG00000151465	12195950	12250595	10	54646
ENSG00000130177	114234856	114272723	13	37868
ENSG00000094880	138187644	138213343	5	25700
ENSG00000004897	47117703	47189422	17	71720
ENSG00000105401	10391090	10420185	19	29096
ENSG00000106993	4679559	4708399	9	28841
ENSG00000168438	110180141	110254275	6	74135
ENSG00000070831	22052627	22101360	1	48734
ENSG00000096401	44387565	44450425	6	62861
ENSG00000274336	212998	226625	HSCHR16_3_CTG1	13628
ENSG00000089486	4510619	4538828	16	28210
ENSG00000103502	29858357	29863414	16	5058
ENSG00000167258	39461437	39567559	17	106123
ENSG00000065883	39950121	40099580	7	149460
ENSG00000102225	47217860	47230000	X	12141
ENSG00000111328	123250112	123272334	12	22223
ENSG00000135446	57747722	57756013	12	8292
ENSG00000101391	33358437	33401561	20	43125
ENSG00000132964	26253891	26420982	13	167092
ENSG00000136807	127785679	127790792	9	5114
ENSG00000101290	5126879	5197887	20	71009
ENSG00000091527	133573686	133590261	3	16576
ENSG00000153046	4706159	4955551	6	249393
ENSG00000153879	33373685	33382686	19	9002
ENSG00000115816	37201570	37231601	2	30032
ENSG00000149187	47465933	47565569	11	99637
ENSG00000125817	3783851	3786740	20	2890
ENSG00000102901	67828157	67847811	16	19655
ENSG00000116198	3812086	3857723	1	45638
ENSG00000166037	95789965	95832693	11	42729
ENSG00000182923	134485699	134587789	3	102091
ENSG00000100422	46684410	46738267	22	53858
ENSG00000143418	150960583	150977396	1	16814
ENSG00000163320	88051944	88149885	3	97942
ENSG00000198824	114314482	114337626	13	23145
ENSG00000172586	73782047	73783652	10	1606
ENSG00000106153	56094567	56106505	7	11939
ENSG00000106554	132784449	133082250	7	297802
ENSG00000163528	14112077	14124876	3	12800
ENSG00000125611	112584240	112589275	2	5036
ENSG00000170791	56211686	56218809	8	7124
ENSG00000131778	147242643	147295767	1	53125
ENSG00000111642	6570081	6614982	12	44902
ENSG00000100888	21385194	21456126	14	70933
ENSG00000085872	16517882	16542448	19	24567
ENSG00000177830	867331	915579	11	48249
ENSG00000100288	50578959	50601455	22	22497
ENSG00000131165	89640816	89657738	16	16923
ENSG00000130724	58551452	58555128	19	3677
ENSG00000083937	87227271	87255556	3	28286
ENSG00000285302	510561	514847	HG1_PATCH	4287
ENSG00000254505	24209615	24213830	14	4216
ENSG00000101421	33811345	33854366	20	43022
ENSG00000086065	33264017	33282071	9	18055
ENSG00000176108	80991598	81009517	17	17920
ENSG00000187446	41230824	41281888	15	51065
ENSG00000111666	101696947	101744140	12	47194
ENSG00000104472	140511311	140517154	8	5844
ENSG00000136213	2403442	2448484	7	45043
ENSG00000147119	46573391	46598496	X	25106
ENSG00000160679	153633982	153646306	1	12325
ENSG00000213341	100188300	100229596	10	41297
ENSG00000258289	64914361	64944591	14	30231
ENSG00000125954	64914485	65061803	14	147319
ENSG00000144021	96266159	96274173	2	8015
ENSG00000185043	90229975	90234047	15	4073
ENSG00000079432	42268537	42295801	19	27265
ENSG00000100865	102341102	102362916	14	21815
ENSG00000138433	174348022	174395712	2	47691
ENSG00000122873	58269151	58289586	10	20436
ENSG00000145354	102868971	102892807	4	23837
ENSG00000274768	2765554	2770363	HSCHR17_7_CTG4	4810
ENSG00000277972	38730318	38735605	17	5288
ENSG00000136026	106237880	106304279	12	66400
ENSG00000121940	108881885	108963527	1	81643
ENSG00000109572	169612438	169723673	4	111236
ENSG00000103249	1444934	1475104	16	30171
ENSG00000113282	157785743	157859169	5	73427
ENSG00000179335	74598500	74645414	15	46915
ENSG00000074201	77514936	77637809	11	122874
ENSG00000134852	55427903	55547491	4	119589
ENSG00000172409	57648188	57661865	11	13678
ENSG00000125656	6361427	6370242	19	8816
ENSG00000104853	44954585	44993341	19	38757
ENSG00000274811	168910	195710	HSCHR5_3_CTG1	26801
ENSG00000049656	1317744	1345099	5	27356
ENSG00000166855	65148219	65185393	15	37175
ENSG00000122705	36190856	36304781	9	113926
ENSG00000175416	176392494	176416557	5	24064
ENSG00000141367	59619680	59696956	17	77277
ENSG00000111726	22046174	22065674	12	19501
ENSG00000187118	28241584	28325142	3	83559
ENSG00000291948	14687	68509	HG405_PATCH	53823
ENSG00000103121	80966448	81020270	16	53823
ENSG00000182712	155061622	155071136	X	9515
ENSG00000162368	47333790	47394866	1	61077
ENSG00000169714	129167818	129184008	3	16191
ENSG00000143771	224356858	224379459	1	22602
ENSG00000148842	102918286	103090222	10	171937
ENSG00000168763	96816245	96835382	2	19138
ENSG00000125107	58519951	58629885	16	109935
ENSG00000158435	101252873	101270316	2	17444
ENSG00000111596	70243002	70354993	12	111992
ENSG00000274176	112549	130558	HSCHR19LRC_COX2_CTG3_1	18010
ENSG00000275979	112549	130558	HSCHR19LRC_LRC_S_CTG3_1	18010
ENSG00000277114	112549	130557	HSCHR19LRC_COX1_CTG3_1	18009
ENSG00000274941	112549	130558	HSCHR19LRC_LRC_I_CTG3_1	18010
ENSG00000273943	112549	130558	HSCHR19LRC_LRC_T_CTG3_1	18010
ENSG00000276082	112549	130558	HSCHR19LRC_LRC_J_CTG3_1	18010
ENSG00000277600	112557	130532	HSCHR19_4_CTG3_1	17976
ENSG00000274616	112549	130558	HSCHR19LRC_PGF1_CTG3_1	18010
