Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	gene_length_bp	hk_status
ENSG00000285815	39380332	39515506	21	135175	non-HK
ENSG00000183036	39867438	39929397	21	61960	non-HK
ENSG00000171587	40010999	40847158	21	836160	non-HK
ENSG00000183421	41739369	41767089	21	27721	non-HK
ENSG00000160181	42346357	42350997	21	4641	non-HK
ENSG00000160182	42362282	42366535	21	4254	non-HK
ENSG00000160185	42403447	42447684	21	44238	non-HK
ENSG00000234289	43565182	43565648	21	467	non-HK
ENSG00000142182	44246339	44262216	21	15878	non-HK
ENSG00000160226	44328944	44339402	21	10459	non-HK
ENSG00000215455	44538981	44540195	21	1215	non-HK
ENSG00000205445	44550357	44551505	21	1149	non-HK
ENSG00000212935	44557790	44558795	21	1006	non-HK
ENSG00000241123	44579455	44580604	21	1150	non-HK
ENSG00000188155	44591268	44592505	21	1238	non-HK
ENSG00000272804	44600597	44602174	21	1578	non-HK
ENSG00000187766	44612079	44612954	21	876	non-HK
ENSG00000221859	44637356	44638455	21	1100	non-HK
ENSG00000243489	44646414	44647650	21	1237	non-HK
ENSG00000212933	44654213	44654659	21	447	non-HK
ENSG00000205439	44657932	44658341	21	410	non-HK
ENSG00000221864	44666189	44666927	21	739	non-HK
ENSG00000187175	44681576	44682163	21	588	non-HK
ENSG00000184221	33070141	33072413	21	2273	non-HK
ENSG00000166351	13609777	13645823	21	36047	non-HK
ENSG00000177398	42062959	42143453	21	80495	non-HK
ENSG00000288711	34511122	34614913	21	103792	non-HK
ENSG00000183640	30812697	30813274	21	578	non-HK
ENSG00000274749	30829039	30829759	21	721	non-HK
ENSG00000182591	30880644	30881580	21	937	non-HK
ENSG00000206102	31038159	31038476	21	318	non-HK
ENSG00000233056	42916803	42925630	21	8828	non-HK
ENSG00000188992	14108813	14210955	21	102143	non-HK
ENSG00000221837	44627093	44628378	21	1286	non-HK
ENSG00000215454	44573729	44575371	21	1643	non-HK
ENSG00000183067	39745183	39802081	21	56899	non-HK
ENSG00000160294	46235133	46286297	21	51165	non-HK
ENSG00000273167	23979700	24321031	13	341332	non-HK
ENSG00000204899	72708367	72727629	13	19263	non-HK
ENSG00000165837	45534522	45615739	13	81218	non-HK
ENSG00000150361	69700594	70108493	13	407900	non-HK
ENSG00000182670	37073226	37203112	21	129887	non-HK
ENSG00000150893	38687077	38887131	13	200055	non-HK
ENSG00000204918	57147488	57150509	13	3022	non-HK
ENSG00000227151	57160632	57163653	13	3022	non-HK
ENSG00000234278	57167197	57170218	13	3022	non-HK
ENSG00000174015	45702320	45714559	13	12240	non-HK
ENSG00000152192	78598362	78603552	13	5191	non-HK
ENSG00000188811	39038306	39050109	13	11804	non-HK
ENSG00000102837	53028813	53052057	13	23245	non-HK
ENSG00000204919	57140918	57143939	13	3022	non-HK
ENSG00000139734	59665583	60163928	13	498346	non-HK
ENSG00000197683	30319124	30320315	21	1192	non-HK
ENSG00000206107	30337013	30337694	21	682	non-HK
ENSG00000182816	30371390	30372271	21	882	non-HK
ENSG00000198390	30396031	30396822	21	792	non-HK
ENSG00000186970	30440275	30440869	21	595	non-HK
ENSG00000184351	30479706	30480367	21	662	non-HK
ENSG00000186965	30487043	30487436	21	394	non-HK
ENSG00000244025	30491462	30492013	21	552	non-HK
ENSG00000186967	30496824	30497165	21	342	non-HK
ENSG00000186977	30501657	30502141	21	485	non-HK
ENSG00000186925	30541535	30541864	21	330	non-HK
ENSG00000244362	30560875	30561314	21	440	non-HK
ENSG00000206106	30590105	30590397	21	293	non-HK
ENSG00000186924	30601087	30601382	21	296	non-HK
ENSG00000244624	30616425	30616699	21	275	non-HK
ENSG00000206105	30620627	30620850	21	224	non-HK
ENSG00000184032	30635206	30635619	21	414	non-HK
ENSG00000206104	30642864	30643136	21	273	non-HK
ENSG00000231068	30718525	30718777	21	253	non-HK
ENSG00000187026	30746794	30747259	21	466	non-HK
ENSG00000187005	30755015	30755428	21	414	non-HK
ENSG00000186980	30348399	30348606	21	208	non-HK
ENSG00000240432	30425380	30425926	21	547	non-HK
ENSG00000186971	30430220	30431026	21	807	non-HK
ENSG00000186930	30598590	30598902	21	313	non-HK
ENSG00000184724	30613431	30613930	21	500	non-HK
ENSG00000160299	46324124	46445769	21	121646	non-HK
ENSG00000159140	33543038	33577481	21	34444	HK
ENSG00000118946	57631744	57729311	13	97568	non-HK
ENSG00000136141	46553168	46753040	13	199873	non-HK
ENSG00000229665	57140918	57157082	13	16165	non-HK
ENSG00000184564	85792790	85806683	13	13894	non-HK
ENSG00000182968	112067149	112071706	13	4558	non-HK
ENSG00000041515	108596152	109208005	13	611854	non-HK
ENSG00000249624	33229892	33297160	21	67269	non-HK
ENSG00000180530	14961235	15065936	21	104702	non-HK
ENSG00000159200	34513142	34615113	21	101972	non-HK
ENSG00000185950	109752695	109786583	13	33889	non-HK
ENSG00000153498	112376355	112434689	13	58335	non-HK
ENSG00000204442	107163510	107867496	13	703987	non-HK
ENSG00000185974	113667219	113737736	13	70518	non-HK
ENSG00000122042	29764371	29850617	13	86247	HK
ENSG00000171189	29536933	29940033	21	403101	non-HK
ENSG00000179813	42781550	42791549	13	10000	non-HK
ENSG00000198553	50015254	50020922	13	5669	non-HK
ENSG00000189169	44697172	44698044	21	873	non-HK
ENSG00000150510	51222334	51284239	13	61906	non-HK
ENSG00000288593	43939919	43959673	21	19755	non-HK
ENSG00000286224	46326288	46326491	21	204	non-HK
ENSG00000189167	32303699	32315363	13	11665	non-HK
ENSG00000180138	37103259	37105664	13	2406	non-HK
ENSG00000243927	34073224	34362252	21	289029	HK
ENSG00000133111	36819222	36829104	13	9883	non-HK
ENSG00000293606	34073576	34143030	21	69455	non-HK
ENSG00000215475	45777242	45851753	13	74512	non-HK
ENSG00000198743	34073578	34106260	21	32683	non-HK
ENSG00000175820	102729367	102759072	13	29706	non-HK
ENSG00000159197	34180729	34371381	21	190653	non-HK
ENSG00000270181	102799110	102875994	13	76885	non-HK
ENSG00000178235	83877205	83882474	13	5270	non-HK
ENSG00000165572	41127569	41132802	13	5234	non-HK
ENSG00000120696	41189834	41194569	13	4736	non-HK
ENSG00000166265	26466209	26573286	21	107078	non-HK
ENSG00000125249	97434169	97469128	13	34960	non-HK
ENSG00000160202	43169008	43172810	21	3803	non-HK
ENSG00000180730	26044597	26052016	13	7420	non-HK
ENSG00000133105	31739526	31803389	13	63864	non-HK
ENSG00000073910	31846713	32299125	13	452413	non-HK
ENSG00000253797	52024691	52033600	13	8910	non-HK
ENSG00000123171	51861969	51866232	13	4264	non-HK
ENSG00000125245	99254732	99261744	13	7013	non-HK
ENSG00000102524	108251240	108308484	13	57245	non-HK
ENSG00000132932	25371974	26025851	13	653878	non-HK
ENSG00000151835	23288689	23433763	13	145075	non-HK
ENSG00000231824	5142911	5197503	18	54593	non-HK
ENSG00000132874	45212995	45683688	18	470694	non-HK
ENSG00000285444	51763951	51845159	13	81209	non-HK
ENSG00000178695	76880175	76886405	13	6231	non-HK
ENSG00000102805	76990660	77019143	13	28484	HK
ENSG00000283208	76992078	77129589	13	137512	non-HK
ENSG00000212710	22413599	22417915	18	4317	non-HK
ENSG00000134489	24460637	24479961	18	19325	non-HK
ENSG00000253309	51335773	51364735	13	28963	non-HK
ENSG00000177511	57352557	57371731	18	19175	non-HK
ENSG00000139780	102685747	102695044	13	9298	non-HK
ENSG00000125255	103043998	103066417	13	22420	non-HK
ENSG00000228075	57147087	57150410	18	3324	non-HK
ENSG00000139675	52642431	52643773	13	1343	non-HK
ENSG00000182346	105465867	105491034	13	25168	non-HK
ENSG00000081138	65750252	65890337	18	140086	non-HK
ENSG00000043355	99981784	99986765	13	4982	non-HK
ENSG00000139800	99962964	99971767	13	8804	non-HK
ENSG00000169840	27792483	27794768	13	2286	non-HK
ENSG00000166603	60371062	60372775	18	1714	non-HK
ENSG00000139515	27920000	27926313	13	6314	non-HK
ENSG00000172915	34942270	35673022	13	730753	non-HK
ENSG00000101542	61333430	61555779	18	222350	non-HK
ENSG00000141428	35972625	35979286	18	6662	non-HK
ENSG00000141424	36108531	36129385	18	20855	HK
ENSG00000102678	21671073	21704498	13	33426	non-HK
ENSG00000166573	77249848	77277900	18	28053	non-HK
ENSG00000153531	113399611	113453488	13	53878	non-HK
ENSG00000197971	76978827	77133683	18	154857	non-HK
ENSG00000197991	61409858	61427849	13	17992	non-HK
ENSG00000237378	63746741	63751080	13	4340	non-HK
ENSG00000132958	19422876	19561625	13	138750	non-HK
ENSG00000120659	42562736	42608013	13	45278	non-HK
ENSG00000253710	52012391	52079232	13	66842	non-HK
ENSG00000173988	46211928	46277115	13	65188	non-HK
ENSG00000285566	63832361	63833053	13	693	non-HK
ENSG00000280165	61409685	61415849	13	6165	non-HK
ENSG00000132972	24764169	24879921	13	115753	non-HK
ENSG00000102471	79481155	79556077	13	74923	non-HK
ENSG00000267228	47108188	47176345	18	68158	non-HK
ENSG00000175065	31376777	31414912	18	38136	non-HK
ENSG00000186009	113648804	113658198	13	9395	non-HK
ENSG00000186047	50519364	50843939	13	324576	non-HK
ENSG00000215472	49481681	49492479	18	10799	non-HK
ENSG00000139737	77697687	77764242	13	66556	non-HK
ENSG00000176624	51174550	51218333	18	43784	non-HK
ENSG00000119547	57435374	57491298	18	55925	non-HK
ENSG00000173482	7566782	8406861	18	840080	non-HK
ENSG00000133116	33016423	33066143	13	49721	non-HK
ENSG00000136099	52842889	52848641	13	5753	non-HK
ENSG00000276644	71437966	71867204	13	429239	non-HK
ENSG00000083635	44939249	44989471	13	50223	non-HK
ENSG00000154856	10454635	10489949	18	35315	non-HK
ENSG00000180332	45192853	45201045	13	8193	non-HK
ENSG00000151846	25096136	25099254	13	3119	non-HK
ENSG00000165566	25161679	25172288	13	10610	non-HK
ENSG00000120669	36168217	36214588	13	46372	non-HK
ENSG00000250709	36168794	36297842	13	129049	non-HK
ENSG00000171791	63123346	63320128	18	196783	non-HK
ENSG00000181626	12093843	12129764	18	35922	non-HK
ENSG00000242715	36222008	36297840	13	75833	non-HK
ENSG00000176194	12254361	12277595	18	23235	non-HK
ENSG00000134762	30989365	31042815	18	53451	non-HK
ENSG00000134765	31129236	31162856	18	33621	non-HK
ENSG00000102794	76948511	76958638	13	10128	non-HK
ENSG00000183098	93226807	94408020	13	1181214	non-HK
ENSG00000134760	31318160	31359246	18	41087	non-HK
ENSG00000080166	94436811	94479682	13	42872	non-HK
ENSG00000154611	26133852	26193355	18	59504	non-HK
ENSG00000125285	94709622	94712545	13	2924	non-HK
ENSG00000185352	96090107	96839562	13	749456	non-HK
ENSG00000131196	79395856	79529325	18	133470	non-HK
ENSG00000198033	19173772	19181824	13	8053	non-HK
ENSG00000179399	91398621	92873682	13	1475062	non-HK
ENSG00000183463	27977717	27988693	13	10977	non-HK
ENSG00000205863	23891099	23897502	13	6404	non-HK
ENSG00000288716	77326905	77326988	13	84	non-HK
ENSG00000139618	32315086	32400268	13	85183	non-HK
ENSG00000153487	110712736	110723339	13	10604	non-HK
ENSG00000122034	27424619	27435823	13	11205	HK
ENSG00000139797	98175785	98177269	13	1485	non-HK
ENSG00000053747	23689453	23956222	18	266770	non-HK
ENSG00000283199	113953705	113974076	13	20372	non-HK
ENSG00000226792	51082119	51200252	13	118134	non-HK
ENSG00000141404	11689264	11885685	18	196422	non-HK
ENSG00000141434	32185069	32220404	18	35336	non-HK
ENSG00000167210	46476972	46657220	18	180249	non-HK
ENSG00000197641	63586989	63604639	18	17651	non-HK
ENSG00000206073	63637259	63644256	18	6998	non-HK
ENSG00000206072	63647579	63726432	18	78854	non-HK
ENSG00000178690	54587757	54599493	18	11737	non-HK
ENSG00000187773	74434775	74457944	18	23170	non-HK
ENSG00000206043	74315839	74359189	18	43351	non-HK
ENSG00000166634	63542369	63569329	18	26961	non-HK
ENSG00000141391	12407896	12432238	18	24343	non-HK
ENSG00000206418	8609437	8639383	18	29947	non-HK
ENSG00000206181	47032527	47035621	18	3095	non-HK
ENSG00000141759	79970813	80033949	18	63137	non-HK
ENSG00000267127	80034346	80097088	18	62743	non-HK
ENSG00000101546	80034389	80050651	18	16263	non-HK
ENSG00000178184	80157232	80247514	18	90283	non-HK
ENSG00000267699	50968019	51058144	18	90126	non-HK
ENSG00000091157	56651343	57029811	18	378469	non-HK
ENSG00000177143	580380	582114	18	1735	non-HK
ENSG00000206422	7231089	7232044	18	956	non-HK
ENSG00000183206	14507339	14543600	18	36262	non-HK
ENSG00000168454	9885766	9889275	18	3510	non-HK
ENSG00000154864	10666483	11149569	18	483087	non-HK
ENSG00000166960	32937402	33441101	18	503700	non-HK
ENSG00000176136	13824149	13827323	18	3175	non-HK
ENSG00000174448	54324358	54357964	18	33607	non-HK
ENSG00000134443	59220158	59230774	18	10617	non-HK
ENSG00000134438	59267035	59274086	18	7052	non-HK
ENSG00000166569	59275156	59318649	18	43494	non-HK
ENSG00000197046	45825675	45844094	18	18420	non-HK
ENSG00000141431	33578219	33751195	18	172977	non-HK
ENSG00000221887	63949301	63981774	18	32474	non-HK
ENSG00000266997	49795793	49837623	18	41831	non-HK
ENSG00000175322	14057457	14132490	18	75034	non-HK
ENSG00000222018	34400112	34401072	21	961	non-HK
ENSG00000243627	34414494	34423951	21	9458	non-HK
ENSG00000079101	596988	650334	18	53347	non-HK
ENSG00000289724	63897174	63917490	18	20317	non-HK
ENSG00000242550	63907958	63936111	18	28154	non-HK
ENSG00000236396	11609596	11610612	18	1017	non-HK
ENSG00000255112	11851413	11854444	18	3032	non-HK
ENSG00000179981	75210755	75289950	18	79196	non-HK
ENSG00000212938	30592440	30593055	21	616	non-HK
ENSG00000130856	76822557	76972901	18	150345	non-HK
ENSG00000182093	39377698	39428528	21	50831	non-HK
ENSG00000173213	47221	73545	18	26325	non-HK
ENSG00000180011	75195113	75209139	18	14027	non-HK
ENSG00000170579	3496032	4455307	18	959276	non-HK
ENSG00000205726	33642400	33899861	21	257462	non-HK
ENSG00000187323	52340197	53535899	18	1195703	non-HK
ENSG00000260861	1540144	1620009	20	79866	non-HK
ENSG00000267140	35443871	35497940	18	54070	non-HK
ENSG00000171873	4220630	4249287	20	28658	non-HK
ENSG00000125903	227258	229886	20	2629	non-HK
ENSG00000178591	87250	97094	20	9845	non-HK
ENSG00000173404	20368104	20370949	20	2846	non-HK
ENSG00000185982	187853	189711	20	1859	non-HK
ENSG00000067900	20944612	21111813	18	167202	non-HK
ENSG00000125788	142590	145751	20	3162	non-HK
ENSG00000132640	11890723	11926609	20	35887	non-HK
ENSG00000293575	21111059	21111139	18	81	non-HK
ENSG00000101230	13221274	13300651	20	79378	non-HK
ENSG00000284776	18567453	18744216	20	176764	non-HK
ENSG00000286022	2207328	2341059	20	133732	non-HK
ENSG00000206026	75409476	75427703	18	18228	non-HK
ENSG00000170369	23823769	23826729	20	2961	non-HK
ENSG00000215397	661596	675802	20	14207	non-HK
ENSG00000088782	157454	159163	20	1710	non-HK
ENSG00000215547	31257664	31259632	20	1969	non-HK
ENSG00000270299	646626	675800	20	29175	non-HK
ENSG00000101447	38926312	38953106	20	26795	non-HK
ENSG00000158445	49293394	49484297	20	190904	non-HK
ENSG00000124089	56248732	56249815	20	1084	non-HK
ENSG00000054803	55997357	56005519	20	8163	non-HK
ENSG00000141437	31759584	31760880	18	1297	non-HK
ENSG00000130701	62410237	62427539	20	17303	non-HK
ENSG00000124225	57648392	57711536	20	63145	non-HK
ENSG00000101115	51782331	51802521	20	20191	non-HK
ENSG00000132631	18813783	18814378	20	596	non-HK
ENSG00000125533	63005927	63007035	20	1109	non-HK
ENSG00000179242	61252261	61940617	20	688357	non-HK
ENSG00000184402	62143769	62182514	20	38746	non-HK
ENSG00000196074	59863564	59933655	20	70092	non-HK
ENSG00000130702	62307955	62367312	20	59358	non-HK
ENSG00000124232	45306840	45317824	20	10985	non-HK
ENSG00000254806	45363200	45410610	20	47411	non-HK
ENSG00000124251	45372557	45407889	20	35333	non-HK
ENSG00000254995	58651434	58715410	20	63977	non-HK
ENSG00000101162	59019429	59026654	20	7226	non-HK
ENSG00000125975	35523186	35529652	20	6467	non-HK
ENSG00000160282	46136083	46155581	21	19499	non-HK
ENSG00000272897	35632340	35674544	20	42205	non-HK
ENSG00000197296	44302840	44311202	20	8363	non-HK
ENSG00000277611	43540171	43569498	20	29328	non-HK
ENSG00000124196	43726164	43727002	20	839	non-HK
ENSG00000099985	30262829	30266851	22	4023	non-HK
ENSG00000125879	16748358	16770062	20	21705	non-HK
ENSG00000101074	44337043	44351238	20	14196	non-HK
ENSG00000100365	36860988	36878017	22	17030	non-HK
ENSG00000101197	63235883	63240495	20	4613	non-HK
ENSG00000101198	63240784	63272694	20	31911	non-HK
ENSG00000241945	44107358	44131181	21	23824	HK
ENSG00000101204	63343223	63378401	20	35179	non-HK
ENSG00000100346	39570753	39689735	22	118983	non-HK
ENSG00000125863	10401009	10434222	20	33214	non-HK
ENSG00000142156	45981755	46005050	21	23296	non-HK
ENSG00000260903	31968151	32003387	20	35237	non-HK
ENSG00000126003	32192504	32207743	20	15240	non-HK
ENSG00000285382	32632183	32743567	20	111385	non-HK
ENSG00000261582	35267885	35280043	20	12159	non-HK
ENSG00000125998	35285731	35292425	20	6695	non-HK
ENSG00000259399	36574553	36612384	20	37832	non-HK
ENSG00000101405	3071620	3072517	20	898	non-HK
ENSG00000160223	44215382	44241446	21	26065	non-HK
ENSG00000101200	3082556	3084724	20	2169	non-HK
ENSG00000179772	31844303	31845604	20	1302	non-HK
ENSG00000125850	17956979	18059188	20	102210	non-HK
ENSG00000159267	36748626	36990236	21	241611	non-HK
ENSG00000232838	18137863	18143169	20	5307	HK
ENSG00000274322	1317571	1393096	20	75526	non-HK
ENSG00000159261	36460616	36576569	21	115954	non-HK
ENSG00000125900	1534251	1557705	20	23455	non-HK
ENSG00000124104	45833799	45843276	20	9478	non-HK
ENSG00000176177	39743044	39893864	22	150821	non-HK
ENSG00000160179	42199689	42304389	21	104701	non-HK
ENSG00000128342	30240453	30246759	22	6307	non-HK
ENSG00000100106	37697048	37776556	22	79509	non-HK
ENSG00000149609	33662327	33665619	20	3293	non-HK
ENSG00000101292	5299218	5316954	20	17737	non-HK
ENSG00000125888	17693672	17735871	20	42200	non-HK
ENSG00000198900	41028822	41124487	20	95666	HK
ENSG00000171864	4721909	4728460	20	6552	non-HK
ENSG00000188636	44492583	44498233	22	5651	non-HK
ENSG00000204103	40685848	40689236	20	3389	non-HK
ENSG00000130943	46255663	46263343	22	7681	non-HK
ENSG00000124107	45252239	45254564	20	2326	non-HK
ENSG00000101446	45512461	45515622	20	3162	non-HK
ENSG00000249139	45534196	45547662	20	13467	non-HK
ENSG00000138944	44243665	44312951	22	69287	non-HK
ENSG00000142178	43414483	43427131	21	12649	non-HK
ENSG00000101448	45540626	45547752	20	7127	non-HK
ENSG00000124116	45747944	45791932	20	43989	non-HK
ENSG00000159216	34787801	36004667	21	1216867	non-HK
ENSG00000128276	32354885	32361161	22	6277	non-HK
ENSG00000196431	26621963	26630669	22	8707	non-HK
ENSG00000101470	45823214	45833745	20	10532	non-HK
ENSG00000258555	24270898	24442356	22	171459	non-HK
ENSG00000160233	44455490	44462196	21	6707	non-HK
ENSG00000286070	24556007	24628987	22	72981	non-HK
ENSG00000157617	41885112	41954018	21	68907	non-HK
ENSG00000101188	62708836	62762771	20	53936	non-HK
ENSG00000186458	257724	261096	20	3373	non-HK
ENSG00000247315	297570	300321	20	2752	non-HK
ENSG00000124098	56358974	56368663	20	9690	non-HK
ENSG00000133454	25742144	26031045	22	288902	non-HK
ENSG00000124103	56517187	56526152	20	8966	non-HK
ENSG00000213714	56533246	56536520	20	3275	non-HK
ENSG00000124201	49237946	49278426	20	40481	non-HK
ENSG00000160180	42311667	42315409	21	3743	non-HK
ENSG00000243646	33266363	33311420	21	45058	non-HK
ENSG00000124217	50958818	50963929	20	5112	non-HK
ENSG00000101336	32052197	32101856	20	49660	non-HK
ENSG00000242220	32497967	32587373	21	89407	non-HK
ENSG00000185272	14216130	14228372	21	12243	non-HK
ENSG00000142185	44350072	44445246	21	95175	non-HK
ENSG00000281883	43883800	44028526	13	144727	non-HK
ENSG00000284431	40346529	40410054	22	63526	non-HK
ENSG00000177732	325552	330224	20	4673	non-HK
ENSG00000184226	66302834	67230445	13	927612	non-HK
ENSG00000170373	23747562	23751268	20	3707	non-HK
ENSG00000283809	18906238	18947732	22	41495	non-HK
ENSG00000124257	45888625	45891208	20	2584	non-HK
ENSG00000168634	45702038	45708817	20	6780	non-HK
ENSG00000149651	45722347	45725830	20	3484	non-HK
ENSG00000179750	38982347	38992804	22	10458	non-HK
ENSG00000273154	63708864	63739103	20	30240	non-HK
ENSG00000273047	63738270	63740398	20	2129	non-HK
ENSG00000241690	2814968	2818066	20	3099	non-HK
ENSG00000258713	2814987	2815833	20	847	non-HK
ENSG00000198326	2816302	2820284	20	3983	non-HK
ENSG00000125878	604257	610309	20	6053	non-HK
ENSG00000149634	45886491	45887622	20	1132	non-HK
ENSG00000125508	63538489	63547749	20	9261	non-HK
ENSG00000124203	59123381	59259113	20	135733	non-HK
ENSG00000284554	39014363	39033276	22	18914	non-HK
ENSG00000078699	33490075	33650036	20	159962	non-HK
ENSG00000243156	17787649	18024561	22	236913	non-HK
ENSG00000288649	33666943	33668525	20	1583	non-HK
ENSG00000124208	50081124	50153637	20	72514	non-HK
ENSG00000155304	14371115	14383484	21	12370	non-HK
ENSG00000198862	28928144	28992956	21	64813	non-HK
ENSG00000125823	23426104	23444930	20	18827	non-HK
ENSG00000149635	46540946	46550654	20	9709	non-HK
ENSG00000158296	46557823	46684467	20	126645	non-HK
ENSG00000184787	44768580	44801826	21	33247	HK
ENSG00000100312	50738196	50745339	22	7144	non-HK
ENSG00000124091	56491492	56525925	20	34434	non-HK
ENSG00000124140	46021690	46060150	20	38461	non-HK
ENSG00000075275	46360834	46537620	22	176787	non-HK
ENSG00000160218	44012309	44106553	21	94245	non-HK
ENSG00000188677	43999211	44172939	22	173729	non-HK
ENSG00000177504	8169944	8171267	X	1324	non-HK
ENSG00000125363	11293413	11300761	X	7349	non-HK
ENSG00000149474	18137228	18188387	20	51160	non-HK
ENSG00000169084	2219506	2502805	X	283300	non-HK
ENSG00000177138	9024232	9295682	X	271451	non-HK
ENSG00000100138	41673933	41690504	22	16572	non-HK
ENSG00000183304	8790795	8801383	X	10589	non-HK
ENSG00000125780	2296001	2341079	20	45079	non-HK
ENSG00000166948	2380901	2432753	20	51853	non-HK
ENSG00000126010	16123565	16153518	X	29954	non-HK
ENSG00000177324	18162931	18220886	X	57956	non-HK
ENSG00000236444	30422488	30429758	13	7271	non-HK
ENSG00000256566	2467212	2508907	20	41696	non-HK
ENSG00000234409	20148416	20151055	22	2640	non-HK
ENSG00000281106	51813347	51845177	13	31831	non-HK
ENSG00000101438	38724486	38729372	20	4887	non-HK
ENSG00000185915	21654690	21658330	X	3641	non-HK
ENSG00000149646	35954564	36030700	20	76137	non-HK
ENSG00000284874	19717220	19724772	22	7553	non-HK
ENSG00000040608	20241415	20283246	22	41832	non-HK
ENSG00000157542	37607373	38121345	21	513973	non-HK
ENSG00000250878	102880040	102896033	13	15994	non-HK
ENSG00000149970	21372801	21654695	X	281895	non-HK
ENSG00000160214	43789513	43805757	21	16245	non-HK
ENSG00000184470	19875517	19941820	22	66304	non-HK
ENSG00000130699	61953469	62065881	20	112413	non-HK
ENSG00000215595	1203454	1209076	20	5623	non-HK
