gene_id	Gene name	gene_length_bp	Tissue	nTPM
ENSG00000198712	MT-CO2	684	amygdala	110907.6
ENSG00000198712	MT-CO2	684	basal ganglia	153611.6
ENSG00000198712	MT-CO2	684	blood vessel	14365.5
ENSG00000198712	MT-CO2	684	breast	22400.1
ENSG00000198712	MT-CO2	684	cerebellum	41010.3
ENSG00000198712	MT-CO2	684	cerebral cortex	98678.1
ENSG00000198712	MT-CO2	684	cervix	9961.8
ENSG00000198712	MT-CO2	684	colon	45200.9
ENSG00000198712	MT-CO2	684	endometrium	9943.1
ENSG00000198712	MT-CO2	684	esophagus	23795.2
ENSG00000198712	MT-CO2	684	fallopian tube	10437.1
ENSG00000198712	MT-CO2	684	heart muscle	214510.8
ENSG00000198712	MT-CO2	684	hippocampal formation	122807.4
ENSG00000198712	MT-CO2	684	hypothalamus	97111.8
ENSG00000198712	MT-CO2	684	kidney	112733
ENSG00000198712	MT-CO2	684	liver	104658.5
ENSG00000198712	MT-CO2	684	lung	13334.6
ENSG00000198712	MT-CO2	684	midbrain	118522.3
ENSG00000198712	MT-CO2	684	ovary	7430.4
ENSG00000198712	MT-CO2	684	pancreas	23035.3
ENSG00000198712	MT-CO2	684	pituitary gland	16485.3
ENSG00000198712	MT-CO2	684	prostate	24427.6
ENSG00000198712	MT-CO2	684	retina	8322
ENSG00000198712	MT-CO2	684	salivary gland	20562.3
ENSG00000198712	MT-CO2	684	skeletal muscle	66399.7
ENSG00000198712	MT-CO2	684	skin	21741.3
ENSG00000198712	MT-CO2	684	small intestine	33782.2
ENSG00000198712	MT-CO2	684	spinal cord	75672.8
ENSG00000198712	MT-CO2	684	spleen	17461.7
ENSG00000198712	MT-CO2	684	stomach	43107.5
ENSG00000198712	MT-CO2	684	testis	14077.3
ENSG00000198712	MT-CO2	684	thyroid gland	15878.2
ENSG00000198712	MT-CO2	684	urinary bladder	21045.3
ENSG00000198712	MT-CO2	684	vagina	12331.9
ENSG00000198727	MT-CYB	1141	adipose tissue	16809.1
ENSG00000198727	MT-CYB	1141	adrenal gland	24269.9
ENSG00000198727	MT-CYB	1141	amygdala	47719.5
ENSG00000198727	MT-CYB	1141	basal ganglia	74666.1
ENSG00000198727	MT-CYB	1141	blood vessel	9190.2
ENSG00000198727	MT-CYB	1141	breast	14697.9
ENSG00000198727	MT-CYB	1141	cerebellum	18414.3
ENSG00000198727	MT-CYB	1141	cerebral cortex	36112.8
ENSG00000198727	MT-CYB	1141	cervix	6761.2
ENSG00000198727	MT-CYB	1141	colon	18059.4
ENSG00000198727	MT-CYB	1141	endometrium	7176.6
ENSG00000198727	MT-CYB	1141	esophagus	10183.4
ENSG00000198727	MT-CYB	1141	fallopian tube	6715
ENSG00000198727	MT-CYB	1141	heart muscle	131222.4
ENSG00000198727	MT-CYB	1141	hippocampal formation	51888.1
ENSG00000198727	MT-CYB	1141	hypothalamus	39644.6
ENSG00000198727	MT-CYB	1141	kidney	59040.5
ENSG00000198727	MT-CYB	1141	liver	57549.2
ENSG00000198727	MT-CYB	1141	lung	6074.4
ENSG00000198727	MT-CYB	1141	midbrain	42601.4
ENSG00000198727	MT-CYB	1141	ovary	5614.4
ENSG00000198727	MT-CYB	1141	pancreas	14266.2
ENSG00000198727	MT-CYB	1141	pituitary gland	11214
ENSG00000198727	MT-CYB	1141	prostate	14078.7
ENSG00000198727	MT-CYB	1141	retina	7889.5
ENSG00000198727	MT-CYB	1141	salivary gland	11711.9
ENSG00000198727	MT-CYB	1141	skeletal muscle	42672.4
ENSG00000198727	MT-CYB	1141	skin	12611.2
ENSG00000198727	MT-CYB	1141	small intestine	16300.1
ENSG00000198727	MT-CYB	1141	spinal cord	28982.8
ENSG00000198727	MT-CYB	1141	spleen	6982.5
ENSG00000198727	MT-CYB	1141	stomach	23773.7
ENSG00000198727	MT-CYB	1141	testis	7125.1
ENSG00000198727	MT-CYB	1141	thyroid gland	9016.1
ENSG00000198727	MT-CYB	1141	urinary bladder	12099.8
ENSG00000198727	MT-CYB	1141	vagina	6995.7
ENSG00000198763	MT-ND2	1042	adipose tissue	24255.5
ENSG00000198763	MT-ND2	1042	adrenal gland	31781
ENSG00000198763	MT-ND2	1042	amygdala	68050.4
ENSG00000198763	MT-ND2	1042	basal ganglia	107283
ENSG00000198763	MT-ND2	1042	blood vessel	10684.4
ENSG00000198763	MT-ND2	1042	breast	21068.2
ENSG00000198763	MT-ND2	1042	cerebellum	24544.3
ENSG00000198763	MT-ND2	1042	cerebral cortex	56810.7
ENSG00000198763	MT-ND2	1042	cervix	7741.2
ENSG00000198763	MT-ND2	1042	colon	21024.7
ENSG00000198763	MT-ND2	1042	endometrium	7844.3
ENSG00000198763	MT-ND2	1042	esophagus	10624.4
ENSG00000198763	MT-ND2	1042	fallopian tube	8398.1
ENSG00000198763	MT-ND2	1042	heart muscle	130852.9
ENSG00000198763	MT-ND2	1042	hippocampal formation	73212
ENSG00000198763	MT-ND2	1042	hypothalamus	59027.6
ENSG00000198763	MT-ND2	1042	kidney	55188.1
ENSG00000198763	MT-ND2	1042	liver	52139.7
ENSG00000198763	MT-ND2	1042	lung	8763.6
ENSG00000198763	MT-ND2	1042	midbrain	70738.5
ENSG00000198763	MT-ND2	1042	ovary	7323.1
ENSG00000198763	MT-ND2	1042	pancreas	19054.8
ENSG00000198763	MT-ND2	1042	pituitary gland	12058.9
ENSG00000198763	MT-ND2	1042	prostate	16022.5
ENSG00000198763	MT-ND2	1042	retina	5035.9
ENSG00000198763	MT-ND2	1042	salivary gland	12820.4
ENSG00000198763	MT-ND2	1042	skeletal muscle	43393
ENSG00000198763	MT-ND2	1042	skin	14594.6
ENSG00000198763	MT-ND2	1042	small intestine	18936.4
ENSG00000198763	MT-ND2	1042	spinal cord	55567.6
ENSG00000198763	MT-ND2	1042	spleen	8500.3
ENSG00000198763	MT-ND2	1042	stomach	29481.1
ENSG00000198763	MT-ND2	1042	testis	11069.9
ENSG00000198763	MT-ND2	1042	thyroid gland	10024.8
ENSG00000198763	MT-ND2	1042	urinary bladder	13955.6
ENSG00000198763	MT-ND2	1042	vagina	7798.6
ENSG00000198786	MT-ND5	1812	adipose tissue	4014.2
ENSG00000198786	MT-ND5	1812	adrenal gland	4457.8
ENSG00000198786	MT-ND5	1812	amygdala	12820.9
ENSG00000198786	MT-ND5	1812	basal ganglia	18206.9
ENSG00000198786	MT-ND5	1812	blood vessel	2634.6
ENSG00000198786	MT-ND5	1812	breast	2361.9
ENSG00000198786	MT-ND5	1812	cerebellum	4065
ENSG00000198786	MT-ND5	1812	cerebral cortex	10656.8
ENSG00000198786	MT-ND5	1812	cervix	1533.7
ENSG00000198786	MT-ND5	1812	colon	3917.2
ENSG00000198786	MT-ND5	1812	endometrium	1990.2
ENSG00000198786	MT-ND5	1812	esophagus	2451
ENSG00000198786	MT-ND5	1812	fallopian tube	2074.2
ENSG00000198786	MT-ND5	1812	heart muscle	26164.9
ENSG00000198786	MT-ND5	1812	hippocampal formation	13709.6
ENSG00000198786	MT-ND5	1812	hypothalamus	11765.2
ENSG00000198786	MT-ND5	1812	kidney	7536.7
ENSG00000198786	MT-ND5	1812	liver	9524.4
ENSG00000198786	MT-ND5	1812	lung	2446.1
ENSG00000198786	MT-ND5	1812	midbrain	10605.5
ENSG00000198786	MT-ND5	1812	ovary	1442.9
ENSG00000198786	MT-ND5	1812	pancreas	2466.1
ENSG00000198786	MT-ND5	1812	pituitary gland	1516.1
ENSG00000198786	MT-ND5	1812	prostate	2315.1
ENSG00000198786	MT-ND5	1812	retina	3025
ENSG00000198786	MT-ND5	1812	salivary gland	2054.8
ENSG00000198786	MT-ND5	1812	skeletal muscle	11665.9
ENSG00000198786	MT-ND5	1812	skin	4684.5
ENSG00000198786	MT-ND5	1812	small intestine	4496
ENSG00000198786	MT-ND5	1812	spinal cord	9108.7
ENSG00000198786	MT-ND5	1812	spleen	1916.8
ENSG00000198786	MT-ND5	1812	stomach	6191.3
ENSG00000198786	MT-ND5	1812	testis	1060.2
ENSG00000198786	MT-ND5	1812	thyroid gland	1874
ENSG00000198786	MT-ND5	1812	urinary bladder	3526.7
ENSG00000198786	MT-ND5	1812	vagina	1404.4
ENSG00000198804	MT-CO1	1542	adipose tissue	18399.2
ENSG00000198804	MT-CO1	1542	adrenal gland	44484.2
ENSG00000198804	MT-CO1	1542	amygdala	128136
ENSG00000198804	MT-CO1	1542	basal ganglia	128238.6
ENSG00000198804	MT-CO1	1542	blood vessel	13115.7
ENSG00000198804	MT-CO1	1542	breast	17387.9
ENSG00000198804	MT-CO1	1542	cerebellum	35493.7
ENSG00000198804	MT-CO1	1542	cerebral cortex	109369.7
ENSG00000198804	MT-CO1	1542	cervix	8657
ENSG00000198804	MT-CO1	1542	colon	39887.9
ENSG00000198804	MT-CO1	1542	endometrium	10724
ENSG00000198804	MT-CO1	1542	esophagus	20109.7
ENSG00000198804	MT-CO1	1542	fallopian tube	9322.3
ENSG00000198804	MT-CO1	1542	heart muscle	265338.6
ENSG00000198804	MT-CO1	1542	hippocampal formation	128483.5
ENSG00000198804	MT-CO1	1542	hypothalamus	95812.2
ENSG00000198804	MT-CO1	1542	kidney	63032.5
ENSG00000198804	MT-CO1	1542	liver	96595.8
ENSG00000198804	MT-CO1	1542	lung	12003.3
ENSG00000198804	MT-CO1	1542	midbrain	94670
ENSG00000198804	MT-CO1	1542	ovary	6859.1
ENSG00000198804	MT-CO1	1542	pancreas	18565.7
ENSG00000198804	MT-CO1	1542	pituitary gland	7629.8
ENSG00000198804	MT-CO1	1542	prostate	11369.1
ENSG00000198804	MT-CO1	1542	retina	11587.8
ENSG00000198804	MT-CO1	1542	salivary gland	20617.1
ENSG00000198804	MT-CO1	1542	skeletal muscle	84467.8
ENSG00000198804	MT-CO1	1542	skin	25543.3
ENSG00000198804	MT-CO1	1542	small intestine	33224.1
ENSG00000198804	MT-CO1	1542	spinal cord	58094.5
ENSG00000198804	MT-CO1	1542	spleen	15646.4
ENSG00000198804	MT-CO1	1542	stomach	41920.6
ENSG00000198804	MT-CO1	1542	testis	10654.1
ENSG00000198804	MT-CO1	1542	thyroid gland	12938.3
ENSG00000198804	MT-CO1	1542	urinary bladder	17008.9
ENSG00000198804	MT-CO1	1542	vagina	9461.1
ENSG00000198840	MT-ND3	346	adipose tissue	29713.1
ENSG00000198840	MT-ND3	346	adrenal gland	41249.5
ENSG00000198840	MT-ND3	346	amygdala	70176.1
ENSG00000198840	MT-ND3	346	basal ganglia	89168
ENSG00000198840	MT-ND3	346	blood vessel	15633.1
ENSG00000198840	MT-ND3	346	breast	24969.6
ENSG00000198840	MT-ND3	346	cerebellum	23845.8
ENSG00000198840	MT-ND3	346	cerebral cortex	56342.9
ENSG00000198840	MT-ND3	346	cervix	8969.2
ENSG00000198840	MT-ND3	346	colon	25081.8
ENSG00000198840	MT-ND3	346	endometrium	9027.8
ENSG00000198840	MT-ND3	346	esophagus	12387.4
ENSG00000198840	MT-ND3	346	fallopian tube	9240.6
ENSG00000198840	MT-ND3	346	heart muscle	186829.7
ENSG00000198840	MT-ND3	346	hippocampal formation	73128.6
ENSG00000198840	MT-ND3	346	hypothalamus	58821.4
ENSG00000198840	MT-ND3	346	kidney	83803.2
ENSG00000198840	MT-ND3	346	liver	70971.7
ENSG00000198840	MT-ND3	346	lung	8432.3
ENSG00000198840	MT-ND3	346	midbrain	58345.9
ENSG00000198840	MT-ND3	346	ovary	8867.8
ENSG00000198840	MT-ND3	346	pancreas	24004
ENSG00000198840	MT-ND3	346	pituitary gland	13104.7
ENSG00000198840	MT-ND3	346	prostate	23025.3
ENSG00000198840	MT-ND3	346	retina	5844.7
ENSG00000198840	MT-ND3	346	salivary gland	14215.9
ENSG00000198840	MT-ND3	346	skeletal muscle	40593.1
ENSG00000198840	MT-ND3	346	skin	15864.3
ENSG00000198840	MT-ND3	346	small intestine	20332.4
ENSG00000198840	MT-ND3	346	spinal cord	51132.9
ENSG00000198840	MT-ND3	346	spleen	11029.5
ENSG00000198840	MT-ND3	346	stomach	34418.1
ENSG00000198840	MT-ND3	346	testis	10587.3
ENSG00000198840	MT-ND3	346	thyroid gland	14000
ENSG00000198840	MT-ND3	346	urinary bladder	17298.2
ENSG00000198840	MT-ND3	346	vagina	9655.9
ENSG00000198886	MT-ND4	1378	adipose tissue	22327.3
ENSG00000198886	MT-ND4	1378	adrenal gland	41981.5
ENSG00000198886	MT-ND4	1378	amygdala	79076.7
ENSG00000198886	MT-ND4	1378	basal ganglia	96259
ENSG00000198886	MT-ND4	1378	blood vessel	10829
ENSG00000198886	MT-ND4	1378	breast	18731.7
ENSG00000198886	MT-ND4	1378	cerebellum	28620.2
ENSG00000198886	MT-ND4	1378	cerebral cortex	67168.1
ENSG00000198886	MT-ND4	1378	cervix	9026.7
ENSG00000198886	MT-ND4	1378	colon	28265.4
ENSG00000198886	MT-ND4	1378	endometrium	10676.3
ENSG00000198886	MT-ND4	1378	esophagus	15212.3
ENSG00000198886	MT-ND4	1378	fallopian tube	9354.8
ENSG00000198886	MT-ND4	1378	heart muscle	197808.9
ENSG00000198886	MT-ND4	1378	hippocampal formation	88293
ENSG00000198886	MT-ND4	1378	hypothalamus	68150.2
ENSG00000198886	MT-ND4	1378	kidney	74838.7
ENSG00000198886	MT-ND4	1378	liver	99476.1
ENSG00000198886	MT-ND4	1378	lung	10906.5
ENSG00000198886	MT-ND4	1378	midbrain	68665.5
ENSG00000198886	MT-ND4	1378	ovary	8328.3
ENSG00000198886	MT-ND4	1378	pancreas	20158.9
ENSG00000198886	MT-ND4	1378	pituitary gland	12533.7
ENSG00000198886	MT-ND4	1378	prostate	20833
ENSG00000198886	MT-ND4	1378	retina	13076.9
ENSG00000198886	MT-ND4	1378	salivary gland	16832.2
ENSG00000198886	MT-ND4	1378	skeletal muscle	57221.5
ENSG00000198886	MT-ND4	1378	skin	17203.3
ENSG00000198886	MT-ND4	1378	small intestine	23266
ENSG00000198886	MT-ND4	1378	spinal cord	52893.4
ENSG00000198886	MT-ND4	1378	spleen	12168.7
ENSG00000198886	MT-ND4	1378	stomach	37276.1
ENSG00000198886	MT-ND4	1378	testis	13111
ENSG00000198886	MT-ND4	1378	thyroid gland	13603.5
ENSG00000198886	MT-ND4	1378	urinary bladder	18181.9
ENSG00000198886	MT-ND4	1378	vagina	9515.3
ENSG00000198888	MT-ND1	956	adipose tissue	17944.7
ENSG00000198888	MT-ND1	956	adrenal gland	24003.1
ENSG00000198888	MT-ND1	956	amygdala	64828.9
ENSG00000198888	MT-ND1	956	basal ganglia	79754.1
ENSG00000198888	MT-ND1	956	blood vessel	8073.9
ENSG00000198888	MT-ND1	956	breast	17513.3
ENSG00000198888	MT-ND1	956	cerebellum	22810.7
ENSG00000198888	MT-ND1	956	cerebral cortex	55410
ENSG00000198888	MT-ND1	956	cervix	5014.9
ENSG00000198888	MT-ND1	956	colon	18163
ENSG00000198888	MT-ND1	956	endometrium	5827
ENSG00000198888	MT-ND1	956	esophagus	8107.4
ENSG00000198888	MT-ND1	956	fallopian tube	5485.9
ENSG00000198888	MT-ND1	956	heart muscle	129323.4
ENSG00000198888	MT-ND1	956	hippocampal formation	65749.5
ENSG00000198888	MT-ND1	956	hypothalamus	49352.1
ENSG00000198888	MT-ND1	956	kidney	46991.9
ENSG00000198888	MT-ND1	956	liver	43915.3
ENSG00000198888	MT-ND1	956	lung	7377.9
ENSG00000198888	MT-ND1	956	midbrain	59021.5
ENSG00000198888	MT-ND1	956	ovary	4311.3
ENSG00000198888	MT-ND1	956	pancreas	14654.6
ENSG00000198888	MT-ND1	956	pituitary gland	7957.8
ENSG00000198888	MT-ND1	956	prostate	10449.3
ENSG00000198888	MT-ND1	956	retina	6016.1
ENSG00000198888	MT-ND1	956	salivary gland	11034
ENSG00000198888	MT-ND1	956	skeletal muscle	50734.9
ENSG00000198888	MT-ND1	956	skin	13767.4
ENSG00000198888	MT-ND1	956	small intestine	15830.2
ENSG00000198888	MT-ND1	956	spinal cord	41917.4
ENSG00000198888	MT-ND1	956	spleen	7931.8
ENSG00000198888	MT-ND1	956	stomach	24792.8
ENSG00000198888	MT-ND1	956	testis	11889.7
ENSG00000198888	MT-ND1	956	thyroid gland	6726
ENSG00000198888	MT-ND1	956	urinary bladder	9601.1
ENSG00000198888	MT-ND1	956	vagina	4891.1
ENSG00000198899	MT-ATP6	681	adipose tissue	28798.4
ENSG00000198899	MT-ATP6	681	adrenal gland	47983.5
ENSG00000198899	MT-ATP6	681	amygdala	96696.2
ENSG00000198899	MT-ATP6	681	basal ganglia	130881.8
ENSG00000198899	MT-ATP6	681	blood vessel	14926.7
ENSG00000198899	MT-ATP6	681	breast	23759.6
ENSG00000198899	MT-ATP6	681	cerebellum	37212.1
ENSG00000198899	MT-ATP6	681	cerebral cortex	82251.6
ENSG00000198899	MT-ATP6	681	cervix	11095.4
ENSG00000198899	MT-ATP6	681	colon	32602.5
ENSG00000198899	MT-ATP6	681	endometrium	12211.9
ENSG00000198899	MT-ATP6	681	esophagus	18272.9
ENSG00000198899	MT-ATP6	681	fallopian tube	11331.3
ENSG00000198899	MT-ATP6	681	heart muscle	240225.6
ENSG00000198899	MT-ATP6	681	hippocampal formation	103601.4
ENSG00000198899	MT-ATP6	681	hypothalamus	81158.6
ENSG00000198899	MT-ATP6	681	kidney	94881
ENSG00000198899	MT-ATP6	681	liver	105626.8
ENSG00000198899	MT-ATP6	681	lung	12287.2
ENSG00000198899	MT-ATP6	681	midbrain	82909.3
ENSG00000198899	MT-ATP6	681	ovary	10245.4
ENSG00000198899	MT-ATP6	681	pancreas	24768.6
ENSG00000198899	MT-ATP6	681	pituitary gland	16991.8
ENSG00000198899	MT-ATP6	681	prostate	24781.4
ENSG00000198899	MT-ATP6	681	retina	11743
ENSG00000198899	MT-ATP6	681	salivary gland	18879.5
ENSG00000198899	MT-ATP6	681	skeletal muscle	75008.7
ENSG00000198899	MT-ATP6	681	skin	20256.9
ENSG00000198899	MT-ATP6	681	small intestine	27421
ENSG00000198899	MT-ATP6	681	spinal cord	60430.5
ENSG00000198899	MT-ATP6	681	spleen	14746.5
ENSG00000198899	MT-ATP6	681	stomach	39927.2
ENSG00000198899	MT-ATP6	681	testis	14455.2
ENSG00000198899	MT-ATP6	681	thyroid gland	15952.1
ENSG00000198899	MT-ATP6	681	urinary bladder	19600.5
ENSG00000198899	MT-ATP6	681	vagina	11958
ENSG00000198938	MT-CO3	784	adipose tissue	26238.9
ENSG00000198938	MT-CO3	784	adrenal gland	53521.2
ENSG00000198938	MT-CO3	784	amygdala	120720.8
ENSG00000198938	MT-CO3	784	basal ganglia	110345.2
ENSG00000198938	MT-CO3	784	blood vessel	14767.5
ENSG00000198938	MT-CO3	784	breast	26508.6
ENSG00000198938	MT-CO3	784	cerebellum	37219.7
ENSG00000198938	MT-CO3	784	cerebral cortex	100233.1
ENSG00000198938	MT-CO3	784	cervix	10990.6
ENSG00000198938	MT-CO3	784	colon	39666.5
ENSG00000198938	MT-CO3	784	endometrium	10240.9
ENSG00000198938	MT-CO3	784	esophagus	22523.3
ENSG00000198938	MT-CO3	784	fallopian tube	10430.5
ENSG00000198938	MT-CO3	784	heart muscle	238539.3
ENSG00000198938	MT-CO3	784	hippocampal formation	122682.6
ENSG00000198938	MT-CO3	784	hypothalamus	91946.9
ENSG00000198938	MT-CO3	784	kidney	136147.3
ENSG00000198938	MT-CO3	784	liver	95172
ENSG00000198938	MT-CO3	784	lung	11140.1
ENSG00000198938	MT-CO3	784	midbrain	87133.4
ENSG00000198938	MT-CO3	784	ovary	8847.3
ENSG00000198938	MT-CO3	784	pancreas	20097.6
ENSG00000198938	MT-CO3	784	pituitary gland	17867.2
ENSG00000198938	MT-CO3	784	prostate	23909.3
ENSG00000198938	MT-CO3	784	retina	13152.1
ENSG00000198938	MT-CO3	784	salivary gland	20533.3
ENSG00000198938	MT-CO3	784	skeletal muscle	68067
ENSG00000198938	MT-CO3	784	skin	26765.2
ENSG00000198938	MT-CO3	784	small intestine	29074.7
ENSG00000198938	MT-CO3	784	spinal cord	56248.4
ENSG00000198938	MT-CO3	784	spleen	13697
ENSG00000198938	MT-CO3	784	stomach	39872.7
ENSG00000198938	MT-CO3	784	testis	18597.8
ENSG00000198938	MT-CO3	784	thyroid gland	18963.3
ENSG00000198938	MT-CO3	784	urinary bladder	18226.8
ENSG00000198938	MT-CO3	784	vagina	12651.3
ENSG00000212907	MT-ND4L	297	adipose tissue	17895.1
ENSG00000212907	MT-ND4L	297	adrenal gland	29156.3
ENSG00000212907	MT-ND4L	297	amygdala	51992.3
ENSG00000212907	MT-ND4L	297	basal ganglia	63687
ENSG00000212907	MT-ND4L	297	blood vessel	8272.4
ENSG00000212907	MT-ND4L	297	breast	14635.9
ENSG00000212907	MT-ND4L	297	cerebellum	19777.8
ENSG00000212907	MT-ND4L	297	cerebral cortex	44943.4
ENSG00000212907	MT-ND4L	297	cervix	7615.4
ENSG00000212907	MT-ND4L	297	colon	19515.8
ENSG00000212907	MT-ND4L	297	endometrium	8405.5
ENSG00000212907	MT-ND4L	297	esophagus	10472.8
ENSG00000212907	MT-ND4L	297	fallopian tube	7527.2
ENSG00000212907	MT-ND4L	297	heart muscle	149995.1
ENSG00000212907	MT-ND4L	297	hippocampal formation	59537.2
ENSG00000212907	MT-ND4L	297	hypothalamus	49448.8
ENSG00000212907	MT-ND4L	297	kidney	46692.2
ENSG00000212907	MT-ND4L	297	liver	75489.3
ENSG00000212907	MT-ND4L	297	lung	7883.4
ENSG00000212907	MT-ND4L	297	midbrain	48676.4
ENSG00000212907	MT-ND4L	297	ovary	6300.5
ENSG00000212907	MT-ND4L	297	pancreas	15347.4
ENSG00000212907	MT-ND4L	297	pituitary gland	9224.9
ENSG00000212907	MT-ND4L	297	prostate	15598.8
ENSG00000212907	MT-ND4L	297	retina	14573.6
ENSG00000212907	MT-ND4L	297	salivary gland	12549.4
ENSG00000212907	MT-ND4L	297	skeletal muscle	41503.3
ENSG00000212907	MT-ND4L	297	skin	12763.5
ENSG00000212907	MT-ND4L	297	small intestine	16148.3
ENSG00000212907	MT-ND4L	297	spinal cord	39022.1
ENSG00000212907	MT-ND4L	297	spleen	7011.5
ENSG00000212907	MT-ND4L	297	stomach	26763.5
ENSG00000212907	MT-ND4L	297	testis	9442.4
ENSG00000212907	MT-ND4L	297	thyroid gland	10497.5
ENSG00000212907	MT-ND4L	297	urinary bladder	15523.7
ENSG00000212907	MT-ND4L	297	vagina	6921.4
ENSG00000228253	MT-ATP8	207	adipose tissue	47351.5
ENSG00000228253	MT-ATP8	207	adrenal gland	70303.3
ENSG00000228253	MT-ATP8	207	amygdala	132058.2
ENSG00000228253	MT-ATP8	207	basal ganglia	156046.7
ENSG00000228253	MT-ATP8	207	blood vessel	23348.3
ENSG00000228253	MT-ATP8	207	breast	38050.9
ENSG00000228253	MT-ATP8	207	cerebellum	49505.4
ENSG00000228253	MT-ATP8	207	cerebral cortex	113576.7
ENSG00000228253	MT-ATP8	207	cervix	17231
ENSG00000228253	MT-ATP8	207	colon	49230.9
ENSG00000228253	MT-ATP8	207	endometrium	18967.8
ENSG00000228253	MT-ATP8	207	esophagus	27096.9
ENSG00000228253	MT-ATP8	207	fallopian tube	17270.6
ENSG00000228253	MT-ATP8	207	heart muscle	355486.2
ENSG00000228253	MT-ATP8	207	hippocampal formation	138294.2
ENSG00000228253	MT-ATP8	207	hypothalamus	109954.9
ENSG00000228253	MT-ATP8	207	kidney	119175.7
ENSG00000228253	MT-ATP8	207	liver	150369.2
ENSG00000228253	MT-ATP8	207	lung	18905.5
ENSG00000228253	MT-ATP8	207	midbrain	109795.8
ENSG00000228253	MT-ATP8	207	ovary	15444.8
ENSG00000228253	MT-ATP8	207	pancreas	38224.3
ENSG00000228253	MT-ATP8	207	pituitary gland	25281.9
ENSG00000228253	MT-ATP8	207	prostate	36637.9
ENSG00000228253	MT-ATP8	207	retina	17116.6
ENSG00000228253	MT-ATP8	207	salivary gland	29552.8
ENSG00000228253	MT-ATP8	207	skeletal muscle	117457.6
ENSG00000228253	MT-ATP8	207	skin	32910.7
ENSG00000228253	MT-ATP8	207	small intestine	43623.5
ENSG00000228253	MT-ATP8	207	spinal cord	76212
ENSG00000228253	MT-ATP8	207	spleen	19249.8
ENSG00000228253	MT-ATP8	207	stomach	60250.9
ENSG00000228253	MT-ATP8	207	testis	21606.5
ENSG00000228253	MT-ATP8	207	thyroid gland	25446.1
ENSG00000228253	MT-ATP8	207	urinary bladder	30673.5
ENSG00000228253	MT-ATP8	207	vagina	18081.3
