gene_id	gene_name	gene_length_bp	log10_gene_length_bp	description	HPA_present	max_nTPM_total	number_expressed_tissues	tissue_with_max_expression
ENSG00000244537	KRTAP4-2	776	2.88986172125819	NA	TRUE	20.4	1	skin
ENSG00000225396	FAM236D	786	2.89542254603941	NA	TRUE	1.3	1	testis
ENSG00000283594	FAM236C	787	2.89597473235906	NA	TRUE	1.2	1	testis
ENSG00000168298	H1-4	787	2.89597473235906	NA	TRUE	6	22	kidney
ENSG00000198390	KRTAP13-1	792	2.89872518158949	NA	TRUE	8.9	1	skin
ENSG00000268994	FAM236B	796	2.90091306773767	NA	TRUE	96.8	2	testis
ENSG00000275520	FAM236A	796	2.90091306773767	NA	TRUE	144.8	2	testis
ENSG00000184357	H1-5	797	2.90145832139611	NA	TRUE	0.7	0	small intestine
ENSG00000102055	PPP1R2C	798	2.90200289135073	NA	TRUE	76.2	1	testis
ENSG00000249222	ATP5MGL	799	2.90254677931399	NA	TRUE	0.5	0	retina
ENSG00000186860	KRTAP17-1	799	2.90254677931399	NA	TRUE	21.9	1	skin
ENSG00000253506	NACA2	799	2.90254677931399	NA	TRUE	59.5	10	testis
ENSG00000166329	CCDC182	805	2.90579588036787	NA	TRUE	26.7	1	testis
ENSG00000186971	KRTAP13-4	807	2.90687353472207	NA	TRUE	0.2	0	adipose tissue
ENSG00000139574	NPFF	808	2.90741136077459	NA	TRUE	3.2	1	spinal cord
ENSG00000132446	FTHL17	809	2.90794852161227	NA	TRUE	3.8	1	testis
ENSG00000198443	KRTAP4-1	812	2.90955602924118	NA	TRUE	19	1	skin
ENSG00000283536	ENSG00000283536	823	2.91539983521227	NA	TRUE	16.1	1	retina
ENSG00000184895	SRY	828	2.91803033678488	NA	TRUE	2.3	2	testis
ENSG00000188536	HBA2	835	2.9216864754836	NA	TRUE	9277.3	36	spleen
ENSG00000124196	GTSF1L	839	2.9237619608287	NA	TRUE	210.9	1	testis
ENSG00000171855	IFNB1	839	2.9237619608287	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000122304	PRM2	842	2.92531209149965	NA	TRUE	11179.1	25	testis
ENSG00000167644	C19orf33	843	2.92582757462474	NA	TRUE	689.2	34	esophagus
ENSG00000206172	HBA1	843	2.92582757462474	NA	TRUE	5085.7	36	spleen
ENSG00000204887	KRTAP1-4	845	2.92685670894969	NA	TRUE	1.4	1	skin
ENSG00000258713	C20orf141	847	2.92788341033071	NA	TRUE	124.1	2	testis
ENSG00000244057	LCE3C	853	2.93094903116752	NA	TRUE	0.1	0	esophagus; skin; testis
ENSG00000187969	ZCCHC13	855	2.93196611472817	NA	TRUE	21.4	1	testis
ENSG00000240972	MIF	856	2.93247376467715	NA	TRUE	1198.5	36	kidney
ENSG00000127774	EMC6	857	2.9329808219232	NA	TRUE	178.5	36	skeletal muscle
ENSG00000289747	ENSG00000289747	867	2.93801909747621	NA	TRUE	0	0	retina
ENSG00000189037	DUSP21	868	2.93851972517649	NA	TRUE	10.2	1	testis
ENSG00000182170	MRGPRG	870	2.93951925261862	NA	TRUE	0.4	0	testis
ENSG00000270170	NCBP2AS2	870	2.93951925261862	NA	TRUE	46.1	36	skeletal muscle
ENSG00000189169	KRTAP10-12	873	2.94101424370557	NA	TRUE	9	1	skin
ENSG00000070031	SCT	873	2.94101424370557	NA	TRUE	9.5	8	skeletal muscle
ENSG00000178372	CALML5	874	2.9415114326344	NA	TRUE	2986.9	11	skin
ENSG00000212724	KRTAP2-3	875	2.94200805302231	NA	TRUE	18.5	1	skin
ENSG00000187766	KRTAP10-8	876	2.94250410616808	NA	TRUE	7	1	skin
ENSG00000259571	BLID	876	2.94250410616808	NA	TRUE	0.2	0	blood vessel
ENSG00000197919	IFNA1	878	2.9434945159061	NA	TRUE	0.2	0	cerebellum
ENSG00000230667	SETSIP	879	2.94398887507377	NA	TRUE	0.2	0	cerebral cortex; testis
ENSG00000182816	KRTAP13-2	882	2.94546858513182	NA	TRUE	11.3	1	skin
ENSG00000101405	OXT	898	2.9532763366673	NA	TRUE	2931.7	16	hypothalamus
ENSG00000196224	KRTAP5-3	899	2.95375969173323	NA	TRUE	7.4	1	skin
ENSG00000198271	KRTAP4-5	902	2.95520653754194	NA	TRUE	11.4	1	skin
ENSG00000188581	KRTAP1-1	910	2.95904139232109	NA	TRUE	73.4	1	skin
ENSG00000172208	OR4X2	912	2.95999483832842	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000125148	MT2A	914	2.96094619573383	NA	TRUE	15847.5	36	liver
ENSG00000255223	OR5M11	918	2.96284268120124	NA	TRUE	0.1	0	testis; urinary bladder
ENSG00000176567	OR4X1	918	2.96284268120124	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000260811	OR4C45	921	2.96425963019685	NA	TRUE	0	0	retina
ENSG00000181752	OR8K5	924	2.96567197122011	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000221855	TAS2R41	924	2.96567197122011	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000213439	OR5AC1	925	2.96614173273903	NA	TRUE	0	0	retina
ENSG00000273085	OR52E1	926	2.96661098668193	NA	TRUE	0	0	retina
ENSG00000171054	OR13H1	927	2.9670797341445	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000166368	OR2D2	927	2.9670797341445	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000169877	AHSP	928	2.96754797621886	NA	TRUE	24.5	10	spleen
ENSG00000185926	OR4C46	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000172199	OR8U1	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000280090	OR8B4	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000181282	OR5AK3P	930	2.96848294855394	NA	TRUE	0	0	retina
ENSG00000181273	OR5AK2	930	2.96848294855394	NA	TRUE	4.6	1	spleen
ENSG00000226761	TAS2R46	930	2.96848294855394	NA	TRUE	0.2	0	cerebellum
ENSG00000175619	OR4B1	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000237388	OR4A47	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000196578	OR5AC2	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000184155	OR10J5	930	2.96848294855394	NA	TRUE	0.1	0	liver
ENSG00000176555	OR4S1	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000177476	OR2G3	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000172289	OR10V1	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000172150	OR1A2	930	2.96848294855394	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000279514	OR4C16	933	2.9698816437465	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000187612	OR5W2	933	2.9698816437465	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000183251	OR51B4	933	2.9698816437465	NA	TRUE	0.1	0	ovary
ENSG00000150269	OR5M9	933	2.9698816437465	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000172154	OR8I2	933	2.9698816437465	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000172459	OR5AR1	933	2.9698816437465	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000179468	OR9A2	933	2.9698816437465	NA	TRUE	0.3	0	spinal cord
ENSG00000196196	HRCT1	935	2.97081161087252	NA	TRUE	51.2	35	blood vessel
ENSG00000181214	OR8G2P	935	2.97081161087252	NA	TRUE	0	0	retina
ENSG00000249730	OR10J4	935	2.97081161087252	NA	TRUE	0	0	retina
ENSG00000174339	OR2Y1	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000205030	OR5L2	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000171505	OR1N1	936	2.97127584873811	NA	TRUE	0.1	0	retina; testis
ENSG00000136939	OR1L4	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000161807	OR7G1	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000205495	OR52J3	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000176200	OR4D11	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000236981	OR10G9	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000279116	OR8D2	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000181371	OR5M8	936	2.97127584873811	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000182591	KRTAP11-1	937	2.97173959088778	NA	TRUE	187.3	3	skin
ENSG00000182477	OR2B8P	938	2.97220283837906	NA	TRUE	0.1	0	retina
ENSG00000176246	OR4L1	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000176269	OR4F21	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000168828	OR13J1	939	2.97266559226611	NA	TRUE	0.9	0	retina
ENSG00000170920	OR7G3	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000176239	OR51B6	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000147885	IFNA16	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000181761	OR8H3	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000174957	OR5J2	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
ENSG00000184954	OR6C70	939	2.97266559226611	NA	TRUE	0	0	adipose tissue; adrenal gland; amygdala; basal ganglia; blood vessel; breast; cerebellum; cerebral cortex; cervix; colon; endometrium; esophagus; fallopian tube; heart muscle; hippocampal formation; hypothalamus; kidney; liver; lung; midbrain; ovary; pancreas; pituitary gland; prostate; retina; salivary gland; skeletal muscle; skin; small intestine; spinal cord; spleen; stomach; testis; thyroid gland; urinary bladder; vagina
