Transcript stable ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENST00000320580	ENSG00000175115	66070272	66244744	11
ENST00000303545	ENSG00000170881	124474866	124488618	8
ENST00000253413	ENSG00000131100	17592136	17630958	22
ENST00000377452	ENSG00000125821	18587920	18766644	20
ENST00000355937	ENSG00000101166	59033143	59042897	20
ENST00000273480	ENSG00000114125	141738249	141747560	3
ENST00000393000	ENSG00000114125	141738249	141747560	3
ENST00000378578	ENSG00000165169	37836757	37847571	X
ENST00000265909	ENSG00000120451	130866250	130916479	11
ENST00000308162	ENSG00000172757	65823022	65862026	11
ENST00000525451	ENSG00000172757	65823022	65862026	11
ENST00000261798	ENSG00000113712	149492982	149551471	5
ENST00000377843	ENSG00000113712	149492982	149551471	5
ENST00000398148	ENSG00000088247	6413102	6424811	19
ENST00000594496	ENSG00000088247	6413102	6424811	19
ENST00000327492	ENSG00000183864	41433489	41446801	22
ENST00000383432	ENSG00000017797	9474991	9538114	18
ENST00000378887	ENSG00000205138	35995188	35996312	19
ENST00000217971	ENSG00000101856	119236244	119244468	X
ENST00000256854	ENSG00000134440	57600000	57622213	18
ENST00000260818	ENSG00000138246	132417502	132539032	3
ENST00000261667	ENSG00000102753	49697744	49793068	13
ENST00000263256	ENSG00000100418	41598028	41621081	22
ENST00000215730	ENSG00000099940	20858537	20891214	22
ENST00000419235	ENSG00000112679	291630	351355	6
ENST00000322897	ENSG00000134265	10525905	10552766	18
ENST00000318037	ENSG00000163961	196468783	196503768	3
ENST00000371322	ENSG00000158290	120505920	120604074	X
ENST00000524958	ENSG00000278615	62662817	62665210	11
ENST00000359653	ENSG00000019995	124942123	124988189	10
ENST00000371711	ENSG00000158470	49632945	49713908	20
ENST00000295899	ENSG00000163634	63833870	63863868	3
ENST00000023939	ENSG00000022277	56468585	56519449	20
ENST00000279068	ENSG00000149657	62122444	62136728	20
ENST00000371621	ENSG00000196396	50510321	50585241	20
ENST00000317897	ENSG00000177383	184710364	184712064	3
ENST00000373783	ENSG00000181915	62804720	62808479	10
ENST00000371627	ENSG00000107854	91798426	91865475	10
ENST00000360579	ENSG00000111237	110491083	110502111	12
ENST00000369248	ENSG00000151553	114821744	114899832	10
ENST00000367569	ENSG00000169976	144094884	144095573	6
ENST00000335007	ENSG00000186298	110719680	110742939	12
ENST00000416967	ENSG00000100348	36466895	36482072	22
ENST00000216185	ENSG00000100348	36466895	36482072	22
ENST00000337344	ENSG00000126226	113177536	113208715	13
ENST00000267116	ENSG00000139645	56237807	56258384	12
ENST00000585331	ENSG00000128789	12658043	12728945	18
ENST00000590217	ENSG00000128789	12658043	12728945	18
ENST00000602911	ENSG00000099341	38374563	38383850	19
ENST00000592561	ENSG00000099341	38374563	38383850	19
ENST00000371953	ENSG00000171862	87862638	87971930	10
ENST00000472832	ENSG00000171862	87862638	87971930	10
ENST00000263780	ENSG00000083937	87227271	87255556	3
ENST00000261692	ENSG00000111328	123250112	123272334	12
ENST00000538446	ENSG00000111328	123250112	123272334	12
ENST00000262919	ENSG00000088812	3471018	3651118	20
ENST00000261601	ENSG00000101557	158351	214629	18
ENST00000323146	ENSG00000176087	140564819	140569100	5
ENST00000379487	ENSG00000120688	41061509	41084006	13
ENST00000325954	ENSG00000022840	120533480	120577588	12
ENST00000413266	ENSG00000022840	120533480	120577588	12
ENST00000460680	ENSG00000163930	52401008	52410008	3
ENST00000469613	ENSG00000163930	52401008	52410008	3
ENST00000296288	ENSG00000163930	52401008	52410008	3
ENST00000243997	ENSG00000124172	59025475	59032358	20
ENST00000439696	ENSG00000185650	68787655	68796253	14
ENST00000357156	ENSG00000125971	34516379	34540958	20
ENST00000244007	ENSG00000124181	41136931	41196801	20
ENST00000314940	ENSG00000177733	137745651	137754363	5
ENST00000411912	ENSG00000115464	61187463	61471087	2
ENST00000436269	ENSG00000115464	61187463	61471087	2
ENST00000502346	ENSG00000174695	83052846	83077863	5
ENST00000326005	ENSG00000180304	64687573	64703281	15
ENST00000312637	ENSG00000174132	100535338	100586741	5
ENST00000462683	ENSG00000181704	68498562	68537282	X
ENST00000315869	ENSG00000068323	49028726	49043476	X
ENST00000354171	ENSG00000167468	1103982	1106791	19
ENST00000585362	ENSG00000167468	1103982	1106791	19
ENST00000587648	ENSG00000167468	1103982	1106791	19
ENST00000370873	ENSG00000101182	62136728	62143452	20
ENST00000370858	ENSG00000101182	62136728	62143452	20
ENST00000544848	ENSG00000246705	14774405	14778002	12
ENST00000350028	ENSG00000100347	43955399	44010531	22
ENST00000263280	ENSG00000090372	46719511	46746994	19
ENST00000373335	ENSG00000131174	77895727	77907376	X
ENST00000373669	ENSG00000102309	72181353	72302926	X
ENST00000426907	ENSG00000086758	53532096	53686752	X
ENST00000591416	ENSG00000141644	50266746	50281846	18
ENST00000544599	ENSG00000155957	66135846	66170027	12
ENST00000398033	ENSG00000155957	66135846	66170027	12
ENST00000542724	ENSG00000155957	66135846	66170027	12
ENST00000299424	ENSG00000166337	6606294	6612539	11
ENST00000527248	ENSG00000166337	6606294	6612539	11
ENST00000252602	ENSG00000130312	17292609	17306843	19
ENST00000379607	ENSG00000173674	20124525	20141982	X
ENST00000216160	ENSG00000100324	39399778	39437060	22
ENST00000374274	ENSG00000147164	71056332	71073426	X
ENST00000377811	ENSG00000147123	47142071	47145466	X
ENST00000276062	ENSG00000147123	47142071	47145466	X
ENST00000533683	ENSG00000141858	14087851	14091036	19
ENST00000267339	ENSG00000088448	110878540	110915071	13
ENST00000603993	ENSG00000088448	110878540	110915071	13
ENST00000310847	ENSG00000088448	110878540	110915071	13
ENST00000298818	ENSG00000165898	74493756	74497106	14
ENST00000371674	ENSG00000244687	50081122	50115959	20
ENST00000371558	ENSG00000077721	119474802	119591083	X
ENST00000233331	ENSG00000115274	74455087	74457944	2
ENST00000305536	ENSG00000134597	130401922	130413656	X
ENST00000376582	ENSG00000126768	48893447	48898143	X
ENST00000374078	ENSG00000125995	35699254	35700984	20
ENST00000374077	ENSG00000125995	35699254	35700984	20
ENST00000373358	ENSG00000102390	76173034	76178755	X
ENST00000263354	ENSG00000105402	47487637	47515091	19
ENST00000355238	ENSG00000135316	85607779	85644063	6
ENST00000369622	ENSG00000135316	85607779	85644063	6
ENST00000474879	ENSG00000100258	50502947	50507732	22
ENST00000376052	ENSG00000134900	102596958	102679958	13
ENST00000354488	ENSG00000198171	3188734	3204700	20
ENST00000357997	ENSG00000176915	132725503	132761832	12
ENST00000446419	ENSG00000149600	32702648	32743928	20
ENST00000495461	ENSG00000113811	53884417	53891885	3
ENST00000375370	ENSG00000198176	113584525	113641509	13
ENST00000321256	ENSG00000114503	196935402	196942594	3
ENST00000602845	ENSG00000270170	196942674	196943543	3
ENST00000246194	ENSG00000125970	33993632	34108308	20
ENST00000442805	ENSG00000125970	33993632	34108308	20
ENST00000356221	ENSG00000130177	114234856	114272723	13
ENST00000373719	ENSG00000147162	71533083	71575892	X
ENST00000232125	ENSG00000114023	122384161	122412334	3
ENST00000477892	ENSG00000114023	122384161	122412334	3
ENST00000469967	ENSG00000114023	122384161	122412334	3
ENST00000371065	ENSG00000213625	65420587	65436007	1
ENST00000525681	ENSG00000110321	10797050	10808940	11
ENST00000339995	ENSG00000110321	10797050	10808940	11
ENST00000396525	ENSG00000110321	10797050	10808940	11
ENST00000378720	ENSG00000139684	46770748	46799772	13
ENST00000356554	ENSG00000198162	117367449	117528872	1
ENST00000374980	ENSG00000125977	34088309	34112279	20
ENST00000298894	ENSG00000165943	93182176	93184930	14
ENST00000163416	ENSG00000066455	92794230	92839963	14
ENST00000371437	ENSG00000125356	119871796	119876689	X
ENST00000338970	ENSG00000188846	40457292	40468587	3
ENST00000396203	ENSG00000188846	40457292	40468587	3
ENST00000367478	ENSG00000047410	186311652	186375693	1
ENST00000398073	ENSG00000175215	57819927	57846729	12
ENST00000343788	ENSG00000165416	52652682	52700909	13
ENST00000276585	ENSG00000147586	79918401	80030304	8
ENST00000395068	ENSG00000178719	143990053	143993427	8
ENST00000313269	ENSG00000178719	143990053	143993427	8
ENST00000534791	ENSG00000178719	143990053	143993427	8
ENST00000451311	ENSG00000205542	12975107	12977227	X
ENST00000380636	ENSG00000205542	12975107	12977227	X
ENST00000526049	ENSG00000131871	101270531	101277500	15
ENST00000303577	ENSG00000169564	70087477	70089203	2
ENST00000407422	ENSG00000099956	23786931	23838009	22
ENST00000263121	ENSG00000099956	23786931	23838009	22
ENST00000330374	ENSG00000160131	151396515	151409364	X
ENST00000352983	ENSG00000147604	73290242	73295789	8
ENST00000396466	ENSG00000147604	73290242	73295789	8
ENST00000376901	ENSG00000174851	66284572	66289184	11
ENST00000392994	ENSG00000241343	101390824	101396155	X
ENST00000553110	ENSG00000241343	101390824	101396155	X
ENST00000260952	ENSG00000138381	189661385	189670831	2
ENST00000369842	ENSG00000102119	154379244	154381574	X
ENST00000448281	ENSG00000157014	10248023	10281218	3
ENST00000324679	ENSG00000151748	50632058	50668337	14
ENST00000375571	ENSG00000101367	32819769	32856284	20
ENST00000519948	ENSG00000253719	74537835	74545430	12
ENST00000334220	ENSG00000119689	74881891	74903966	14
ENST00000349995	ENSG00000136152	45464898	45536701	13
ENST00000309993	ENSG00000174579	136148917	136197241	3
ENST00000366535	ENSG00000035687	244408494	244451909	1
ENST00000258648	ENSG00000136146	48053323	48095131	13
ENST00000378586	ENSG00000136146	48053323	48095131	13
ENST00000419783	ENSG00000233276	49357174	49358605	3
ENST00000358015	ENSG00000119318	107283137	107332192	9
ENST00000282344	ENSG00000152484	27066150	27171885	13
ENST00000380629	ENSG00000104765	26383037	26505636	8
ENST00000221114	ENSG00000104671	30156319	30183639	8
ENST00000381809	ENSG00000147853	4709556	4742043	9
ENST00000333762	ENSG00000184897	129314771	129316286	3
ENST00000250405	ENSG00000129473	23298790	23313069	14
ENST00000366615	ENSG00000168275	234373456	234385080	1
ENST00000310430	ENSG00000173273	9555912	9782346	8
ENST00000263897	ENSG00000053501	17215346	17220237	19
ENST00000263228	ENSG00000107341	33817160	33920399	9
ENST00000220853	ENSG00000104412	108443601	108489196	8
ENST00000374864	ENSG00000078747	34363235	34511773	20
ENST00000371317	ENSG00000232119	120594010	120621159	X
ENST00000216259	ENSG00000100417	41576896	41595275	22
ENST00000357575	ENSG00000122490	79902420	79951676	18
ENST00000397778	ENSG00000122490	79902420	79951676	18
ENST00000308824	ENSG00000203880	64254921	64304820	20
ENST00000371974	ENSG00000148290	133351758	133356676	9
ENST00000232905	ENSG00000114784	40309707	40312424	3
ENST00000317881	ENSG00000005022	119468395	119471396	X
ENST00000601048	ENSG00000178980	47778677	47784686	19
ENST00000367439	ENSG00000023572	193090866	193106114	1
ENST00000273221	ENSG00000144711	12897043	13283281	3
ENST00000376925	ENSG00000101439	23626706	23638556	20
ENST00000398409	ENSG00000101439	23626706	23638556	20
ENST00000415083	ENSG00000141380	26016253	26091217	18
ENST00000371738	ENSG00000213221	136359480	136363744	9
ENST00000331334	ENSG00000182512	95533503	95544724	14
ENST00000368346	ENSG00000116539	155335268	155563162	1
ENST00000216832	ENSG00000100941	39175163	39183220	14
ENST00000372409	ENSG00000100982	45934678	45948023	20
ENST00000557016	ENSG00000100632	69380123	69398334	14
ENST00000250454	ENSG00000129518	34515938	34539721	14
ENST00000244020	ENSG00000124193	43457893	43466046	20
ENST00000371942	ENSG00000148300	133406059	133418096	9
ENST00000367210	ENSG00000058673	203795623	203854999	1
ENST00000332127	ENSG00000058673	203795623	203854999	1
ENST00000316594	ENSG00000126945	101408114	101414137	X
ENST00000352456	ENSG00000105323	41262496	41307787	19
ENST00000392006	ENSG00000105323	41262496	41307787	19
ENST00000420329	ENSG00000140577	90529890	90645345	15
ENST00000381854	ENSG00000106993	4679559	4708399	9
ENST00000296582	ENSG00000164168	147617386	147672044	4
ENST00000480740	ENSG00000198843	150602875	150630436	3
ENST00000471696	ENSG00000198843	150602875	150630436	3
ENST00000261868	ENSG00000104131	44537098	44563029	15
ENST00000371933	ENSG00000159658	46674659	46719146	1
ENST00000519449	ENSG00000034677	100257059	100336218	8
ENST00000253003	ENSG00000130706	62302066	62308867	20
ENST00000593256	ENSG00000105518	11342776	11346518	19
ENST00000588560	ENSG00000105518	11342776	11346518	19
ENST00000361605	ENSG00000198912	3889125	3900293	1
ENST00000355801	ENSG00000188243	75525214	75549439	13
ENST00000323013	ENSG00000189306	42507982	42519853	22
ENST00000331479	ENSG00000183172	42079564	42088243	22
ENST00000428304	ENSG00000100439	22598249	22612963	14
ENST00000389120	ENSG00000155827	101533853	101563344	9
ENST00000373625	ENSG00000025800	32108056	32176563	1
ENST00000256429	ENSG00000134046	54151606	54224669	18
ENST00000311502	ENSG00000196642	136807927	136841187	9
ENST00000216264	ENSG00000100422	46684410	46738267	22
ENST00000360270	ENSG00000147065	65588377	65741936	X
ENST00000564910	ENSG00000103769	65726054	65891989	15
ENST00000261890	ENSG00000103769	65726054	65891989	15
ENST00000567671	ENSG00000103769	65726054	65891989	15
ENST00000557342	ENSG00000119705	77708045	77761104	14
ENST00000596731	ENSG00000105583	12668073	12669430	19
ENST00000222190	ENSG00000105583	12668073	12669430	19
ENST00000598732	ENSG00000105583	12668073	12669430	19
ENST00000394920	ENSG00000161016	144789765	144792587	8
ENST00000527914	ENSG00000161016	144789765	144792587	8
ENST00000262584	ENSG00000161016	144789765	144792587	8
ENST00000533397	ENSG00000161016	144789765	144792587	8
ENST00000322310	ENSG00000176101	137188657	137190370	9
ENST00000356413	ENSG00000089289	70133345	70166324	X
ENST00000377798	ENSG00000137054	37481695	37503701	9
ENST00000299608	ENSG00000166479	68673688	68715147	18
ENST00000250489	ENSG00000165782	20457681	20461617	14
ENST00000398020	ENSG00000165782	20457681	20461617	14
ENST00000315588	ENSG00000063322	39391303	39400641	19
ENST00000331457	ENSG00000185721	31399560	31528740	22
ENST00000341423	ENSG00000189403	30456704	30618872	13
ENST00000399489	ENSG00000189403	30456704	30618872	13
ENST00000399494	ENSG00000189403	30456704	30618872	13
ENST00000326004	ENSG00000189403	30456704	30618872	13
ENST00000216727	ENSG00000100836	23321457	23326163	14
ENST00000557702	ENSG00000100836	23321457	23326163	14
ENST00000393381	ENSG00000056050	169729468	169757944	4
ENST00000579408	ENSG00000265681	49488346	49492564	18
ENST00000578532	ENSG00000265681	49488346	49492564	18
ENST00000361611	ENSG00000100804	23016543	23035230	14
ENST00000259457	ENSG00000136930	124352999	124415476	9
ENST00000280987	ENSG00000151327	35045117	35116630	14
ENST00000568956	ENSG00000261221	55605638	55617269	19
ENST00000216038	ENSG00000100220	32387576	32412265	22
ENST00000272438	ENSG00000144043	70968325	70994873	2
ENST00000554659	ENSG00000100568	67646904	67674903	14
ENST00000554636	ENSG00000100568	67646904	67674903	14
ENST00000321301	ENSG00000175768	37582646	37592609	9
ENST00000361479	ENSG00000196199	19633659	19673441	13
ENST00000381736	ENSG00000139496	25301524	25365390	13
ENST00000283534	ENSG00000153485	93184951	93188463	14
ENST00000602725	ENSG00000184007	31906421	31944856	1
ENST00000457805	ENSG00000184007	31906421	31944856	1
ENST00000216029	ENSG00000100211	38656375	38673868	22
ENST00000339834	ENSG00000166275	102854259	102864961	10
ENST00000262962	ENSG00000105248	4247080	4269091	19
ENST00000016171	ENSG00000014919	99710868	99732160	10
ENST00000370483	ENSG00000014919	99710868	99732160	10
ENST00000559471	ENSG00000138593	48988476	49046477	15
ENST00000215574	ENSG00000099804	531721	542092	19
ENST00000357790	ENSG00000137818	69452809	69456205	15
ENST00000260379	ENSG00000137818	69452809	69456205	15
ENST00000368830	ENSG00000143436	151759647	151763496	1
ENST00000560410	ENSG00000100911	24143362	24147570	14
ENST00000216802	ENSG00000100911	24143362	24147570	14
ENST00000373218	ENSG00000148730	70404144	70428618	10
ENST00000373547	ENSG00000119414	125146573	125189939	9
ENST00000230895	ENSG00000112977	10679230	10761273	5
ENST00000245812	ENSG00000125652	6372763	6375250	19
ENST00000358075	ENSG00000102158	77825747	77899271	X
ENST00000555619	ENSG00000119655	74476192	74494177	14
ENST00000238633	ENSG00000119655	74476192	74494177	14
ENST00000249786	ENSG00000140264	43777087	43804427	15
ENST00000339624	ENSG00000140264	43777087	43804427	15
ENST00000409614	ENSG00000140264	43777087	43804427	15
ENST00000316052	ENSG00000178896	144078621	144081244	8
ENST00000311351	ENSG00000175324	38163335	38176730	8
ENST00000316084	ENSG00000198034	72255679	72277312	X
ENST00000347546	ENSG00000102316	54807599	54816015	X
ENST00000375058	ENSG00000102316	54807599	54816015	X
ENST00000266069	ENSG00000101193	62937060	62948589	20
ENST00000222305	ENSG00000105698	35268962	35279821	19
ENST00000343550	ENSG00000105698	35268962	35279821	19
ENST00000237530	ENSG00000118705	37178396	37241624	20
ENST00000393600	ENSG00000071859	154444103	154450654	X
ENST00000269967	ENSG00000142039	41310172	41324873	19
ENST00000326764	ENSG00000167615	54449157	54462022	19
ENST00000421200	ENSG00000167615	54449157	54462022	19
ENST00000231512	ENSG00000113583	133955510	133968674	5
ENST00000507110	ENSG00000112996	44808947	44820428	5
ENST00000220849	ENSG00000104408	108162787	108443496	8
ENST00000521440	ENSG00000104408	108162787	108443496	8
ENST00000264933	ENSG00000249915	271621	314974	5
ENST00000507528	ENSG00000249915	271621	314974	5
ENST00000264954	ENSG00000109519	7058643	7068145	4
ENST00000360565	ENSG00000126461	49640488	49658649	19
ENST00000245458	ENSG00000213741	49570984	49599164	14
ENST00000223641	ENSG00000106803	99222064	99230615	9
ENST00000318158	ENSG00000137106	37422664	37437259	9
ENST00000361246	ENSG00000198752	102932380	103057549	14
ENST00000268171	ENSG00000140564	90868588	90883564	15
ENST00000398970	ENSG00000167193	1420689	1463162	17
ENST00000300574	ENSG00000167193	1420689	1463162	17
ENST00000251047	ENSG00000074695	59327823	59359265	18
ENST00000524349	ENSG00000008988	56067254	56074510	8
ENST00000009589	ENSG00000008988	56067254	56074510	8
ENST00000353107	ENSG00000147669	100150622	100154005	8
ENST00000303127	ENSG00000169223	177315805	177351840	5
ENST00000358402	ENSG00000125952	65006174	65102695	14
ENST00000284165	ENSG00000125952	65006174	65102695	14
ENST00000370651	ENSG00000285976	63572480	63583588	6
ENST00000507019	ENSG00000163319	83455932	83470428	4
ENST00000295491	ENSG00000163319	83455932	83470428	4
ENST00000534355	ENSG00000211450	57741491	57743554	11
ENST00000217652	ENSG00000101608	3247481	3256260	18
