HGNC symbol	UniProtKB/Swiss-Prot ID	Gene stable ID	Transcript stable ID	Protein stable ID
PEX5	P50542	ENSG00000288217	ENST00000671993	ENSP00000500509
PEX5		ENSG00000288217	ENST00000672235	ENSP00000500694
PEX5		ENSG00000288217	ENST00000673288	ENSP00000500769
PEX5		ENSG00000288217	ENST00000672192	ENSP00000500661
PEX5		ENSG00000288217	ENST00000672120	ENSP00000499952
PEX5	P50542	ENSG00000288217	ENST00000672776	ENSP00000500230
PEX5		ENSG00000288217	ENST00000673268	ENSP00000500790
PEX5		ENSG00000288217	ENST00000673209	ENSP00000500332
RNF187	Q5TA31	ENSG00000285426	ENST00000643372	ENSP00000495836
EIF5A	P63241	ENSG00000288145	ENST00000672765	ENSP00000500669
EIF5A	P63241	ENSG00000288145	ENST00000673099	ENSP00000499855
EIF5A		ENSG00000288145	ENST00000672043	ENSP00000500228
EIF5A	P63241	ENSG00000288145	ENST00000673304	ENSP00000499995
EIF5A	P63241	ENSG00000288145	ENST00000673259	ENSP00000500624
EIF5A	P63241	ENSG00000288145	ENST00000672250	ENSP00000500717
EIF5A	P63241	ENSG00000288145	ENST00000672755	ENSP00000500847
EIF5A		ENSG00000288145	ENST00000673105	ENSP00000500543
EIF5A	P63241	ENSG00000288145	ENST00000673210	ENSP00000500414
PSMC4	P43686	ENSG00000281221	ENST00000629691	ENSP00000487367
PSMC4	P43686	ENSG00000281221	ENST00000630857	ENSP00000485851
GPS2		ENSG00000288325	ENST00000672439	ENSP00000500563
GPS2		ENSG00000288325	ENST00000673085	ENSP00000499819
GPS2	Q13227	ENSG00000288325	ENST00000672046	ENSP00000500677
GPS2		ENSG00000288325	ENST00000673095	ENSP00000500845
GPS2	Q13227	ENSG00000288325	ENST00000673265	ENSP00000500255
GPS2		ENSG00000288325	ENST00000672369	ENSP00000499894
DCAF11		ENSG00000284796	ENST00000642433	ENSP00000495592
DCAF11	Q8TEB1	ENSG00000284796	ENST00000642239	ENSP00000494282
DCAF11		ENSG00000284796	ENST00000642976	ENSP00000495853
DCAF11		ENSG00000284796	ENST00000646353	ENSP00000496283
DCAF11		ENSG00000284796	ENST00000646037	ENSP00000493541
DCAF11	Q8TEB1	ENSG00000284796	ENST00000646568	ENSP00000495416
DCAF11		ENSG00000284796	ENST00000644602	ENSP00000496563
DCAF11		ENSG00000284796	ENST00000643844	ENSP00000496199
DCAF11		ENSG00000284796	ENST00000644202	ENSP00000494814
DCAF11		ENSG00000284796	ENST00000644726	ENSP00000494885
DCAF11		ENSG00000284796	ENST00000642215	ENSP00000493568
DCAF11		ENSG00000284796	ENST00000646937	ENSP00000494633
DCAF11		ENSG00000284796	ENST00000643133	ENSP00000495978
DCAF11		ENSG00000284796	ENST00000646026	ENSP00000493919
DCAF11		ENSG00000284796	ENST00000646824	ENSP00000496763
DCAF11		ENSG00000284796	ENST00000645275	ENSP00000496671
DCAF11		ENSG00000284796	ENST00000644601	ENSP00000493794
DCAF11		ENSG00000284796	ENST00000645230	ENSP00000495991
DCAF11		ENSG00000284796	ENST00000643419	ENSP00000495762
DCAF11		ENSG00000284796	ENST00000647222	ENSP00000495803
DCAF11		ENSG00000284796	ENST00000644190	ENSP00000496770
DCAF11		ENSG00000284796	ENST00000644990	ENSP00000494318
DCAF11		ENSG00000284796	ENST00000643675	ENSP00000493803
DCAF11		ENSG00000284796	ENST00000644849	ENSP00000496156
DCAF11		ENSG00000284796	ENST00000645157	ENSP00000494620
DCAF11		ENSG00000284796	ENST00000645200	ENSP00000493483
DCAF11	Q8TEB1	ENSG00000284796	ENST00000644566	ENSP00000493711
DCAF11		ENSG00000284796	ENST00000642993	ENSP00000493707
DCAF11	Q8TEB1	ENSG00000284796	ENST00000646524	ENSP00000495415
DCAF11		ENSG00000284796	ENST00000644620	ENSP00000493825
PSME1		ENSG00000284916	ENST00000645332	ENSP00000495602
PSME1	Q06323	ENSG00000284916	ENST00000645537	ENSP00000495095
PSME1	Q06323	ENSG00000284916	ENST00000646132	ENSP00000496083
PSME1	Q06323	ENSG00000284916	ENST00000643169	ENSP00000493882
PSME1		ENSG00000284916	ENST00000642736	ENSP00000494432
EMC9		ENSG00000285377	ENST00000644280	ENSP00000493482
EMC9	Q9Y3B6	ENSG00000285377	ENST00000642147	ENSP00000494976
EMC9	Q9Y3B6	ENSG00000285377	ENST00000646772	ENSP00000495623
EMC9		ENSG00000285377	ENST00000645610	ENSP00000496357
RNF31		ENSG00000285152	ENST00000643184	ENSP00000494317
RNF31		ENSG00000285152	ENST00000643741	ENSP00000496100
RNF31		ENSG00000285152	ENST00000647216	ENSP00000495391
RNF31		ENSG00000285152	ENST00000646552	ENSP00000494912
RNF31		ENSG00000285152	ENST00000646598	ENSP00000493488
SURF6	O75683	ENSG00000281309	ENST00000629980	ENSP00000485909
RNF31	Q96EP0	ENSG00000285152	ENST00000642631	ENSP00000494011
RNF31	Q96EP0	ENSG00000285152	ENST00000647495	ENSP00000496609
RNF31		ENSG00000285152	ENST00000642839	ENSP00000495294
RNF31		ENSG00000285152	ENST00000645706	ENSP00000494612
RNF31		ENSG00000285152	ENST00000642694	ENSP00000495626
RNF31		ENSG00000285152	ENST00000647479	ENSP00000498923
RNF31		ENSG00000285152	ENST00000646053	ENSP00000494950
RNF31		ENSG00000285152	ENST00000643973	ENSP00000495306
RNF31		ENSG00000285152	ENST00000644392	ENSP00000494683
RNF31		ENSG00000285152	ENST00000645418	ENSP00000494218
SURF1	Q15526	ENSG00000280627	ENST00000626663	ENSP00000487158
SURF1		ENSG00000280627	ENST00000628258	ENSP00000486289
SURF4		ENSG00000280951	ENST00000625213	ENSP00000486393
SURF4		ENSG00000280951	ENST00000627384	ENSP00000486033
SURF4	O15260	ENSG00000280951	ENST00000629119	ENSP00000486869
SURF4	O15260	ENSG00000280951	ENST00000629578	ENSP00000486049
SURF4	O15260	ENSG00000280951	ENST00000626303	ENSP00000487537
SURF4		ENSG00000280951	ENST00000625797	ENSP00000487188
TM9SF1		ENSG00000285465	ENST00000642799	ENSP00000495907
TM9SF1	O15321	ENSG00000285465	ENST00000646762	ENSP00000494320
TM9SF1		ENSG00000285465	ENST00000642990	ENSP00000494496
TM9SF1		ENSG00000285465	ENST00000643885	ENSP00000494059
TM9SF1		ENSG00000285465	ENST00000644476	ENSP00000493769
TM9SF1	O15321	ENSG00000285465	ENST00000646500	ENSP00000494851
TM9SF1		ENSG00000285465	ENST00000645452	ENSP00000495904
TM9SF1		ENSG00000285465	ENST00000644349	ENSP00000494527
TM9SF1		ENSG00000285465	ENST00000643801	ENSP00000493597
TM9SF1		ENSG00000285465	ENST00000645992	ENSP00000494023
TM9SF1		ENSG00000285465	ENST00000643382	ENSP00000496183
CHMP4A	Q9BY43	ENSG00000285302	ENST00000645308	ENSP00000495982
CHMP4A		ENSG00000285302	ENST00000643482	ENSP00000495067
CHMP4A		ENSG00000285302	ENST00000643209	ENSP00000493585
CHMP4A		ENSG00000285302	ENST00000646546	ENSP00000494398
CHMP4A		ENSG00000285302	ENST00000642476	ENSP00000496459
MDP1	Q86V88	ENSG00000285200	ENST00000644853	ENSP00000493831
MDP1	Q86V88	ENSG00000285200	ENST00000646165	ENSP00000494235
NEDD8-MDP1		ENSG00000285425	ENST00000642609	ENSP00000494020
NEDD8-MDP1		ENSG00000285425	ENST00000644921	ENSP00000494449
NEDD8-MDP1		ENSG00000285425	ENST00000644380	ENSP00000496657
NEDD8		ENSG00000285246	ENST00000645521	ENSP00000495901
NEDD8	Q15843	ENSG00000285246	ENST00000643069	ENSP00000496420
NEDD8		ENSG00000285246	ENST00000644053	ENSP00000494869
GMPR2		ENSG00000284752	ENST00000646846	ENSP00000495863
GMPR2	Q9P2T1	ENSG00000284752	ENST00000644066	ENSP00000494224
GMPR2	Q9P2T1	ENSG00000284752	ENST00000642276	ENSP00000496504
GMPR2		ENSG00000284752	ENST00000642962	ENSP00000493856
GMPR2		ENSG00000284752	ENST00000646127	ENSP00000495118
GMPR2		ENSG00000284752	ENST00000645163	ENSP00000494211
GMPR2		ENSG00000284752	ENST00000643928	ENSP00000493917
GMPR2		ENSG00000284752	ENST00000645098	ENSP00000494163
GMPR2		ENSG00000284752	ENST00000642880	ENSP00000494632
GMPR2		ENSG00000284752	ENST00000646210	ENSP00000496687
GMPR2		ENSG00000284752	ENST00000642305	ENSP00000496752
GMPR2		ENSG00000284752	ENST00000643880	ENSP00000494045
GMPR2	Q9P2T1	ENSG00000284752	ENST00000647320	ENSP00000495583
GMPR2		ENSG00000284752	ENST00000646271	ENSP00000495215
GMPR2	Q9P2T1	ENSG00000284752	ENST00000645781	ENSP00000496234
GMPR2		ENSG00000284752	ENST00000642242	ENSP00000493508
GMPR2		ENSG00000284752	ENST00000646671	ENSP00000495221
GMPR2		ENSG00000284752	ENST00000646201	ENSP00000495732
GMPR2		ENSG00000284752	ENST00000643935	ENSP00000493542
GMPR2	Q9P2T1	ENSG00000284752	ENST00000643803	ENSP00000495708
GMPR2		ENSG00000284752	ENST00000643005	ENSP00000495739
GMPR2		ENSG00000284752	ENST00000643106	ENSP00000494859
GMPR2		ENSG00000284752	ENST00000647290	ENSP00000495327
GMPR2		ENSG00000284752	ENST00000646840	ENSP00000494658
GMPR2		ENSG00000284752	ENST00000646715	ENSP00000495889
GMPR2		ENSG00000284752	ENST00000643570	ENSP00000494482
TINF2		ENSG00000284915	ENST00000642940	ENSP00000494994
TINF2	Q9BSI4	ENSG00000284915	ENST00000646576	ENSP00000495019
TINF2	Q9BSI4	ENSG00000284915	ENST00000642983	ENSP00000494089
TINF2		ENSG00000284915	ENST00000644449	ENSP00000495055
TINF2		ENSG00000284915	ENST00000645118	ENSP00000495791
TINF2		ENSG00000284915	ENST00000643210	ENSP00000494379
TINF2		ENSG00000284915	ENST00000642341	ENSP00000496059
TINF2		ENSG00000284915	ENST00000645882	ENSP00000494956
TINF2		ENSG00000284915	ENST00000644797	ENSP00000495301
TMEM256	Q8N2U0	ENSG00000283771	ENST00000639136	ENSP00000491711
TMEM256		ENSG00000283771	ENST00000638558	ENSP00000492057
RABGGTA		ENSG00000285193	ENST00000645472	ENSP00000494366
RABGGTA	Q92696	ENSG00000285193	ENST00000644383	ENSP00000494636
RABGGTA	Q92696	ENSG00000285193	ENST00000646658	ENSP00000496595
RABGGTA		ENSG00000285193	ENST00000647077	ENSP00000493910
RABGGTA		ENSG00000285193	ENST00000645404	ENSP00000494691
RABGGTA		ENSG00000285193	ENST00000647538	ENSP00000494093
RABGGTA		ENSG00000285193	ENST00000644705	ENSP00000495251
RABGGTA		ENSG00000285193	ENST00000646798	ENSP00000493879
POLR2A		ENSG00000284832	ENST00000643490	ENSP00000494840
NOP9	Q86U38	ENSG00000285326	ENST00000644840	ENSP00000495668
NOP9	Q86U38	ENSG00000285326	ENST00000642262	ENSP00000493692
NOP9		ENSG00000285326	ENST00000649034	ENSP00000497752
NOP9		ENSG00000285326	ENST00000646863	ENSP00000494702
TPRKB	Q9Y3C4	ENSG00000291480	ENST00000707638	ENSP00000516939
TPRKB	Q9Y3C4	ENSG00000291480	ENST00000707640	ENSP00000516940
TPRKB	Q9Y3C4	ENSG00000291480	ENST00000707641	ENSP00000516941
DUSP11		ENSG00000291483	ENST00000707647	ENSP00000516942
DUSP11	O75319	ENSG00000291483	ENST00000707649	ENSP00000516943
DUSP11		ENSG00000291483	ENST00000707650	ENSP00000516944
DUSP11		ENSG00000291483	ENST00000707651	ENSP00000516945
DUSP11		ENSG00000291483	ENST00000707652	ENSP00000516946
DUSP11		ENSG00000291483	ENST00000707653	ENSP00000516947
DUSP11		ENSG00000291483	ENST00000707654	ENSP00000516948
DUSP11	O75319	ENSG00000291483	ENST00000707657	ENSP00000516949
DUSP11		ENSG00000291483	ENST00000707658	ENSP00000516950
DUSP11		ENSG00000291483	ENST00000707659	ENSP00000516951
USP16	Q9Y5T5	ENSG00000291527	ENST00000707868	ENSP00000517012
USP16	Q9Y5T5	ENSG00000291527	ENST00000707870	ENSP00000517014
USP16		ENSG00000291527	ENST00000707872	ENSP00000517015
USP16	Q9Y5T5	ENSG00000291527	ENST00000707869	ENSP00000517013
CCT8		ENSG00000291533	ENST00000707881	ENSP00000517016
CCT8	P50990	ENSG00000291533	ENST00000707892	ENSP00000517020
CCT8	P50990	ENSG00000291533	ENST00000707884	ENSP00000517017
CCT8	P50990	ENSG00000291533	ENST00000707885	ENSP00000517018
CCT8		ENSG00000291533	ENST00000707888	ENSP00000517019
UBL7		ENSG00000288408	ENST00000673370	ENSP00000499893
UBL7		ENSG00000288408	ENST00000672723	ENSP00000500449
UBL7	Q96S82	ENSG00000288408	ENST00000673073	ENSP00000500266
UBL7	Q96S82	ENSG00000288408	ENST00000673120	ENSP00000500882
UBL7	Q96S82	ENSG00000288408	ENST00000673153	ENSP00000500164
UBL7	Q96S82	ENSG00000288408	ENST00000673461	ENSP00000500442
UBL7	Q96S82	ENSG00000288408	ENST00000673054	ENSP00000500520
UBL7		ENSG00000288408	ENST00000673618	ENSP00000500533
UBL7		ENSG00000288408	ENST00000673596	ENSP00000500739
SLC25A26	Q70HW3	ENSG00000282739	ENST00000633701	ENSP00000488659
SLC25A26	Q70HW3	ENSG00000282739	ENST00000632575	ENSP00000488865
SLC25A26		ENSG00000282739	ENST00000634032	ENSP00000487656
SLC25A26		ENSG00000282739	ENST00000633238	ENSP00000487996
SLC25A26		ENSG00000282739	ENST00000632740	ENSP00000487788
ADIPOR2	Q86V24	ENSG00000285070	ENST00000645126	ENSP00000495699
ATG16L1		ENSG00000281089	ENST00000629246	ENSP00000487252
ZNF197		ENSG00000281709	ENST00000627004	ENSP00000487051
ZNF197	O14709	ENSG00000281709	ENST00000627517	ENSP00000487305
ZNF197	O14709	ENSG00000281709	ENST00000628172	ENSP00000485709
ZNF197	O14709	ENSG00000281709	ENST00000627752	ENSP00000486777
ZNF197		ENSG00000281709	ENST00000627858	ENSP00000486661
ZNF197	O14709	ENSG00000281709	ENST00000627845	ENSP00000486739
ATG16L1	Q676U5	ENSG00000281089	ENST00000626623	ENSP00000487298
ATG16L1		ENSG00000281089	ENST00000627513	ENSP00000486688
ATG16L1	Q676U5	ENSG00000281089	ENST00000630204	ENSP00000487455
ATG16L1	Q676U5	ENSG00000281089	ENST00000625501	ENSP00000487542
KIAA1143	Q96AT1	ENSG00000281665	ENST00000627745	ENSP00000486878
ATG16L1		ENSG00000281089	ENST00000631068	ENSP00000485758
ATG16L1		ENSG00000281089	ENST00000629673	ENSP00000487407
ATG16L1		ENSG00000281089	ENST00000630596	ENSP00000486453
ATG16L1	Q676U5	ENSG00000281089	ENST00000630066	ENSP00000487446
ATG16L1		ENSG00000281089	ENST00000626639	ENSP00000486603
TMEM42	Q69YG0	ENSG00000280516	ENST00000626748	ENSP00000486141
TRAPPC4		ENSG00000280495	ENST00000627703	ENSP00000486853
TRAPPC4		ENSG00000280495	ENST00000630169	ENSP00000486097
TRAPPC4	Q9Y296	ENSG00000280495	ENST00000629713	ENSP00000486496
TRAPPC4		ENSG00000280495	ENST00000625526	ENSP00000485724
TRAPPC4	Q9Y296	ENSG00000280495	ENST00000629243	ENSP00000487467
TRAPPC4		ENSG00000280495	ENST00000625680	ENSP00000485730
TRAPPC4		ENSG00000280495	ENST00000626820	ENSP00000486303
TRAPPC4		ENSG00000280495	ENST00000630040	ENSP00000487585
HYOU1	Q9Y4L1	ENSG00000280682	ENST00000630669	ENSP00000486825
HYOU1		ENSG00000280682	ENST00000628429	ENSP00000486718
HYOU1		ENSG00000280682	ENST00000629227	ENSP00000486458
HYOU1		ENSG00000280682	ENST00000627731	ENSP00000485827
HYOU1		ENSG00000280682	ENST00000652049	ENSP00000498859
HYOU1		ENSG00000280682	ENST00000629679	ENSP00000487018
HYOU1		ENSG00000280682	ENST00000629353	ENSP00000486966
HYOU1		ENSG00000280682	ENST00000625612	ENSP00000485927
HYOU1		ENSG00000280682	ENST00000630070	ENSP00000487387
HYOU1		ENSG00000280682	ENST00000628974	ENSP00000486231
HYOU1		ENSG00000280682	ENST00000627494	ENSP00000486257
HYOU1		ENSG00000280682	ENST00000626576	ENSP00000486396
HYOU1		ENSG00000280682	ENST00000628600	ENSP00000486747
HYOU1		ENSG00000280682	ENST00000628120	ENSP00000487063
HYOU1		ENSG00000280682	ENST00000629044	ENSP00000486534
HYOU1		ENSG00000280682	ENST00000626494	ENSP00000486491
TMEM131	Q92545	ENSG00000291574	ENST00000708031	ENSP00000517074
TMEM131		ENSG00000291574	ENST00000708034	ENSP00000517075
TMEM131		ENSG00000291574	ENST00000708036	ENSP00000517076
TMEM131		ENSG00000291574	ENST00000708037	ENSP00000517077
HBP1	O60381	ENSG00000283847	ENST00000640195	ENSP00000492343
HBP1		ENSG00000283847	ENST00000638380	ENSP00000492601
HBP1		ENSG00000283847	ENST00000638549	ENSP00000491661
HBP1	O60381	ENSG00000283847	ENST00000638303	ENSP00000491311
HBP1		ENSG00000283847	ENST00000638758	ENSP00000491115
HBP1		ENSG00000283847	ENST00000640580	ENSP00000491563
HBP1	O60381	ENSG00000283847	ENST00000638893	ENSP00000492167
HBP1		ENSG00000283847	ENST00000640057	ENSP00000491471
HBP1		ENSG00000283847	ENST00000640325	ENSP00000491995
HBP1		ENSG00000283847	ENST00000638775	ENSP00000491808
HBP1		ENSG00000283847	ENST00000640309	ENSP00000491033
COX5B	P10606	ENSG00000291596	ENST00000708077	ENSP00000517083
ACTR1B	P42025	ENSG00000291597	ENST00000708081	ENSP00000517084
BCAP29	Q9UHQ4	ENSG00000283852	ENST00000640915	ENSP00000490977
BCAP29	Q9UHQ4	ENSG00000283852	ENST00000640518	ENSP00000491801
PTEN	P60484	ENSG00000284792	ENST00000710385	ENSP00000518242
PTEN		ENSG00000284792	ENST00000710386	ENSP00000518243
PTEN	P60484	ENSG00000284792	ENST00000710387	ENSP00000518244
PTEN		ENSG00000284792	ENST00000710388	ENSP00000518245
PTEN		ENSG00000284792	ENST00000710389	ENSP00000518246
PTEN		ENSG00000284792	ENST00000710390	ENSP00000518247
PTEN	P60484	ENSG00000284792	ENST00000644628	ENSP00000494918
PTEN		ENSG00000284792	ENST00000710391	ENSP00000518248
PTEN		ENSG00000284792	ENST00000710393	ENSP00000518249
WDR73	Q6P4I2	ENSG00000291629	ENST00000708214	ENSP00000517130
WDR73		ENSG00000291629	ENST00000708221	ENSP00000517131
WDR73		ENSG00000291629	ENST00000708222	ENSP00000517132
WDR73		ENSG00000291629	ENST00000708225	ENSP00000517133
TATDN1		ENSG00000291730	ENST00000708477	ENSP00000517240
TATDN1	Q6P1N9	ENSG00000291730	ENST00000708478	ENSP00000517241
TATDN1		ENSG00000291730	ENST00000708479	ENSP00000517242
TATDN1		ENSG00000291730	ENST00000708480	ENSP00000517243
TATDN1	Q6P1N9	ENSG00000291730	ENST00000708482	ENSP00000517244
TATDN1		ENSG00000291730	ENST00000708483	ENSP00000517245
TATDN1		ENSG00000291730	ENST00000708485	ENSP00000517246
TATDN1		ENSG00000291730	ENST00000708486	ENSP00000517247
TATDN1		ENSG00000291730	ENST00000708489	ENSP00000517248
TATDN1		ENSG00000291730	ENST00000708490	ENSP00000517249
TATDN1		ENSG00000291730	ENST00000708491	ENSP00000517250
TATDN1		ENSG00000291730	ENST00000708492	ENSP00000517251
TATDN1		ENSG00000291730	ENST00000708493	ENSP00000517252
TATDN1		ENSG00000291730	ENST00000708494	ENSP00000517253
TATDN1		ENSG00000291730	ENST00000708495	ENSP00000517254
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000291572	ENSP00000291572
AGPAT3		ENSG00000160216	ENST00000448287	ENSP00000389318
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000398061	ENSP00000381138
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000327505	ENSP00000332989
AGPAT3		ENSG00000160216	ENST00000445582	ENSP00000412079
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000398063	ENSP00000381140
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000398058	ENSP00000381135
AGPAT3		ENSG00000160216	ENST00000457068	ENSP00000413906
AGPAT3		ENSG00000160216	ENST00000448845	ENSP00000394102
AGPAT3		ENSG00000160216	ENST00000422850	ENSP00000414440
AGPAT3	Q9NRZ7	ENSG00000160216	ENST00000546158	ENSP00000443510
CYFIP1	Q7L576	ENSG00000288461	ENST00000671714	ENSP00000500331
CYFIP1	Q7L576	ENSG00000288461	ENST00000672091	ENSP00000499947
GTF2H1	P32780	ENSG00000288114	ENST00000672827	ENSP00000500178
GTF2H1	P32780	ENSG00000288114	ENST00000672845	ENSP00000500357
GTF2H1	P32780	ENSG00000288114	ENST00000672527	ENSP00000500852
GTF2H1		ENSG00000288114	ENST00000672072	ENSP00000500821
GTF2H1		ENSG00000288114	ENST00000673424	ENSP00000500631
GTF2H1		ENSG00000288114	ENST00000673270	ENSP00000500911
GTF2H1		ENSG00000288114	ENST00000672912	ENSP00000499932
MED10	Q9BTT4	ENSG00000291745	ENST00000708561	ENSP00000517281
LDHA		ENSG00000288299	ENST00000672804	ENSP00000500621
LDHA		ENSG00000288299	ENST00000672157	ENSP00000500087
LDHA	P00338	ENSG00000288299	ENST00000672996	ENSP00000500284
LDHA	P00338	ENSG00000288299	ENST00000673083	ENSP00000500168
LDHA	P00338	ENSG00000288299	ENST00000672405	ENSP00000500953
LDHA		ENSG00000288299	ENST00000673201	ENSP00000500119
LDHA		ENSG00000288299	ENST00000671938	ENSP00000500858
LDHA		ENSG00000288299	ENST00000671771	ENSP00000500077
LDHA		ENSG00000288299	ENST00000673540	ENSP00000500430
LDHA		ENSG00000288299	ENST00000672417	ENSP00000500407
LDHA		ENSG00000288299	ENST00000672754	ENSP00000500101
LDHA	P00338	ENSG00000288299	ENST00000672078	ENSP00000500354
LDHA		ENSG00000288299	ENST00000673339	ENSP00000499918
LDHA		ENSG00000288299	ENST00000673488	ENSP00000500554
LDHA	P00338	ENSG00000288299	ENST00000673007	ENSP00000500603
LDHA	P00338	ENSG00000288299	ENST00000673204	ENSP00000499977
LDHA	P00338	ENSG00000288299	ENST00000671981	ENSP00000499898
LDHA		ENSG00000288299	ENST00000672544	ENSP00000500704
LDHA		ENSG00000288299	ENST00000672605	ENSP00000500733
FBXL6	Q8N531	ENSG00000285442	ENST00000644788	ENSP00000495082
FBXL6	Q8N531	ENSG00000285442	ENST00000646393	ENSP00000496284
GPATCH4	Q5T3I0	ENSG00000292251	ENST00000710324	ENSP00000518204
GPATCH4	Q5T3I0	ENSG00000292251	ENST00000710336	ENSP00000518217
GPATCH4		ENSG00000292251	ENST00000710325	ENSP00000518205
GPATCH4		ENSG00000292251	ENST00000710337	ENSP00000518218
GPATCH4		ENSG00000292251	ENST00000710339	ENSP00000518219
GPATCH4		ENSG00000292251	ENST00000710343	ENSP00000518220
KBTBD4	Q9NVX7	ENSG00000284900	ENST00000646317	ENSP00000495324
KBTBD4	Q9NVX7	ENSG00000284900	ENST00000647201	ENSP00000495892
KBTBD4	Q9NVX7	ENSG00000284900	ENST00000646479	ENSP00000495464
KBTBD4	Q9NVX7	ENSG00000284900	ENST00000645388	ENSP00000495796
KBTBD4		ENSG00000284900	ENST00000643762	ENSP00000495636
KBTBD4		ENSG00000284900	ENST00000646580	ENSP00000493705
KBTBD4		ENSG00000284900	ENST00000647177	ENSP00000494862
KBTBD4		ENSG00000284900	ENST00000645299	ENSP00000494973
KBTBD4		ENSG00000284900	ENST00000645171	ENSP00000493505
KBTBD4		ENSG00000284900	ENST00000644548	ENSP00000495529
MCM3AP	O60318	ENSG00000160294	ENST00000291688	ENSP00000291688
MCM3AP	O60318	ENSG00000160294	ENST00000397708	ENSP00000380820
MCM3AP		ENSG00000160294	ENST00000426537	ENSP00000408934
VPS28	Q9UK41	ENSG00000285339	ENST00000646588	ENSP00000495408
VPS28	Q9UK41	ENSG00000285339	ENST00000642202	ENSP00000494521
VPS28	Q9UK41	ENSG00000285339	ENST00000642867	ENSP00000496519
VPS28	Q9UK41	ENSG00000285339	ENST00000643186	ENSP00000496693
VPS28		ENSG00000285339	ENST00000644457	ENSP00000495268
VPS28		ENSG00000285339	ENST00000644818	ENSP00000495451
VPS28		ENSG00000285339	ENST00000646717	ENSP00000493893
VPS28		ENSG00000285339	ENST00000642606	ENSP00000495819
VPS28		ENSG00000285339	ENST00000643640	ENSP00000495419
MTCH2	Q9Y6C9	ENSG00000285121	ENST00000643223	ENSP00000495027
MTCH2		ENSG00000285121	ENST00000642838	ENSP00000494421
PFDN5	Q99471	ENSG00000291834	ENST00000708922	ENSP00000517421
PFDN5		ENSG00000291834	ENST00000708925	ENSP00000517422
PFDN5		ENSG00000291834	ENST00000708926	ENSP00000517423
PFDN5		ENSG00000291834	ENST00000708929	ENSP00000517424
