HGNC symbol	Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
AP2A2	ENSG00000280759	3478	74982	HSCHR11_2_CTG1
AP2A2	ENSG00000281385	3478	81830	HSCHR11_3_CTG1
AP2A2	ENSG00000183020	924881	1012245	11
AP2M1	ENSG00000161203	184174689	184184214	3
AP2S1	ENSG00000042753	46838136	46850882	19
AP3B1	ENSG00000132842	77991640	78294762	5
AP3D1	ENSG00000065000	2100982	2164468	19
AP3M1	ENSG00000185009	74120255	74151055	10
AP3S1	ENSG00000177879	115841422	115914086	5
AP3S2	ENSG00000157823	89830599	89894638	15
AP4B1	ENSG00000134262	113894194	113905722	1
AP5M1	ENSG00000053770	57268504	57298742	14
APEH	ENSG00000164062	49673981	49683971	3
APEX1	ENSG00000291796	657872	660453	HG2526_HG2573_PATCH
APEX1	ENSG00000100823	20454525	20457779	14
APEX2	ENSG00000169188	55000331	55009057	X
APH1A	ENSG00000117362	150265399	150269580	1
API5	ENSG00000166181	43311955	43344530	11
APIP	ENSG00000149089	34853094	34916520	11
APOL2	ENSG00000128335	36226209	36239954	22
APOOL	ENSG00000155008	85003871	85093315	X
APPL2	ENSG00000136044	105172485	105236221	12
APTX	ENSG00000137074	32886601	33025130	9
ARAF	ENSG00000078061	47561182	47571921	X
ARCN1	ENSG00000095139	118572390	118603033	11
ARF1	ENSG00000143761	228081841	228099212	1
ARF5	ENSG00000004059	127588370	127591700	7
ARF6	ENSG00000165527	49892608	49897054	14
ARFGAP2	ENSG00000149182	47164299	47177474	11
ARFGAP3	ENSG00000242247	42796502	42858106	22
ARFGEF2	ENSG00000124198	48921711	49036693	20
ARFIP1	ENSG00000164144	152779096	152918463	4
ARFIP2	ENSG00000132254	6474683	6481479	11
ARFRP1	ENSG00000101246	63698622	63708662	20
ARHGAP35	ENSG00000160007	46860997	47005077	19
ARHGAP5	ENSG00000100852	32075794	32159728	14
ARHGDIA	ENSG00000141522	81867719	81871378	17
ARHGEF10L	ENSG00000074964	17539368	17697876	1
ARHGEF11	ENSG00000132694	156934840	157046903	1
ARHGEF40	ENSG00000165801	21069647	21090248	14
ARIH1	ENSG00000166233	72474308	72602987	15
ARIH2	ENSG00000177479	48918821	48986382	3
ARL1	ENSG00000120805	101393116	101407772	12
ARL14EP	ENSG00000152219	30323104	30338458	11
ARL5A	ENSG00000162980	151788984	151828531	2
ARL6IP4	ENSG00000182196	122980045	122983479	12
ARL8A	ENSG00000143862	202133404	202144743	1
ARL8B	ENSG00000134108	5122249	5180911	3
ARMC1	ENSG00000104442	65602456	65634217	8
ARMC10	ENSG00000282813	144965	158099	HSCHR7_1_CTG4_4
ARMC10	ENSG00000170632	103074625	103102902	7
ARMC5	ENSG00000140691	31458080	31467172	16
ARMC6	ENSG00000105676	19033575	19060311	19
ARMC7	ENSG00000125449	75109952	75130272	17
ARMC8	ENSG00000114098	138187248	138298384	3
ARMCX3	ENSG00000102401	101622797	101627843	X
ARMCX5	ENSG00000125962	102599168	102604159	X
ARNT	ENSG00000143437	150808617	150876771	1
ARPC1A	ENSG00000241685	99325880	99366267	7
ARPC2	ENSG00000163466	218216630	218254356	2
ARPC5L	ENSG00000136950	124862130	124877733	9
ARV1	ENSG00000173409	230978981	231000733	1
ASB1	ENSG00000065802	238426742	238452250	2
ASB6	ENSG00000148331	129634602	129642169	9
ASB7	ENSG00000183475	100602547	100651703	15
ASB8	ENSG00000177981	48147789	48181213	12
ASCC1	ENSG00000138303	72096018	72217653	10
ASCC3	ENSG00000112249	100508194	100881407	6
ASF1A	ENSG00000111875	118894152	118909171	6
ASH2L	ENSG00000129691	38105493	38144124	8
ASNSD1	ENSG00000138381	189661385	189670831	2
ASPSCR1	ENSG00000169696	81976807	82017406	17
ASXL1	ENSG00000171456	32358266	32439319	20
ATAD1	ENSG00000138138	87751512	87842355	10
ATAD3A	ENSG00000197785	1512147	1534686	1
ATE1	ENSG00000107669	121709393	121928801	10
ATF1	ENSG00000123268	50763710	50821162	12
ATF2	ENSG00000115966	175072250	175168382	2
ATF4	ENSG00000128272	39519695	39522690	22
ATF6	ENSG00000118217	161766261	161977574	1
ATF7	ENSG00000170653	53507856	53626410	12
ATF7IP	ENSG00000171681	14365627	14502931	12
ATG12	ENSG00000145782	115828200	115841837	5
ATG13	ENSG00000175224	46617251	46674818	11
ATG16L1	ENSG00000281089	155389	241012	HG2232_PATCH
ATG16L1	ENSG00000085978	233210051	233295674	2
ATG2A	ENSG00000110046	64894531	64917245	11
ATG2B	ENSG00000066739	96279195	96363341	14
ATG3	ENSG00000144848	112532510	112562046	3
ATG4B	ENSG00000168397	241637213	241673857	2
ATG4D	ENSG00000130734	10543533	10553423	19
ATG5	ENSG00000057663	106045423	106326477	6
ATG7	ENSG00000197548	11272309	11557665	3
ATIC	ENSG00000138363	215311956	215349773	2
ATL2	ENSG00000119787	38293949	38377438	2
ATMIN	ENSG00000291953	84081	95589	HG405_PATCH
ATMIN	ENSG00000166454	81035842	81047350	16
ATOX1	ENSG00000177556	151738084	151772532	5
ATP2C1	ENSG00000017260	130850511	131016712	3
ATP6AP1	ENSG00000071553	154428618	154436517	X
ATP6V0A2	ENSG00000185344	123712342	123761755	12
ATP6V0B	ENSG00000117410	43974487	43978295	1
ATP6V0C	ENSG00000185883	2513713	2520218	16
ATP6V0D1	ENSG00000159720	67438005	67481188	16
ATP6V0E1	ENSG00000113732	172983771	173035445	5
ATP6V1C1	ENSG00000155097	103021063	103073051	8
ATP6V1D	ENSG00000100554	67294371	67360265	14
ATP6V1E1	ENSG00000131100	17592136	17630958	22
ATP6V1F	ENSG00000128524	128862856	128865847	7
ATP6V1G1	ENSG00000136888	114587706	114598915	9
ATP6V1H	ENSG00000047249	53715543	53843558	8
ATPAF2	ENSG00000171953	17977409	18039209	17
ATRAID	ENSG00000138085	27212041	27217178	2
ATRN	ENSG00000088812	3471018	3651118	20
ATXN10	ENSG00000130638	45671798	45845307	22
ATXN1L	ENSG00000224470	71808439	71885268	16
ATXN2	ENSG00000204842	111443485	111599676	12
ATXN2L	ENSG00000168488	28822999	28837237	16
ATXN7L3	ENSG00000087152	44191805	44200961	17
ATXN7L3B	ENSG00000253719	74537835	74545430	12
AUH	ENSG00000148090	91213815	91361961	9
AUP1	ENSG00000115307	74526636	74529788	2
AURKAIP1	ENSG00000175756	1373729	1375521	1
AXIN1	ENSG00000103126	287440	352730	16
AZI2	ENSG00000163512	28315003	28349050	3
AZIN1	ENSG00000155096	102826111	102893864	8
B3GALT6	ENSG00000176022	1232237	1235041	1
B4GALT3	ENSG00000158850	161171306	161178652	1
B4GALT5	ENSG00000158470	49632945	49713908	20
B4GALT7	ENSG00000027847	177600114	177611056	5
BABAM1	ENSG00000105393	17267343	17281249	19
BAD	ENSG00000002330	64269828	64291946	11
BAG1	ENSG00000107262	33247820	33264720	9
BAG4	ENSG00000156735	38176533	38213301	8
BAG6	ENSG00000229524	3116310	3129995	HSCHR6_MHC_COX_CTG1
BAG6	ENSG00000227761	2886791	2900476	HSCHR6_MHC_DBB_CTG1
BAG6	ENSG00000233348	2938304	2951983	HSCHR6_MHC_SSTO_CTG1
BAG6	ENSG00000228760	2944068	2957751	HSCHR6_MHC_MANN_CTG1
BAG6	ENSG00000234651	2980907	2994577	HSCHR6_MHC_MCF_CTG1
BAG6	ENSG00000096155	2894841	2908524	HSCHR6_MHC_QBL_CTG1
BAG6	ENSG00000204463	31638544	31652747	6
BAHD1	ENSG00000140320	40436611	40468242	15
BANF1	ENSG00000175334	66002228	66004170	11
BAP1	ENSG00000163930	52401008	52410008	3
BAZ1B	ENSG00000009954	73440406	73522293	7
BBS4	ENSG00000140463	72686186	72742006	15
BCAP29	ENSG00000283852	426428	464015	HG2266_PATCH
BCAP29	ENSG00000075790	107579957	107629170	7
BCAP31	ENSG00000185825	153698006	153725957	X
BCAS2	ENSG00000116752	114567552	114581648	1
BCAT2	ENSG00000105552	48795061	48811056	19
BCCIP	ENSG00000107949	125823525	125853695	10
BCKDHA	ENSG00000248098	41397793	41425005	19
BCKDK	ENSG00000103507	31106107	31112791	16
BCL2L1	ENSG00000171552	31664452	31723989	20
BCL2L13	ENSG00000099968	17628848	17730855	22
BCL2L2-PABPN1	ENSG00000258643	23306833	23326175	14
BCL7B	ENSG00000106635	73536355	73557699	7
BCLAF1	ENSG00000029363	136256627	136289851	6
BCS1L	ENSG00000074582	218658764	218663466	2
BECN1	ENSG00000126581	42809870	42833350	17
BFAR	ENSG00000275618	205671	242094	HSCHR16_1_CTG1
BFAR	ENSG00000103429	14632830	14669237	16
BIRC2	ENSG00000110330	102347208	102378680	11
BIVM-ERCC5	ENSG00000270181	102799110	102875994	13
BLMH	ENSG00000108578	30248200	30292152	17
BLOC1S1	ENSG00000135441	55716033	55720087	12
BLOC1S2	ENSG00000196072	100273280	100286697	10
BLOC1S3	ENSG00000189114	45178745	45216933	19
BLOC1S4	ENSG00000186222	6716174	6717664	4
BLOC1S6	ENSG00000104164	45587214	45615945	15
BLZF1	ENSG00000117475	169367970	169396540	1
BMI1	ENSG00000168283	22321078	22331485	10
BMS1	ENSG00000165733	42782783	42834937	10
BNIP1	ENSG00000113734	173144442	173164397	5
BNIP2	ENSG00000140299	59659146	59689350	15
BOD1	ENSG00000145919	173607145	173616659	5
BOLA1	ENSG00000178096	149887890	149900798	1
BOLA3	ENSG00000163170	74135397	74147977	2
BPGM	ENSG00000172331	134646811	134679816	7
BPNT1	ENSG00000162813	220057079	220119267	1
BPTF	ENSG00000171634	67825503	67984378	17
BRAT1	ENSG00000106009	2537810	2555782	7
BRD2	ENSG00000235307	4367907	4430762	HSCHR6_MHC_SSTO_CTG1
BRD2	ENSG00000230678	4221380	4225039	HSCHR6_MHC_DBB_CTG1
BRD2	ENSG00000234507	4380869	4393720	HSCHR6_MHC_COX_CTG1
BRD2	ENSG00000234704	4388044	4400883	HSCHR6_MHC_MANN_CTG1
BRD2	ENSG00000236227	4267717	4278255	HSCHR6_MHC_MCF_CTG1
BRD2	ENSG00000215077	4162985	4175823	HSCHR6_MHC_QBL_CTG1
BRD2	ENSG00000204256	32968594	32981505	6
BRD4	ENSG00000141867	15235519	15332545	19
BRD7	ENSG00000166164	50313487	50368988	16
BRD9	ENSG00000028310	850291	892838	5
BRF1	ENSG00000185024	105209277	105315589	14
BRF2	ENSG00000104221	37843268	37849861	8
BRIX1	ENSG00000113460	34915273	34926622	5
BRK1	ENSG00000254999	10115673	10127190	3
BRMS1	ENSG00000174744	66337333	66345132	11
BRPF1	ENSG00000156983	9731729	9748019	3
BRPF3	ENSG00000096070	36196006	36232790	6
BSDC1	ENSG00000160058	32364633	32394731	1
BSG	ENSG00000172270	571277	583498	19
BTBD2	ENSG00000133243	1985438	2034881	19
BTD	ENSG00000169814	15601341	15722311	3
BTF3	ENSG00000145741	73498408	73505667	5
BUB3	ENSG00000154473	123154395	123170467	10
BZW1	ENSG00000082153	200810594	200827338	2
C10orf88	ENSG00000119965	122930901	122954311	10
C11orf24	ENSG00000171067	68261335	68272001	11
C11orf58	ENSG00000110696	16613132	16758340	11
C12orf57	ENSG00000111678	6942938	6946003	12
C14orf119	ENSG00000179933	23094692	23100456	14
C17orf58	ENSG00000186665	67991099	67996469	17
C18orf21	ENSG00000141428	35972625	35979286	18
C18orf32	ENSG00000177576	49477243	49487256	18
C19orf53	ENSG00000104979	13774454	13778773	19
C1GALT1	ENSG00000106392	7156934	7248616	7
C1orf122	ENSG00000197982	37806979	37809454	1
C1orf174	ENSG00000198912	3889125	3900293	1
C1orf43	ENSG00000143612	154206668	154220681	1
C1orf50	ENSG00000164008	42767245	42779491	1
C1orf52	ENSG00000162642	85249953	85259672	1
C1QBP	ENSG00000108561	5432777	5448830	17
C2orf49	ENSG00000135974	105337532	105350712	2
C2orf69	ENSG00000178074	199911293	199955935	2
C2orf74	ENSG00000237651	61145068	61164828	2
C2orf76	ENSG00000186132	119299439	119366860	2
C3orf38	ENSG00000179021	88149647	88168729	3
C5orf15	ENSG00000113583	133955510	133968674	5
C5orf24	ENSG00000181904	134845680	134859735	5
C6orf120	ENSG00000185127	169702126	169706360	6
C6orf136	ENSG00000233641	2126761	2132823	HSCHR6_MHC_COX_CTG1
C6orf136	ENSG00000237100	1947798	1953860	HSCHR6_MHC_SSTO_CTG1
C6orf136	ENSG00000237012	1902868	1908932	HSCHR6_MHC_DBB_CTG1
C6orf136	ENSG00000224120	1991089	1997159	HSCHR6_MHC_MCF_CTG1
C6orf136	ENSG00000233164	1957268	1963333	HSCHR6_MHC_MANN_CTG1
C6orf136	ENSG00000206487	1902127	1908191	HSCHR6_MHC_QBL_CTG1
C6orf136	ENSG00000204564	30647033	30653210	6
C6orf47	ENSG00000204439	31658298	31660778	6
C6orf47	ENSG00000226103	2957575	2960049	HSCHR6_MHC_SSTO_CTG1
C6orf47	ENSG00000228435	2906069	2908543	HSCHR6_MHC_DBB_CTG1
C6orf47	ENSG00000235360	3135587	3138059	HSCHR6_MHC_COX_CTG1
C6orf47	ENSG00000228177	2963344	2965819	HSCHR6_MHC_MANN_CTG1
C6orf47	ENSG00000226531	3000170	3002644	HSCHR6_MHC_MCF_CTG1
C6orf47	ENSG00000203623	2914116	2916590	HSCHR6_MHC_QBL_CTG1
C6orf62	ENSG00000112308	24704856	24720874	6
C6orf89	ENSG00000198663	36871870	36928964	6
C7orf25	ENSG00000136197	42908619	42912518	7
C8orf33	ENSG00000291362	9906	24126	HG1047_PATCH
C8orf33	ENSG00000182307	145052425	145066685	8
C8orf76	ENSG00000189376	123219967	123241384	8
C8orf82	ENSG00000213563	144525733	144529132	8
C9orf78	ENSG00000136819	129827194	129835863	9
CAB39	ENSG00000135932	230712822	230821076	2
CALCOCO2	ENSG00000136436	48830971	48868228	17
CALM1	ENSG00000198668	90396502	90408268	14
CALR	ENSG00000179218	12938578	12944490	19
CALU	ENSG00000128595	128739292	128773400	7
CAMTA1	ENSG00000171735	6785454	7769706	1
CAMTA2	ENSG00000108509	4967992	4987684	17
CANT1	ENSG00000171302	78991707	79009867	17
CANX	ENSG00000283777	444319	497221	HG30_PATCH
CANX	ENSG00000127022	179678628	179731641	5
CAPN1	ENSG00000014216	65180566	65212006	11
CAPN7	ENSG00000131375	15206112	15252919	3
CAPNS1	ENSG00000126247	36139953	36150356	19
CAPRIN1	ENSG00000135387	34051674	34102610	11
CAPZA2	ENSG00000198898	116811070	116922049	7
CAPZB	ENSG00000077549	19338775	19485600	1
CARS2	ENSG00000134905	110641411	110713603	13
CASC3	ENSG00000108349	40140278	40177001	17
CASP3	ENSG00000164305	184627695	184650418	4
CASP7	ENSG00000165806	113679162	113731290	10
CASP9	ENSG00000132906	15490832	15526534	1
CBR4	ENSG00000145439	168863770	169010311	4
CBX3	ENSG00000122565	26201162	26213607	7
CBX5	ENSG00000094916	54230942	54280133	12
CC2D1A	ENSG00000288293	118042	142720	HG109_PATCH
CC2D1A	ENSG00000132024	13906160	13930884	19
CC2D1B	ENSG00000154222	52345723	52366318	1
CCAR1	ENSG00000060339	68721012	68792377	10
CCDC12	ENSG00000160799	46916634	46982010	3
CCDC124	ENSG00000007080	17932588	17944914	19
CCDC127	ENSG00000164366	196868	218153	5
CCDC137	ENSG00000185298	81666737	81673904	17
CCDC149	ENSG00000181982	24803514	24980204	4
CCDC174	ENSG00000154781	14651762	14672659	3
CCDC22	ENSG00000101997	49235444	49250526	X
CCDC25	ENSG00000147419	27733316	27772653	8
CCDC47	ENSG00000108588	63745255	63776351	17
CCDC50	ENSG00000152492	191329085	191398659	3
CCDC51	ENSG00000164051	48432164	48440456	3
CCDC59	ENSG00000133773	82223681	82358805	12
CCDC71	ENSG00000177352	49161063	49166331	3
CCDC86	ENSG00000110104	60842113	60851081	11
CCDC92	ENSG00000275035	92215	119498	HSCHR12_6_CTG2_1
CCDC92	ENSG00000119242	123918660	123974253	12
CCM2	ENSG00000136280	44999475	45076469	7
CCNB1IP1	ENSG00000291784	514049	535993	HG2526_HG2573_PATCH
CCNB1IP1	ENSG00000100814	20311353	20333314	14
CCNDBP1	ENSG00000166946	43185118	43197177	15
CCNG1	ENSG00000113328	163437569	163448199	5
CCNH	ENSG00000134480	87318416	87413029	5
CCNK	ENSG00000090061	99481169	99535044	14
CCNL1	ENSG00000163660	157146508	157160760	3
CCNL2	ENSG00000221978	1385711	1399339	1
CCNY	ENSG00000108100	35247025	35572669	10
CCPG1	ENSG00000260916	55340032	55408510	15
CCT3	ENSG00000163468	156308960	156367873	1
CCT4	ENSG00000115484	61868085	61888696	2
CCT5	ENSG00000150753	10249929	10266389	5
CCT6A	ENSG00000146731	56051685	56063991	7
CCT7	ENSG00000135624	73233420	73253021	2
CCT8	ENSG00000291533	146539	164531	HG2219_PATCH
CCT8	ENSG00000156261	29055805	29073797	21
CD164	ENSG00000135535	109366514	109382469	6
CD320	ENSG00000167775	8302126	8308366	19
CD46	ENSG00000117335	207752037	207795513	1
CD63	ENSG00000135404	55723511	55730023	12
CD81	ENSG00000110651	2376166	2397802	11
CD82	ENSG00000085117	44564414	44620924	11
CD99L2	ENSG00000102181	150766336	150898816	X
CDC123	ENSG00000151465	12195950	12250595	10
CDC16	ENSG00000130177	114234856	114272723	13
CDC23	ENSG00000094880	138187644	138213343	5
CDC27	ENSG00000004897	47117703	47189422	17
CDC37	ENSG00000105401	10391090	10420185	19
CDC37L1	ENSG00000106993	4679559	4708399	9
CDC40	ENSG00000168438	110180141	110254275	6
CDC42	ENSG00000070831	22052627	22101360	1
CDC5L	ENSG00000096401	44387565	44450425	6
CDIP1	ENSG00000274336	212998	226625	HSCHR16_3_CTG1
CDIP1	ENSG00000089486	4510619	4538828	16
CDIPT	ENSG00000103502	29858357	29863414	16
CDK12	ENSG00000167258	39461437	39567559	17
CDK13	ENSG00000065883	39950121	40099580	7
CDK16	ENSG00000102225	47217860	47230000	X
CDK2AP1	ENSG00000111328	123250112	123272334	12
CDK4	ENSG00000135446	57747722	57756013	12
CDK5RAP1	ENSG00000101391	33358437	33401561	20
CDK8	ENSG00000132964	26253891	26420982	13
CDK9	ENSG00000136807	127785679	127790792	9
CDS2	ENSG00000101290	5126879	5197887	20
CDV3	ENSG00000091527	133573686	133590261	3
CDYL	ENSG00000153046	4706159	4955551	6
CEBPG	ENSG00000153879	33373685	33382686	19
CEBPZ	ENSG00000115816	37201570	37231601	2
CELF1	ENSG00000149187	47465933	47565569	11
CENPB	ENSG00000125817	3783851	3786740	20
CENPT	ENSG00000102901	67828157	67847811	16
CEP104	ENSG00000116198	3812086	3857723	1
CEP57	ENSG00000166037	95789965	95832693	11
CEP63	ENSG00000182923	134485699	134587789	3
CERK	ENSG00000100422	46684410	46738267	22
CERS2	ENSG00000143418	150960583	150977396	1
CGGBP1	ENSG00000163320	88051944	88149885	3
CHAMP1	ENSG00000198824	114314482	114337626	13
CHCHD1	ENSG00000172586	73782047	73783652	10
CHCHD2	ENSG00000106153	56094567	56106505	7
CHCHD3	ENSG00000106554	132784449	133082250	7
CHCHD4	ENSG00000163528	14112077	14124876	3
CHCHD5	ENSG00000125611	112584240	112589275	2
CHCHD7	ENSG00000170791	56211686	56218809	8
CHD1L	ENSG00000131778	147242643	147295767	1
CHD4	ENSG00000111642	6570081	6614982	12
CHD8	ENSG00000100888	21385194	21456126	14
CHERP	ENSG00000085872	16517882	16542448	19
CHID1	ENSG00000177830	867331	915579	11
CHKB	ENSG00000100288	50578959	50601455	22
CHMP1A	ENSG00000131165	89640816	89657738	16
CHMP2A	ENSG00000130724	58551452	58555128	19
