Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000181915	62804720	62808479	10
ENSG00000144843	119579268	119590165	3
ENSG00000170222	10697594	10711558	17
ENSG00000239900	40346461	40390463	22
ENSG00000072364	132875395	132963634	5
ENSG00000119844	64524289	64593007	2
ENSG00000173744	227472134	227561217	2
ENSG00000164252	77029251	77065234	5
ENSG00000236873	3500814	3510698	HSCHR6_MHC_APD_CTG1
ENSG00000226467	3606564	3616448	HSCHR6_MHC_COX_CTG1
ENSG00000228892	3484419	3494303	HSCHR6_MHC_SSTO_CTG1
ENSG00000227642	3473193	3483077	HSCHR6_MHC_MANN_CTG1
ENSG00000235758	3510233	3520117	HSCHR6_MHC_MCF_CTG1
ENSG00000206324	3391413	3401297	HSCHR6_MHC_QBL_CTG1
ENSG00000204310	32168205	32178096	6
ENSG00000160216	43865223	43987592	21
ENSG00000018510	177392576	177567024	2
ENSG00000101444	34280268	34311802	20
ENSG00000100591	77457743	77469482	14
ENSG00000164022	106315544	106349456	4
ENSG00000110711	67468174	67491154	11
ENSG00000004455	33007986	33080996	1
ENSG00000147853	4709556	4742043	9
ENSG00000105127	15353385	15379829	19
ENSG00000127914	91940840	92110673	7
ENSG00000166452	8911113	8922406	11
ENSG00000174574	38991272	39006059	1
ENSG00000135334	87674860	87702255	6
ENSG00000117448	45550475	45570051	1
ENSG00000053371	19301991	19312144	1
ENSG00000142208	104769348	104799934	14
ENSG00000204673	49869033	49879470	19
ENSG00000166971	53490502	53504411	16
ENSG00000148218	113386304	113401356	9
ENSG00000072210	19647291	19685760	17
ENSG00000143149	165662216	165698597	1
ENSG00000253710	52012391	52079232	13
ENSG00000120697	36949738	37000763	13
ENSG00000159063	78095244	78139660	11
ENSG00000086848	111782195	111872405	11
ENSG00000100601	77672404	77708023	14
ENSG00000189046	109088188	109098462	12
ENSG00000166199	43880811	43920274	11
ENSG00000091542	18183078	18209954	17
ENSG00000003393	201700267	201782112	2
ENSG00000183684	81887835	81891586	17
ENSG00000110497	46396414	46594125	11
ENSG00000123505	110874770	110898879	6
ENSG00000164162	144831908	145098823	4
ENSG00000141552	81890669	81900991	17
ENSG00000129055	134477704	134486716	3
ENSG00000110200	72106378	72113688	11
ENSG00000166295	72215863	72235860	10
ENSG00000176248	137174784	137189028	9
ENSG00000089053	121308245	121399896	12
ENSG00000196510	110372900	110403730	12
ENSG00000185722	4163821	4263995	17
ENSG00000154122	14704800	14871877	5
ENSG00000131503	140401660	140541168	5
ENSG00000254996	140401908	140549569	5
ENSG00000088448	110878540	110915071	13
ENSG00000132466	73073376	73259147	4
ENSG00000206560	15667236	15859771	3
ENSG00000213337	96836611	96858016	2
ENSG00000186106	100509752	100559784	8
ENSG00000177119	45215987	45482280	12
ENSG00000140350	68778534	68820924	15
ENSG00000136938	97983215	98015943	9
ENSG00000143401	150218417	150236202	1
ENSG00000197043	151100706	151157815	5
ENSG00000138279	73375101	73414731	10
ENSG00000100280	29327680	29388612	22
ENSG00000166747	71729000	71809201	16
ENSG00000072958	16197854	16245906	19
ENSG00000196961	49766990	49807114	19
ENSG00000280759	3478	74982	HSCHR11_2_CTG1
ENSG00000281385	3478	81830	HSCHR11_3_CTG1
ENSG00000183020	924881	1012245	11
ENSG00000161203	184174689	184184214	3
ENSG00000042753	46838136	46850882	19
ENSG00000132842	77991640	78294762	5
ENSG00000065000	2100982	2164468	19
ENSG00000185009	74120255	74151055	10
ENSG00000177879	115841422	115914086	5
ENSG00000157823	89830599	89894638	15
ENSG00000134262	113894194	113905722	1
ENSG00000053770	57268504	57298742	14
ENSG00000164062	49673981	49683971	3
ENSG00000291796	657872	660453	HG2526_HG2573_PATCH
ENSG00000100823	20454525	20457779	14
ENSG00000169188	55000331	55009057	X
ENSG00000117362	150265399	150269580	1
ENSG00000166181	43311955	43344530	11
ENSG00000149089	34853094	34916520	11
ENSG00000128335	36226209	36239954	22
ENSG00000155008	85003871	85093315	X
ENSG00000136044	105172485	105236221	12
ENSG00000137074	32886601	33025130	9
ENSG00000078061	47561182	47571921	X
ENSG00000095139	118572390	118603033	11
ENSG00000143761	228081841	228099212	1
ENSG00000004059	127588370	127591700	7
ENSG00000165527	49892608	49897054	14
ENSG00000149182	47164299	47177474	11
ENSG00000242247	42796502	42858106	22
ENSG00000124198	48921711	49036693	20
ENSG00000164144	152779096	152918463	4
ENSG00000132254	6474683	6481479	11
ENSG00000101246	63698622	63708662	20
ENSG00000160007	46860997	47005077	19
ENSG00000100852	32075794	32159728	14
ENSG00000141522	81867719	81871378	17
ENSG00000074964	17539368	17697876	1
ENSG00000132694	156934840	157046903	1
ENSG00000165801	21069647	21090248	14
ENSG00000166233	72474308	72602987	15
ENSG00000177479	48918821	48986382	3
ENSG00000221883	48917788	48919385	3
ENSG00000120805	101393116	101407772	12
ENSG00000152219	30323104	30338458	11
ENSG00000162980	151788984	151828531	2
ENSG00000182196	122980045	122983479	12
ENSG00000143862	202133404	202144743	1
ENSG00000134108	5122249	5180911	3
ENSG00000104442	65602456	65634217	8
ENSG00000282813	144965	158099	HSCHR7_1_CTG4_4
ENSG00000170632	103074625	103102902	7
ENSG00000140691	31458080	31467172	16
ENSG00000105676	19033575	19060311	19
ENSG00000125449	75109952	75130272	17
ENSG00000114098	138187248	138298384	3
ENSG00000102401	101622797	101627843	X
ENSG00000125962	102599168	102604159	X
ENSG00000143437	150808617	150876771	1
ENSG00000241685	99325880	99366267	7
ENSG00000163466	218216630	218254356	2
ENSG00000136950	124862130	124877733	9
ENSG00000173409	230978981	231000733	1
ENSG00000065802	238426742	238452250	2
ENSG00000148331	129634602	129642169	9
ENSG00000183475	100602547	100651703	15
ENSG00000177981	48147789	48181213	12
ENSG00000138303	72096018	72217653	10
ENSG00000112249	100508194	100881407	6
ENSG00000111875	118894152	118909171	6
ENSG00000129691	38105493	38144124	8
ENSG00000138381	189661385	189670831	2
ENSG00000169696	81976807	82017406	17
ENSG00000171456	32358266	32439319	20
ENSG00000138138	87751512	87842355	10
ENSG00000197785	1512147	1534686	1
ENSG00000107669	121709393	121928801	10
ENSG00000123268	50763710	50821162	12
ENSG00000115966	175072250	175168382	2
ENSG00000128272	39519695	39522690	22
ENSG00000118217	161766261	161977574	1
ENSG00000170653	53507856	53626410	12
ENSG00000171681	14365627	14502931	12
ENSG00000145782	115828200	115841837	5
ENSG00000175224	46617251	46674818	11
ENSG00000281089	155389	241012	HG2232_PATCH
ENSG00000085978	233210051	233295674	2
ENSG00000110046	64894531	64917245	11
ENSG00000066739	96279195	96363341	14
ENSG00000144848	112532510	112562046	3
ENSG00000168397	241637213	241673857	2
ENSG00000130734	10543533	10553423	19
ENSG00000057663	106045423	106326477	6
ENSG00000197548	11272309	11557665	3
ENSG00000138363	215311956	215349773	2
ENSG00000119787	38293949	38377438	2
ENSG00000291953	84081	95589	HG405_PATCH
ENSG00000166454	81035842	81047350	16
ENSG00000177556	151738084	151772532	5
ENSG00000017260	130850511	131016712	3
ENSG00000071553	154428618	154436517	X
ENSG00000185344	123712342	123761755	12
ENSG00000117410	43974487	43978295	1
ENSG00000185883	2513713	2520218	16
ENSG00000159720	67438005	67481188	16
ENSG00000113732	172983771	173035445	5
ENSG00000155097	103021063	103073051	8
ENSG00000100554	67294371	67360265	14
ENSG00000131100	17592136	17630958	22
ENSG00000128524	128862856	128865847	7
ENSG00000136888	114587706	114598915	9
ENSG00000047249	53715543	53843558	8
ENSG00000171953	17977409	18039209	17
ENSG00000138085	27212041	27217178	2
ENSG00000088812	3471018	3651118	20
ENSG00000130638	45671798	45845307	22
ENSG00000224470	71808439	71885268	16
ENSG00000204842	111443485	111599676	12
ENSG00000168488	28822999	28837237	16
ENSG00000087152	44191805	44200961	17
ENSG00000253719	74537835	74545430	12
ENSG00000148090	91213815	91361961	9
ENSG00000115307	74526636	74529788	2
ENSG00000175756	1373729	1375521	1
ENSG00000103126	287440	352730	16
ENSG00000163512	28315003	28349050	3
ENSG00000155096	102826111	102893864	8
ENSG00000176022	1232237	1235041	1
ENSG00000158850	161171306	161178652	1
ENSG00000158470	49632945	49713908	20
ENSG00000027847	177600114	177611056	5
ENSG00000105393	17267343	17281249	19
ENSG00000002330	64269828	64291946	11
ENSG00000107262	33247820	33264720	9
ENSG00000156735	38176533	38213301	8
ENSG00000229524	3116310	3129995	HSCHR6_MHC_COX_CTG1
ENSG00000227761	2886791	2900476	HSCHR6_MHC_DBB_CTG1
ENSG00000233348	2938304	2951983	HSCHR6_MHC_SSTO_CTG1
ENSG00000228760	2944068	2957751	HSCHR6_MHC_MANN_CTG1
ENSG00000234651	2980907	2994577	HSCHR6_MHC_MCF_CTG1
ENSG00000096155	2894841	2908524	HSCHR6_MHC_QBL_CTG1
ENSG00000204463	31638544	31652747	6
ENSG00000140320	40436611	40468242	15
ENSG00000175334	66002228	66004170	11
ENSG00000163930	52401008	52410008	3
ENSG00000009954	73440406	73522293	7
ENSG00000140463	72686186	72742006	15
ENSG00000283852	426428	464015	HG2266_PATCH
ENSG00000075790	107579957	107629170	7
ENSG00000185825	153698006	153725957	X
ENSG00000116752	114567552	114581648	1
ENSG00000105552	48795061	48811056	19
ENSG00000107949	125823525	125853695	10
ENSG00000248098	41397793	41425005	19
ENSG00000103507	31106107	31112791	16
ENSG00000171552	31664452	31723989	20
ENSG00000099968	17628848	17730855	22
ENSG00000258643	23306833	23326175	14
ENSG00000106635	73536355	73557699	7
ENSG00000029363	136256627	136289851	6
ENSG00000074582	218658764	218663466	2
ENSG00000126581	42809870	42833350	17
ENSG00000275618	205671	242094	HSCHR16_1_CTG1
ENSG00000103429	14632830	14669237	16
ENSG00000110330	102347208	102378680	11
ENSG00000270181	102799110	102875994	13
ENSG00000108578	30248200	30292152	17
ENSG00000135441	55716033	55720087	12
ENSG00000196072	100273280	100286697	10
ENSG00000189114	45178745	45216933	19
ENSG00000186222	6716174	6717664	4
ENSG00000104164	45587214	45615945	15
ENSG00000117475	169367970	169396540	1
ENSG00000168283	22321078	22331485	10
ENSG00000165733	42782783	42834937	10
ENSG00000113734	173144442	173164397	5
ENSG00000140299	59659146	59689350	15
ENSG00000145919	173607145	173616659	5
ENSG00000178096	149887890	149900798	1
ENSG00000163170	74135397	74147977	2
ENSG00000172331	134646811	134679816	7
ENSG00000162813	220057079	220119267	1
ENSG00000171634	67825503	67984378	17
ENSG00000106009	2537810	2555782	7
ENSG00000235307	4367907	4430762	HSCHR6_MHC_SSTO_CTG1
ENSG00000230678	4221380	4225039	HSCHR6_MHC_DBB_CTG1
ENSG00000234507	4380869	4393720	HSCHR6_MHC_COX_CTG1
ENSG00000234704	4388044	4400883	HSCHR6_MHC_MANN_CTG1
ENSG00000236227	4267717	4278255	HSCHR6_MHC_MCF_CTG1
ENSG00000215077	4162985	4175823	HSCHR6_MHC_QBL_CTG1
ENSG00000204256	32968594	32981505	6
ENSG00000141867	15235519	15332545	19
ENSG00000166164	50313487	50368988	16
ENSG00000028310	850291	892838	5
ENSG00000185024	105209277	105315589	14
ENSG00000104221	37843268	37849861	8
ENSG00000113460	34915273	34926622	5
ENSG00000254999	10115673	10127190	3
ENSG00000174744	66337333	66345132	11
ENSG00000156983	9731729	9748019	3
ENSG00000096070	36196006	36232790	6
ENSG00000160058	32364633	32394731	1
ENSG00000172270	571277	583498	19
ENSG00000133243	1985438	2034881	19
ENSG00000169814	15601341	15722311	3
ENSG00000145741	73498408	73505667	5
ENSG00000154473	123154395	123170467	10
ENSG00000082153	200810594	200827338	2
ENSG00000119965	122930901	122954311	10
ENSG00000171067	68261335	68272001	11
ENSG00000110696	16613132	16758340	11
ENSG00000111678	6942938	6946003	12
ENSG00000179933	23094692	23100456	14
ENSG00000186665	67991099	67996469	17
ENSG00000141428	35972625	35979286	18
ENSG00000177576	49477243	49487256	18
ENSG00000104979	13774454	13778773	19
ENSG00000106392	7156934	7248616	7
ENSG00000197982	37806979	37809454	1
ENSG00000198912	3889125	3900293	1
ENSG00000143612	154206668	154220681	1
ENSG00000164008	42767245	42779491	1
ENSG00000162642	85249953	85259672	1
ENSG00000108561	5432777	5448830	17
ENSG00000135974	105337532	105350712	2
ENSG00000178074	199911293	199955935	2
ENSG00000237651	61145068	61164828	2
ENSG00000186132	119299439	119366860	2
ENSG00000179021	88149647	88168729	3
ENSG00000113583	133955510	133968674	5
ENSG00000181904	134845680	134859735	5
ENSG00000185127	169702126	169706360	6
ENSG00000233641	2126761	2132823	HSCHR6_MHC_COX_CTG1
ENSG00000237100	1947798	1953860	HSCHR6_MHC_SSTO_CTG1
ENSG00000237012	1902868	1908932	HSCHR6_MHC_DBB_CTG1
ENSG00000224120	1991089	1997159	HSCHR6_MHC_MCF_CTG1
ENSG00000233164	1957268	1963333	HSCHR6_MHC_MANN_CTG1
ENSG00000206487	1902127	1908191	HSCHR6_MHC_QBL_CTG1
ENSG00000204564	30647033	30653210	6
ENSG00000204439	31658298	31660778	6
ENSG00000226103	2957575	2960049	HSCHR6_MHC_SSTO_CTG1
ENSG00000228435	2906069	2908543	HSCHR6_MHC_DBB_CTG1
ENSG00000235360	3135587	3138059	HSCHR6_MHC_COX_CTG1
ENSG00000228177	2963344	2965819	HSCHR6_MHC_MANN_CTG1
ENSG00000226531	3000170	3002644	HSCHR6_MHC_MCF_CTG1
ENSG00000203623	2914116	2916590	HSCHR6_MHC_QBL_CTG1
ENSG00000112308	24704856	24720874	6
ENSG00000198663	36871870	36928964	6
ENSG00000136197	42908619	42912518	7
ENSG00000291362	9906	24126	HG1047_PATCH
ENSG00000182307	145052425	145066685	8
ENSG00000189376	123219967	123241384	8
ENSG00000213563	144525733	144529132	8
ENSG00000136819	129827194	129835863	9
ENSG00000135932	230712822	230821076	2
ENSG00000136436	48830971	48868228	17
ENSG00000198668	90396502	90408268	14
ENSG00000179218	12938578	12944490	19
ENSG00000128595	128739292	128773400	7
ENSG00000171735	6785454	7769706	1
ENSG00000108509	4967992	4987684	17
ENSG00000171302	78991707	79009867	17
ENSG00000283777	444319	497221	HG30_PATCH
ENSG00000127022	179678628	179731641	5
ENSG00000014216	65180566	65212006	11
ENSG00000131375	15206112	15252919	3
ENSG00000126247	36139953	36150356	19
ENSG00000135387	34051674	34102610	11
ENSG00000198898	116811070	116922049	7
ENSG00000077549	19338775	19485600	1
ENSG00000134905	110641411	110713603	13
ENSG00000108349	40140278	40177001	17
ENSG00000164305	184627695	184650418	4
ENSG00000165806	113679162	113731290	10
ENSG00000132906	15490832	15526534	1
ENSG00000145439	168863770	169010311	4
ENSG00000122565	26201162	26213607	7
ENSG00000094916	54230942	54280133	12
ENSG00000288293	118042	142720	HG109_PATCH
ENSG00000132024	13906160	13930884	19
ENSG00000154222	52345723	52366318	1
ENSG00000060339	68721012	68792377	10
ENSG00000160799	46916634	46982010	3
ENSG00000007080	17932588	17944914	19
ENSG00000164366	196868	218153	5
ENSG00000185298	81666737	81673904	17
ENSG00000181982	24803514	24980204	4
ENSG00000154781	14651762	14672659	3
ENSG00000101997	49235444	49250526	X
ENSG00000147419	27733316	27772653	8
ENSG00000108588	63745255	63776351	17
ENSG00000152492	191329085	191398659	3
ENSG00000164051	48432164	48440456	3
ENSG00000133773	82223681	82358805	12
ENSG00000177352	49161063	49166331	3
ENSG00000110104	60842113	60851081	11
ENSG00000275035	92215	119498	HSCHR12_6_CTG2_1
ENSG00000119242	123918660	123974253	12
ENSG00000136280	44999475	45076469	7
ENSG00000291784	514049	535993	HG2526_HG2573_PATCH
ENSG00000100814	20311353	20333314	14
ENSG00000166946	43185118	43197177	15
ENSG00000113328	163437569	163448199	5
ENSG00000134480	87318416	87413029	5
ENSG00000090061	99481169	99535044	14
ENSG00000163660	157146508	157160760	3
ENSG00000221978	1385711	1399339	1
ENSG00000108100	35247025	35572669	10
ENSG00000260916	55340032	55408510	15
ENSG00000163468	156308960	156367873	1
ENSG00000115484	61868085	61888696	2
ENSG00000150753	10249929	10266389	5
ENSG00000146731	56051685	56063991	7
ENSG00000135624	73233420	73253021	2
ENSG00000291533	146539	164531	HG2219_PATCH
ENSG00000156261	29055805	29073797	21
ENSG00000135535	109366514	109382469	6
ENSG00000167775	8302126	8308366	19
ENSG00000117335	207752037	207795513	1
ENSG00000135404	55723511	55730023	12
ENSG00000110651	2376166	2397802	11
ENSG00000085117	44564414	44620924	11
ENSG00000102181	150766336	150898816	X
ENSG00000151465	12195950	12250595	10
ENSG00000130177	114234856	114272723	13
ENSG00000094880	138187644	138213343	5
ENSG00000004897	47117703	47189422	17
ENSG00000105401	10391090	10420185	19
ENSG00000106993	4679559	4708399	9
ENSG00000168438	110180141	110254275	6
ENSG00000070831	22052627	22101360	1
ENSG00000096401	44387565	44450425	6
ENSG00000274336	212998	226625	HSCHR16_3_CTG1
ENSG00000089486	4510619	4538828	16
ENSG00000103502	29858357	29863414	16
ENSG00000167258	39461437	39567559	17
ENSG00000065883	39950121	40099580	7
ENSG00000102225	47217860	47230000	X
ENSG00000111328	123250112	123272334	12
ENSG00000135446	57747722	57756013	12
ENSG00000101391	33358437	33401561	20
ENSG00000132964	26253891	26420982	13
ENSG00000136807	127785679	127790792	9
ENSG00000101290	5126879	5197887	20
ENSG00000091527	133573686	133590261	3
ENSG00000153046	4706159	4955551	6
ENSG00000153879	33373685	33382686	19
ENSG00000115816	37201570	37231601	2
ENSG00000149187	47465933	47565569	11
ENSG00000125817	3783851	3786740	20
ENSG00000102901	67828157	67847811	16
ENSG00000116198	3812086	3857723	1
ENSG00000166037	95789965	95832693	11
ENSG00000182923	134485699	134587789	3
ENSG00000100422	46684410	46738267	22
ENSG00000143418	150960583	150977396	1
ENSG00000163320	88051944	88149885	3
ENSG00000198824	114314482	114337626	13
ENSG00000172586	73782047	73783652	10
ENSG00000106153	56094567	56106505	7
ENSG00000106554	132784449	133082250	7
ENSG00000163528	14112077	14124876	3
ENSG00000125611	112584240	112589275	2
ENSG00000170791	56211686	56218809	8
ENSG00000131778	147242643	147295767	1
ENSG00000111642	6570081	6614982	12
ENSG00000100888	21385194	21456126	14
ENSG00000085872	16517882	16542448	19
ENSG00000177830	867331	915579	11
ENSG00000100288	50578959	50601455	22
ENSG00000131165	89640816	89657738	16
ENSG00000130724	58551452	58555128	19
ENSG00000083937	87227271	87255556	3
ENSG00000285302	510561	514847	HG1_PATCH
ENSG00000254505	24209615	24213830	14
ENSG00000101421	33811345	33854366	20
ENSG00000086065	33264017	33282071	9
ENSG00000176108	80991598	81009517	17
ENSG00000187446	41230824	41281888	15
ENSG00000111666	101696947	101744140	12
ENSG00000104472	140511311	140517154	8
ENSG00000136213	2403442	2448484	7
ENSG00000147119	46573391	46598496	X
ENSG00000160679	153633982	153646306	1
ENSG00000213341	100188300	100229596	10
ENSG00000258289	64914361	64944591	14
ENSG00000125954	64914485	65061803	14
ENSG00000144021	96266159	96274173	2
ENSG00000185043	90229975	90234047	15
ENSG00000079432	42268537	42295801	19
ENSG00000100865	102341102	102362916	14
ENSG00000138433	174348022	174395712	2
ENSG00000122873	58269151	58289586	10
ENSG00000145354	102868971	102892807	4
ENSG00000274768	2765554	2770363	HSCHR17_7_CTG4
ENSG00000277972	38730318	38735605	17
ENSG00000136026	106237880	106304279	12
ENSG00000121940	108881885	108963527	1
ENSG00000109572	169612438	169723673	4
ENSG00000103249	1444934	1475104	16
ENSG00000113282	157785743	157859169	5
ENSG00000179335	74598500	74645414	15
ENSG00000074201	77514936	77637809	11
ENSG00000134852	55427903	55547491	4
ENSG00000172409	57648188	57661865	11
ENSG00000125656	6361427	6370242	19
ENSG00000104853	44954585	44993341	19
ENSG00000274811	168910	195710	HSCHR5_3_CTG1
ENSG00000049656	1317744	1345099	5
ENSG00000166855	65148219	65185393	15
ENSG00000122705	36190856	36304781	9
ENSG00000175416	176392494	176416557	5
ENSG00000141367	59619680	59696956	17
ENSG00000111726	22046174	22065674	12
ENSG00000187118	28241584	28325142	3
ENSG00000291948	14687	68509	HG405_PATCH
ENSG00000103121	80966448	81020270	16
ENSG00000182712	155061622	155071136	X
ENSG00000162368	47333790	47394866	1
ENSG00000169714	129167818	129184008	3
ENSG00000143771	224356858	224379459	1
ENSG00000148842	102918286	103090222	10
ENSG00000168763	96816245	96835382	2
ENSG00000125107	58519951	58629885	16
ENSG00000158435	101252873	101270316	2
ENSG00000111596	70243002	70354993	12
ENSG00000274176	112549	130558	HSCHR19LRC_COX2_CTG3_1
ENSG00000275979	112549	130558	HSCHR19LRC_LRC_S_CTG3_1
ENSG00000277114	112549	130557	HSCHR19LRC_COX1_CTG3_1
ENSG00000274941	112549	130558	HSCHR19LRC_LRC_I_CTG3_1
ENSG00000273943	112549	130558	HSCHR19LRC_LRC_T_CTG3_1
ENSG00000276082	112549	130558	HSCHR19LRC_LRC_J_CTG3_1
ENSG00000277600	112557	130532	HSCHR19_4_CTG3_1
ENSG00000274616	112549	130558	HSCHR19LRC_PGF1_CTG3_1
ENSG00000277615	112549	130558	HSCHR19LRC_PGF2_CTG3_1
ENSG00000088038	54137710	54155708	19
ENSG00000080802	135361795	135510145	7
ENSG00000198791	17224966	17247726	8
ENSG00000162852	246566338	246668595	1
ENSG00000106603	43608456	43729857	7
ENSG00000183978	42795147	42798704	17
ENSG00000181924	73869846	73876982	11
ENSG00000183513	98598242	98608515	2
ENSG00000168275	234373456	234385080	1
ENSG00000068120	42561467	42566277	17
ENSG00000166685	73193038	73209422	17
ENSG00000135775	230642464	230693985	1
ENSG00000136152	45464898	45536701	13
ENSG00000103051	70480568	70523560	16
ENSG00000168434	23388493	23453207	16
ENSG00000213380	69320140	69339583	16
ENSG00000173163	61888724	62147629	2
ENSG00000145781	116085007	116412762	5
ENSG00000148444	22315980	22320430	10
ENSG00000269897	22316388	22329542	10
ENSG00000170619	144837978	144853736	8
ENSG00000188243	75525214	75549439	13
ENSG00000149600	32702648	32743928	20
ENSG00000110442	36269284	36289449	11
ENSG00000093010	19941371	19969975	22
ENSG00000122218	160288594	160343566	1
ENSG00000129083	14443357	14500027	11
ENSG00000184432	139353942	139389736	3
ENSG00000105669	18899514	18919400	19
ENSG00000181789	129249576	129278065	3
ENSG00000166200	49106068	49155661	15
ENSG00000141030	17246616	17281303	17
ENSG00000138663	83034447	83075818	4
ENSG00000121022	67043079	67083783	8
ENSG00000168090	100088948	100093340	7
ENSG00000111652	6724014	6731875	12
ENSG00000144524	231781671	231809254	2
ENSG00000198612	237085882	237100474	2
ENSG00000111481	54301202	54351848	12
ENSG00000115520	197453493	197475310	2
ENSG00000173085	83261536	83284914	4
ENSG00000167113	128322515	128334072	9
ENSG00000110871	120503279	120534434	12
ENSG00000119723	73949926	73963670	14
ENSG00000110880	108645109	108732563	12
ENSG00000166260	54951902	54968703	17
ENSG00000178449	50112082	50120457	12
ENSG00000014919	99710868	99732160	10
ENSG00000133983	70325081	70416984	14
ENSG00000240230	898778	975549	7
ENSG00000203667	244835616	244845480	1
ENSG00000131143	85798633	85807068	16
ENSG00000291596	572093	574414	HG2275_PATCH
ENSG00000135940	97646062	97648383	2
ENSG00000126267	35648230	35658795	19
ENSG00000164919	99873200	99893759	8
ENSG00000112695	75237675	75250323	6
ENSG00000115944	42333546	42425088	2
ENSG00000127184	86617905	86621246	5
ENSG00000176340	63974620	63976543	11
ENSG00000108582	30378922	30469989	17
ENSG00000214078	35626031	35664956	20
ENSG00000140848	57092549	57148369	16
ENSG00000085719	86514435	86561498	8
ENSG00000080819	98579446	98593707	3
ENSG00000165934	92121512	92172145	14
ENSG00000160917	99438908	99457377	7
ENSG00000111605	69239543	69279829	12
ENSG00000149532	61402641	61430105	11
ENSG00000169372	93677375	93894840	12
ENSG00000113851	3144628	3179727	3
ENSG00000241258	66114604	66154568	7
ENSG00000107175	35732296	35738886	9
ENSG00000137504	85657742	85682908	11
ENSG00000143162	167529117	167553822	1
ENSG00000163703	9933793	9945413	3
ENSG00000119878	46616416	46685037	2
ENSG00000167193	1420689	1463162	17
ENSG00000099942	20917407	20953747	22
ENSG00000088766	6006052	6040053	20
ENSG00000101343	20034368	20056046	20
ENSG00000160741	153947669	153958634	1
ENSG00000121671	45847118	45883248	11
ENSG00000169826	43137831	43185302	10
ENSG00000113712	149492982	149551471	5
ENSG00000180138	37103259	37105664	13
ENSG00000141551	82239023	82273700	17
ENSG00000151292	123512067	123617049	5
ENSG00000254598	11351942	11353250	11
ENSG00000204435	31665227	31670343	6
