From	To
A0A087WSY4	ENSG00000282404.1
A0A087WSY6	ENSG00000224041.3
A0A087WSZ0	ENSG00000239819.2
A0A087WSZ9	ENSG00000259092.1
A0A087WT01	ENSG00000211809.2
A0A087WT02	ENSG00000211793.2
A0A087WT03	ENSG00000211807.3
A0A087WTH1	ENSG00000281991.2
A0A087WU04	ENSG00000276699.1
A0A087WUL8	ENSG00000286185.1
A0A087WUL8	ENSG00000271383.10
A0A087WUM9	ENSG00000288636.1
A0A087WUV0	ENSG00000233757.7
A0A087WV53	ENSG00000286095.3
A0A087WV62	ENSG00000275243.1
A0A087WV62	ENSG00000282415.1
A0A087WVF3	ENSG00000274419.8
A0A087WW49	ENSG00000278263.2
A0A087WW49	ENSG00000288413.1
A0A087WW87	ENSG00000251039.4
A0A087WW87	ENSG00000273962.2
A0A087WWA1	ENSG00000250719.2
A0A087WWS6	ENSG00000233816.4
A0A087WWU0	ENSG00000278646.1
A0A087WXM9	ENSG00000239642.6
A0A087WXS9	ENSG00000282144.2
A0A087WXS9	ENSG00000275861.4
A0A087WXS9	ENSG00000274933.6
A0A087WYE8	ENSG00000277282.1
A0A087WZ39	ENSG00000276819.1
A0A087WZ39	ENSG00000282497.1
A0A087X096	ENSG00000278661.1
A0A087X0K7	ENSG00000277880.1
A0A087X0K7	ENSG00000282483.1
A0A087X0M5	ENSG00000276557.1
A0A087X179	ENSG00000278599.6
A0A087X1G2	ENSG00000273513.3
A0A096LNP1	ENSG00000225805.4
A0A096LNW5	ENSG00000286106.3
A0A096LNW5	ENSG00000291980.1
A0A096LP01	ENSG00000232388.5
A0A096LP49	ENSG00000260220.7
A0A096LP55	ENSG00000233954.7
A0A096LPG2	ENSG00000269167.1
A0A096LPK9	ENSG00000279408.3
A0A096LPK9	ENSG00000280709.2
A0A0A0MRZ7	ENSG00000211623.2
A0A0A0MRZ8	ENSG00000211632.4
A0A0A0MRZ9	ENSG00000211643.2
A0A0A0MS00	ENSG00000211657.3
A0A0A0MS00	ENSG00000280866.1
A0A0A0MS01	ENSG00000211694.3
A0A0A0MS02	ENSG00000211701.2
A0A0A0MS03	ENSG00000211715.1
A0A0A0MS04	ENSG00000253188.1
A0A0A0MS04	ENSG00000282470.1
A0A0A0MS05	ENSG00000211731.1
A0A0A0MS05	ENSG00000282748.1
A0A0A0MS06	ENSG00000211749.1
A0A0A0MS06	ENSG00000282449.1
A0A0A0MS14	ENSG00000211961.3
A0A0A0MS14	ENSG00000282776.1
A0A0A0MS15	ENSG00000211965.4
A0A0A0MS15	ENSG00000275316.3
A0A0A0MSY6	ENSG00000132321.18
A0A0A0MT36	ENSG00000225523.2
A0A0A0MT69	ENSG00000211594.2
A0A0A0MT76	ENSG00000211674.2
A0A0A0MT78	ENSG00000211771.1
A0A0A0MT82	ENSG00000211676.2
A0A0A0MT84	ENSG00000211688.1
A0A0A0MT85	ENSG00000211596.3
A0A0A0MT86	ENSG00000211681.3
A0A0A0MT89	ENSG00000211597.2
A0A0A0MT92	ENSG00000211684.2
A0A0A0MT93	ENSG00000211682.2
A0A0A0MT96	ENSG00000211595.2
A0A0A0MT97	ENSG00000211692.1
A0A0A0MT99	ENSG00000211678.2
A0A0A0MTA1	ENSG00000211680.2
A0A0A0MTA2	ENSG00000211766.1
A0A0A0MTA2	ENSG00000282589.1
A0A0A0MTA3	ENSG00000211593.2
A0A0A0MTA7	ENSG00000211764.1
A0A0A0MTA7	ENSG00000282488.1
A0A0A6YYC5	ENSG00000211792.2
A0A0A6YYD4	ENSG00000276405.1
A0A0A6YYD4	ENSG00000282407.1
A0A0A6YYG2	ENSG00000211724.3
A0A0A6YYG3	ENSG00000253534.1
A0A0A6YYJ7	ENSG00000211787.1
A0A0A6YYK1	ENSG00000211782.2
A0A0A6YYK4	ENSG00000211707.3
A0A0A6YYK4	ENSG00000282225.1
A0A0A6YYK6	ENSG00000211796.1
A0A0A6YYK7	ENSG00000211799.3
A0A0A6YYL3	ENSG00000233917.9
A0A0A6YYL3	ENSG00000230031.10
A0A0B4J1T7	ENSG00000235769.8
A0A0B4J1T7	ENSG00000224708.8
A0A0B4J1T7	ENSG00000236210.8
A0A0B4J1T7	ENSG00000206401.11
A0A0B4J1T7	ENSG00000226187.8
A0A0B4J1T7	ENSG00000237482.8
A0A0B4J1U3	ENSG00000211655.3
A0A0B4J1U3	ENSG00000273737.3
A0A0B4J1U4	ENSG00000211697.4
A0A0B4J1U6	ENSG00000211716.2
A0A0B4J1U7	ENSG00000211933.2
A0A0B4J1U7	ENSG00000282745.1
A0A0B4J1V0	ENSG00000211943.2
A0A0B4J1V0	ENSG00000282290.1
A0A0B4J1V1	ENSG00000211947.2
A0A0B4J1V1	ENSG00000282281.1
A0A0B4J1V2	ENSG00000211951.2
A0A0B4J1V2	ENSG00000282344.1
A0A0B4J1V6	ENSG00000211976.2
A0A0B4J1V6	ENSG00000273539.3
A0A0B4J1V7	ENSG00000211979.2
A0A0B4J1W7	ENSG00000183889.15
A0A0B4J1W7	ENSG00000233024.7
A0A0B4J1W7	ENSG00000273807.2
A0A0B4J1X5	ENSG00000224650.2
A0A0B4J1X5	ENSG00000282305.1
A0A0B4J1X8	ENSG00000232216.1
A0A0B4J1X8	ENSG00000282151.1
A0A0B4J1Y8	ENSG00000223350.2
A0A0B4J1Y9	ENSG00000225698.4
A0A0B4J1Y9	ENSG00000278042.2
A0A0B4J1Z2	ENSG00000242580.1
A0A0B4J200	ENSG00000211767.1
A0A0B4J200	ENSG00000282371.1
A0A0B4J234	ENSG00000211776.2
A0A0B4J235	ENSG00000211791.2
A0A0B4J237	ENSG00000211786.3
A0A0B4J238	ENSG00000256553.1
A0A0B4J240	ENSG00000211784.2
A0A0B4J241	ENSG00000211788.2
A0A0B4J244	ENSG00000211777.2
A0A0B4J245	ENSG00000211785.1
A0A0B4J248	ENSG00000255569.1
A0A0B4J249	ENSG00000211779.3
A0A0B4J262	ENSG00000211795.3
A0A0B4J263	ENSG00000211818.1
A0A0B4J264	ENSG00000211816.2
A0A0B4J265	ENSG00000211812.1
A0A0B4J266	ENSG00000211820.1
A0A0B4J268	ENSG00000211778.2
A0A0B4J271	ENSG00000211794.3
A0A0B4J272	ENSG00000211805.1
A0A0B4J273	ENSG00000211813.2
A0A0B4J274	ENSG00000211800.3
A0A0B4J275	ENSG00000211797.2
A0A0B4J276	ENSG00000211806.2
A0A0B4J277	ENSG00000211802.3
A0A0B4J279	ENSG00000211801.3
A0A0B4J280	ENSG00000211819.3
A0A0B4J2A2	ENSG00000288867.1
A0A0B4J2B5	ENSG00000270472.3
A0A0B4J2B6	ENSG00000259303.5
A0A0B4J2B8	ENSG00000188403.7
A0A0B4J2B8	ENSG00000288375.1
A0A0B4J2D9	ENSG00000276566.1
A0A0B4J2E0	ENSG00000276953.1
A0A0B4J2F0	ENSG00000225973.5
A0A0B4J2H0	ENSG00000280411.1
A0A0B4J2H0	ENSG00000282399.1
A0A0C4DGP1	ENSG00000286075.3
A0A0C4DH24	ENSG00000211611.2
A0A0C4DH24	ENSG00000282210.1
A0A0C4DH25	ENSG00000211625.2
A0A0C4DH26	ENSG00000211626.2
A0A0C4DH27	ENSG00000211696.2
A0A0C4DH28	ENSG00000211698.2
A0A0C4DH29	ENSG00000211935.3
A0A0C4DH29	ENSG00000282213.1
A0A0C4DH30	ENSG00000211944.2
A0A0C4DH30	ENSG00000282653.1
A0A0C4DH31	ENSG00000211945.2
A0A0C4DH31	ENSG00000282716.1
A0A0C4DH32	ENSG00000211946.3
A0A0C4DH32	ENSG00000282476.1
A0A0C4DH33	ENSG00000211950.2
A0A0C4DH33	ENSG00000282284.1
A0A0C4DH34	ENSG00000211952.3
A0A0C4DH34	ENSG00000282726.1
A0A0C4DH35	ENSG00000211957.2
A0A0C4DH35	ENSG00000282104.1
A0A0C4DH36	ENSG00000211958.2
A0A0C4DH36	ENSG00000282425.1
A0A0C4DH38	ENSG00000211966.2
A0A0C4DH38	ENSG00000277574.2
A0A0C4DH39	ENSG00000211968.3
A0A0C4DH39	ENSG00000282337.1
A0A0C4DH41	ENSG00000211970.3
A0A0C4DH41	ENSG00000282451.1
A0A0C4DH42	ENSG00000211972.2
A0A0C4DH42	ENSG00000282045.1
A0A0C4DH43	ENSG00000211974.3
A0A0C4DH43	ENSG00000282482.1
A0A0C4DH55	ENSG00000228325.5
A0A0C4DH55	ENSG00000275777.3
A0A0C4DH59	ENSG00000230099.2
A0A0C4DH62	ENSG00000211905.1
A0A0C4DH62	ENSG00000282409.1
A0A0C4DH63	ENSG00000211691.2
A0A0C4DH67	ENSG00000240671.4
A0A0C4DH67	ENSG00000283113.2
A0A0C4DH68	ENSG00000241294.1
A0A0C4DH68	ENSG00000282671.1
A0A0C4DH69	ENSG00000241755.1
A0A0C4DH69	ENSG00000282758.1
A0A0C4DH72	ENSG00000239855.1
A0A0C4DH72	ENSG00000282163.1
A0A0C4DH73	ENSG00000243290.3
A0A0C4DH73	ENSG00000282694.3
A0A0C4DH90	ENSG00000233999.3
A0A0D9SF12	ENSG00000280670.4
A0A0G2JKW9	ENSG00000258002.2
A0A0G2JKW9	ENSG00000257215.2
A0A0G2JLG4	ENSG00000262505.2
A0A0G2JLJ8	ENSG00000270824.1
A0A0G2JLJ8	ENSG00000270961.1
A0A0G2JLW4	ENSG00000275049.1
A0A0G2JMD5	ENSG00000237700.2
A0A0G2JMD5	ENSG00000276370.2
A0A0G2JMD5	ENSG00000282125.2
A0A0G2JMD5	ENSG00000283488.2
A0A0G2JMH3	ENSG00000275949.5
A0A0G2JMI3	ENSG00000275148.2
A0A0G2JMI3	ENSG00000281990.1
A0A0G2JMM0	ENSG00000274971.1
A0A0G2JN01	ENSG00000276518.1
A0A0G2JN53	ENSG00000282676.1
A0A0G2JN68	ENSG00000278414.5
A0A0G2JND7	ENSG00000278450.1
A0A0G2JND7	ENSG00000274063.1
A0A0G2JND7	ENSG00000274733.1
A0A0G2JND7	ENSG00000277403.1
A0A0G2JND7	ENSG00000278714.1
A0A0G2JND7	ENSG00000275606.1
A0A0G2JNF4	ENSG00000276468.5
A0A0G2JNH3	ENSG00000278178.2
A0A0G2JNH3	ENSG00000274792.1
A0A0G2JNJ9	ENSG00000276253.1
A0A0G2JPN4	ENSG00000278401.1
A0A0G2JQF1	ENSG00000280514.1
A0A0G2JRQ6	ENSG00000281759.1
A0A0G2JS06	ENSG00000281536.1
A0A0J9YVP2	ENSG00000282797.1
A0A0J9YVP9	ENSG00000282615.1
A0A0J9YVS3	ENSG00000282065.1
A0A0J9YVY3	ENSG00000282122.1
A0A0J9YVY3	ENSG00000282678.1
A0A0J9YW14	ENSG00000282471.1
A0A0J9YW22	ENSG00000211924.1
A0A0J9YW22	ENSG00000281939.1
A0A0J9YW62	ENSG00000282822.1
A0A0J9YWD0	ENSG00000211930.1
A0A0J9YWD0	ENSG00000282754.1
A0A0J9YWL9	ENSG00000282815.2
A0A0J9YWN2	ENSG00000282342.1
A0A0J9YWP8	ENSG00000282133.1
A0A0J9YWP8	ENSG00000282500.1
A0A0J9YWU9	ENSG00000278082.3
A0A0J9YWX3	ENSG00000281957.1
A0A0J9YWX3	ENSG00000282780.1
A0A0J9YX06	ENSG00000281989.1
A0A0J9YX06	ENSG00000282420.1
A0A0J9YX35	ENSG00000282639.1
A0A0J9YX35	ENSG00000282644.1
A0A0J9YX57	ENSG00000232030.4
A0A0J9YX75	ENSG00000282610.1
A0A0J9YX94	ENSG00000225110.3
A0A0J9YXA8	ENSG00000282320.1
A0A0J9YXG5	ENSG00000281958.1
A0A0J9YXG5	ENSG00000282273.1
A0A0J9YXM7	ENSG00000282215.1
A0A0J9YXM7	ENSG00000282173.1
A0A0J9YXN1	ENSG00000211923.1
A0A0J9YXN1	ENSG00000282373.1
A0A0J9YXQ4	ENSG00000214897.5
A0A0J9YXV3	ENSG00000262152.8
A0A0J9YXX1	ENSG00000282651.2
A0A0J9YXX1	ENSG00000282401.1
A0A0J9YXY3	ENSG00000282719.1
A0A0J9YXY3	ENSG00000282353.1
A0A0J9YXY3	ENSG00000283063.1
A0A0J9YY54	ENSG00000282419.3
A0A0J9YY99	ENSG00000282150.1
A0A0K0K1A3	ENSG00000211717.3
A0A0K0K1A3	ENSG00000282618.1
A0A0K0K1A5	ENSG00000211721.2
A0A0K0K1A5	ENSG00000277110.3
A0A0K0K1B3	ENSG00000237254.2
A0A0K0K1B3	ENSG00000282297.1
A0A0K0K1C0	ENSG00000211720.3
A0A0K0K1C0	ENSG00000282711.1
A0A0K0K1C4	ENSG00000211752.3
A0A0K0K1C4	ENSG00000282234.1
A0A0K0K1D8	ENSG00000211706.2
A0A0K0K1D8	ENSG00000281970.1
A0A0K0K1E9	ENSG00000253291.1
A0A0K0K1E9	ENSG00000282179.1
A0A0K0K1G6	ENSG00000275791.1
A0A0K0K1G6	ENSG00000282340.1
A0A0K0K1G8	ENSG00000229769.2
A0A0K0K1G8	ENSG00000282007.1
A0A0K2S4Q6	ENSG00000284690.3
A0A0K2S4Q6	ENSG00000291925.2
A0A0M3HER8	ENSG00000274042.2
A0A0U1RQB9	ENSG00000211921.1
A0A0U1RQB9	ENSG00000282102.1
A0A0U1RQE8	ENSG00000255151.2
A0A0U1RQF7	ENSG00000263201.1
A0A0U1RQG5	ENSG00000277535.4
A0A0U1RQI7	ENSG00000283039.1
A0A0U1RQS6	ENSG00000282881.4
A0A0U1RR11	ENSG00000223591.5
A0A0U1RR11	ENSG00000283093.1
A0A0U1RR37	ENSG00000282872.2
A0A0U1RRA0	ENSG00000236782.9
A0A0U1RRE5	ENSG00000204272.14
A0A0U1RRI6	ENSG00000224109.4
A0A0U1RRK4	ENSG00000283071.2
A0A0U1RRL7	ENSG00000126005.18
A0A0U1RRN3	ENSG00000247595.5
A0A0X1KG70	ENSG00000182974.3
A0A0X1KG70	ENSG00000288194.1
A0A0X1KG70	ENSG00000288469.2
A0A140TA62	ENSG00000262748.1
A0A140TA64	ENSG00000266286.3
A0A140TA67	ENSG00000267635.1
A0A183	ENSG00000235942.3
A0A191URJ7	ENSG00000283722.3
A0A1B0GTB2	ENSG00000250366.5
A0A1B0GTC6	ENSG00000241224.9
A0A1B0GTD5	ENSG00000257987.6
A0A1B0GTH6	ENSG00000283434.2
A0A1B0GTH9	ENSG00000250803.8
A0A1B0GTI1	ENSG00000283247.2
A0A1B0GTI8	ENSG00000281106.4
A0A1B0GTJ6	ENSG00000268655.3
A0A1B0GTK4	ENSG00000235118.10
A0A1B0GTK5	ENSG00000225396.6
A0A1B0GTK5	ENSG00000283594.1
A0A1B0GTL2	ENSG00000196421.9
A0A1B0GTQ4	ENSG00000262179.5
A0A1B0GTR0	ENSG00000267710.9
A0A1B0GTR3	ENSG00000235699.3
A0A1B0GTR3	ENSG00000224440.2
A0A1B0GTR4	ENSG00000283227.2
A0A1B0GTS1	ENSG00000283463.2
A0A1B0GTU1	ENSG00000215817.9
A0A1B0GTU2	ENSG00000259417.4
A0A1B0GTW7	ENSG00000283654.4
A0A1B0GTY4	ENSG00000232113.3
A0A1B0GTZ2	ENSG00000196553.15
A0A1B0GU29	ENSG00000262543.2
A0A1B0GU33	ENSG00000230054.3
A0A1B0GU71	ENSG00000283361.4
A0A1B0GUA5	ENSG00000271824.2
A0A1B0GUA6	ENSG00000283428.2
A0A1B0GUA7	ENSG00000237524.11
A0A1B0GUA9	ENSG00000283302.3
A0A1B0GUA9	ENSG00000283199.3
A0A1B0GUC4	ENSG00000283683.2
A0A1B0GUI7	ENSG00000235106.12
A0A1B0GUJ8	ENSG00000277531.3
A0A1B0GUQ0	ENSG00000268994.3
A0A1B0GUQ0	ENSG00000275520.2
A0A1B0GUS0	ENSG00000283567.2
A0A1B0GUS4	ENSG00000236444.5
A0A1B0GUT2	ENSG00000237489.6
A0A1B0GUU1	ENSG00000267221.4
A0A1B0GUV1	ENSG00000262165.2
A0A1B0GUV7	ENSG00000230601.7
A0A1B0GUV8	ENSG00000236543.3
A0A1B0GUW6	ENSG00000283439.4
A0A1B0GUW6	ENSG00000284090.4
A0A1B0GUW7	ENSG00000235453.13
A0A1B0GUX0	ENSG00000272899.4
A0A1B0GUY1	ENSG00000248109.3
A0A1B0GUZ9	ENSG00000284684.1
A0A1B0GV03	ENSG00000261649.7
A0A1B0GV22	ENSG00000268994.3
A0A1B0GV22	ENSG00000275520.2
A0A1B0GV85	ENSG00000250673.3
A0A1B0GV90	ENSG00000283324.1
A0A1B0GV96	ENSG00000277639.4
A0A1B0GVB3	ENSG00000226690.9
A0A1B0GVD1	ENSG00000283267.2
A0A1B0GVG4	ENSG00000269720.3
A0A1B0GVG6	ENSG00000283268.2
A0A1B0GVH4	ENSG00000253649.6
A0A1B0GVH6	ENSG00000226792.8
A0A1B0GVH7	ENSG00000234828.9
A0A1B0GVK7	ENSG00000283473.5
A0A1B0GVM2	ENSG00000283528.2
A0A1B0GVM5	ENSG00000283644.2
A0A1B0GVM6	ENSG00000257057.4
A0A1B0GVN3	ENSG00000228486.11
A0A1B0GVN3	ENSG00000291598.1
A0A1B0GVQ0	ENSG00000235387.6
A0A1B0GVQ3	ENSG00000236383.9
A0A1B0GVR7	ENSG00000216921.9
A0A1B0GVS7	ENSG00000242120.4
A0A1B0GVT2	ENSG00000261873.3
A0A1B0GVV1	ENSG00000255274.10
A0A1B0GVX0	ENSG00000283516.3
A0A1B0GVY2	ENSG00000283536.3
A0A1B0GVY4	ENSG00000248771.5
A0A1B0GVY7	ENSG00000283465.4
A0A1B0GVZ2	ENSG00000283329.2
A0A1B0GVZ6	ENSG00000196589.8
A0A1B0GVZ9	ENSG00000274386.6
A0A1B0GW15	ENSG00000283205.1
A0A1B0GW35	ENSG00000250821.3
A0A1B0GW54	ENSG00000284479.3
A0A1B0GW55	ENSG00000284298.2
A0A1B0GW64	ENSG00000283288.2
A0A1B0GW64	ENSG00000288274.1
A0A1B0GWB2	ENSG00000283526.4
A0A1B0GWG4	ENSG00000260802.2
A0A1B0GWH4	ENSG00000283697.3
A0A1B0GWH6	ENSG00000263874.3
A0A1B0GWK0	ENSG00000225180.8
A0A1B0GX31	ENSG00000211727.3
A0A1B0GX49	ENSG00000211713.3
A0A1B0GX51	ENSG00000282040.1
A0A1B0GX56	ENSG00000211804.4
A0A1B0GX68	ENSG00000226660.2
A0A1B0GX78	ENSG00000275158.1
A0A1B0GX95	ENSG00000253409.1
A0A1B0GXF2	ENSG00000282506.1
A0A1B0GXF2	ENSG00000282939.1
A0A1W2PNU3	ENSG00000284526.3
A0A1W2PP81	ENSG00000284234.1
A0A1W2PP81	ENSG00000284356.1
A0A1W2PP81	ENSG00000284042.1
A0A1W2PP81	ENSG00000283967.1
A0A1W2PP81	ENSG00000284465.1
A0A1W2PP97	ENSG00000284491.3
A0A1W2PPD8	ENSG00000255855.4
A0A1W2PPE2	ENSG00000284283.1
A0A1W2PPE3	ENSG00000284188.3
A0A1W2PPF3	ENSG00000282757.4
A0A1W2PPG7	ENSG00000283980.1
A0A1W2PPH5	ENSG00000283776.1
A0A1W2PPK0	ENSG00000284484.1
A0A1W2PPL8	ENSG00000250782.1
A0A1W2PPM1	ENSG00000283755.2
A0A1W2PPW3	ENSG00000249156.3
A0A1W2PQ09	ENSG00000283740.2
A0A1W2PQ27	ENSG00000284438.2
A0A1W2PQ64	ENSG00000284018.2
A0A1W2PQ72	ENSG00000284024.4
A0A1W2PQ73	ENSG00000268041.3
A0A1W2PQC6	ENSG00000283873.2
A0A1W2PQD8	ENSG00000284306.2
A0A1W2PQF6	ENSG00000283763.3
A0A1W2PQJ5	ENSG00000284546.2
A0A1W2PQL4	ENSG00000241149.4
A0A1W2PQU2	ENSG00000232593.9
A0A1W2PR19	ENSG00000276950.6
A0A1W2PR48	ENSG00000260734.7
A0A1W2PR64	ENSG00000283988.1
A0A1W2PR75	ENSG00000230268.4
A0A1W2PR82	ENSG00000284395.2
A0A1W2PR95	ENSG00000266826.3
A0A1W2PRE2	ENSG00000284476.2
A0A1W2PRG0	ENSG00000281310.2
A0A1W2PRN1	ENSG00000288148.1
A0A1W2PRN6	ENSG00000249662.7
A0A1W2PRP0	ENSG00000248767.2
A0A1W2PRS3	ENSG00000284169.3
A0A1W2PRV1	ENSG00000284439.1
A0A1W2PS18	ENSG00000283758.2
A0A1Y8EI39	ENSG00000211920.1
A0A1Y8EI39	ENSG00000282042.1
A0A1Y8EKQ5	ENSG00000211914.1
A0A1Y8EKQ5	ENSG00000282487.1
A0A286YEU6	ENSG00000180042.5
A0A286YEV6	ENSG00000284631.2
A0A286YEX9	ENSG00000284622.2
A0A286YEY9	ENSG00000284629.1
A0A286YF01	ENSG00000284718.1
A0A286YF18	ENSG00000284638.2
A0A286YF46	ENSG00000284667.1
A0A286YF58	ENSG00000273238.3
A0A286YF60	ENSG00000284704.1
A0A286YF77	ENSG00000284725.1
A0A286YFB4	ENSG00000284643.1
A0A286YFG1	ENSG00000284635.2
A0A286YFK9	ENSG00000284713.3
A0A2R8Y2Y2	ENSG00000226490.2
A0A2R8Y2Y2	ENSG00000291474.1
A0A2R8Y4L2	ENSG00000224578.5
A0A2R8Y4L6	ENSG00000186886.8
A0A2R8Y4M2	ENSG00000284934.3
A0A2R8Y4M4	ENSG00000284976.2
A0A2R8Y4Y8	ENSG00000255393.3
A0A2R8Y4Y8	ENSG00000285463.1
A0A2R8Y556	ENSG00000284895.1
A0A2R8Y619	ENSG00000285480.2
A0A2R8Y747	ENSG00000284779.3
A0A2R8Y7D0	ENSG00000223573.7
A0A2R8Y7Y5	ENSG00000284797.3
A0A2R8YCJ5	ENSG00000284791.2
A0A2R8YCY7	ENSG00000284555.3
A0A2R8YD15	ENSG00000285133
A0A2R8YE69	ENSG00000284912.1
A0A2R8YED5	ENSG00000198678.5
A0A2R8YEH3	ENSG00000285154.1
A0A2R8YFL7	ENSG00000285375.1
A0A2R8YFL7	ENSG00000285010.2
A0A2R8YFM6	ENSG00000285231.2
A0A2R8YFR7	ENSG00000285408.1
A0A2U3TZM8	ENSG00000285043.3
A0A2Z4LIS9	ENSG00000240445.6
A0A3B3IRQ3	ENSG00000237378.3
A0A3B3IRS2	ENSG00000285566.2
A0A3B3IRV3	ENSG00000101898.8
A0A3B3IS91	ENSG00000291307.1
A0A3B3IT33	ENSG00000220948.6
A0A3B3IT45	ENSG00000197674.8
A0A3B3IT52	ENSG00000285891.2
A0A3B3IU46	ENSG00000235272.3
A0A3B3IU63	ENSG00000229674.3
A0A411D538	ENSG00000272856.2
A0A494BZU2	ENSG00000281406.3
A0A494BZU4	ENSG00000286105.2
A0A494C030	ENSG00000286264.2
