From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Reviewed
ENSG00000005893	P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	Homo sapiens (Human)	410	reviewed
ENSG00000006007	Q9NZC3	GDE1_HUMAN	Glycerophosphodiester phosphodiesterase 1 (Glycerophosphoinositol glycerophosphodiesterase GDE1) (EC 3.1.4.44) (Lysophospholipase D GDE1) (EC 3.1.4.-) (Membrane-interacting protein of RGS16) (RGS16-interacting membrane protein)	GDE1 MIR16	Homo sapiens (Human)	331	reviewed
ENSG00000006451	P11233	RALA_HUMAN	Ras-related protein Ral-A (EC 3.6.5.2)	RALA RAL	Homo sapiens (Human)	206	reviewed
ENSG00000006652	O00458	IFRD1_HUMAN	Interferon-related developmental regulator 1 (Nerve growth factor-inducible protein PC4)	IFRD1	Homo sapiens (Human)	451	reviewed
ENSG00000006712	Q8N7H5	PAF1_HUMAN	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	PAF1 PD2	Homo sapiens (Human)	531	reviewed
ENSG00000006831	Q86V24	PAQR2_HUMAN	Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II)	ADIPOR2 PAQR2	Homo sapiens (Human)	386	reviewed
ENSG00000007080	Q96CT7	CC124_HUMAN	Coiled-coil domain-containing protein 124	CCDC124	Homo sapiens (Human)	223	reviewed
ENSG00000007168	P43034	LIS1_HUMAN	Platelet-activating factor acetylhydrolase IB subunit beta (Lissencephaly-1 protein) (LIS-1) (PAF acetylhydrolase 45 kDa subunit) (PAF-AH 45 kDa subunit) (PAF-AH alpha) (PAFAH alpha)	PAFAH1B1 LIS1 MDCR MDS PAFAHA	Homo sapiens (Human)	410	reviewed
ENSG00000007202	Q14667	BLTP2_HUMAN	Bridge-like lipid transfer protein family member 2 (Antigen MLAA-22) (Breast cancer-overexpressed gene 1 protein) (Protein hobbit homolog)	BLTP2 BCOX1 KIAA0100	Homo sapiens (Human)	2235	reviewed
ENSG00000007520	Q9UJK0	TSR3_HUMAN	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157) (20S S rRNA accumulation protein 3 homolog) (HsTsr3)	TSR3 C16orf42 UND313L	Homo sapiens (Human)	312	reviewed
ENSG00000007923	Q9NVH1	DJC11_HUMAN	DnaJ homolog subfamily C member 11	DNAJC11	Homo sapiens (Human)	559	reviewed
ENSG00000008018	P20618	PSB1_HUMAN	Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain) (Proteasome subunit beta-6) (beta-6)	PSMB1 PSC5	Homo sapiens (Human)	241	reviewed
ENSG00000008282	Q16563	SYPL1_HUMAN	Synaptophysin-like protein 1 (Pantophysin)	SYPL1 SYPL	Homo sapiens (Human)	259	reviewed
ENSG00000008294	O60271	JIP4_HUMAN	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	SPAG9 HSS KIAA0516 MAPK8IP4 SYD1 HLC6	Homo sapiens (Human)	1321	reviewed
ENSG00000008324	Q9UHA2	S18L2_HUMAN	SS18-like protein 2 (SYT homolog 2)	SS18L2	Homo sapiens (Human)	77	reviewed
ENSG00000008952	Q99442	SEC62_HUMAN	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	SEC62 TLOC1	Homo sapiens (Human)	399	reviewed
ENSG00000008988	P60866	RS20_HUMAN	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	RPS20	Homo sapiens (Human)	119	reviewed
ENSG00000009307	O75534	CSDE1_HUMAN	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798	reviewed
ENSG00000009335	Q15386	UBE3C_HUMAN	Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	Homo sapiens (Human)	1083	reviewed
ENSG00000009954	Q9UIG0	BAZ1B_HUMAN	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF	Homo sapiens (Human)	1483	reviewed
ENSG00000010017	Q96S59	RANB9_HUMAN	Ran-binding protein 9 (RanBP9) (BPM-L) (BPM90) (Ran-binding protein M) (RanBPM) (RanBP7)	RANBP9 RANBPM	Homo sapiens (Human)	729	reviewed
ENSG00000010404	P22304	IDS_HUMAN	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase) (Idursulfase) [Cleaved into: Iduronate 2-sulfatase 42 kDa chain; Iduronate 2-sulfatase 14 kDa chain]	IDS SIDS	Homo sapiens (Human)	550	reviewed
ENSG00000011007	Q14241	ELOA1_HUMAN	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	ELOA TCEB3 MSTP059	Homo sapiens (Human)	772	reviewed
ENSG00000011260	Q9Y5J1	UTP18_HUMAN	U3 small nucleolar RNA-associated protein 18 homolog (WD repeat-containing protein 50)	UTP18 WDR50 CDABP0061 CGI-48	Homo sapiens (Human)	556	reviewed
ENSG00000011275	Q9NWF9	RN216_HUMAN	E3 ubiquitin-protein ligase RNF216 (EC 2.3.2.27) (RING finger protein 216) (RING-type E3 ubiquitin transferase RNF216) (Triad domain-containing protein 3) (Ubiquitin-conjugating enzyme 7-interacting protein 1) (Zinc finger protein inhibiting NF-kappa-B)	RNF216 TRIAD3 UBCE7IP1 ZIN	Homo sapiens (Human)	866	reviewed
ENSG00000011454	Q9Y3P9	RBGP1_HUMAN	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	RABGAP1 HSPC094	Homo sapiens (Human)	1069	reviewed
ENSG00000011485	P53041	PPP5_HUMAN	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	Homo sapiens (Human)	499	reviewed
ENSG00000012822	Q9P1Z2	CACO1_HUMAN	Calcium-binding and coiled-coil domain-containing protein 1 (Calphoglin) (Coiled-coil coactivator protein) (Sarcoma antigen NY-SAR-3)	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	Homo sapiens (Human)	691	reviewed
ENSG00000014123	O94874	UFL1_HUMAN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD	Homo sapiens (Human)	794	reviewed
ENSG00000014164	Q8IXZ2	ZC3H3_HUMAN	Zinc finger CCCH domain-containing protein 3 (Smad-interacting CPSF-like factor)	ZC3H3 KIAA0150 SMICL ZC3HDC3	Homo sapiens (Human)	948	reviewed
ENSG00000014824	Q6PML9	ZNT9_HUMAN	Proton-coupled zinc antiporter SLC30A9, mitochondrial (Human embryonic lung protein) (HuEL) (Solute carrier family 30 member 9) (Zinc transporter 9) (ZnT-9)	SLC30A9 C4orf1 HUEL	Homo sapiens (Human)	568	reviewed
ENSG00000014919	Q7KZN9	COX15_HUMAN	Heme A synthase COX15 (HAS) (EC 1.17.99.9) (Cytochrome c oxidase assembly protein COX15 homolog)	COX15	Homo sapiens (Human)	410	reviewed
ENSG00000017797	Q15311	RBP1_HUMAN	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)	RALBP1 RLIP RLIP1 RLIP76	Homo sapiens (Human)	655	reviewed
ENSG00000019995	Q9UGI0	ZRAN1_HUMAN	Ubiquitin thioesterase ZRANB1 (EC 3.4.19.12) (TRAF-binding domain-containing protein) (hTrabid) (Zinc finger Ran-binding domain-containing protein 1)	ZRANB1 TRABID	Homo sapiens (Human)	708	reviewed
ENSG00000020426	P51948	MAT1_HUMAN	CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36)	MNAT1 CAP35 MAT1 RNF66	Homo sapiens (Human)	309	reviewed
ENSG00000022277	Q9BY42	RTF2_HUMAN	Replication termination factor 2 (RTF2) (Replication termination factor 2 domain-containing protein 1)	RTF2 C20orf43 RTFDC1 AD-007 CDA05 HSPC164 HSPC169	Homo sapiens (Human)	306	reviewed
ENSG00000022840	Q8N5U6	RNF10_HUMAN	E3 ubiquitin-protein ligase RNF10 (EC 2.3.2.27) (RING finger protein 10)	RNF10 KIAA0262 RIE2	Homo sapiens (Human)	811	reviewed
ENSG00000023041	Q9H6R6	ZDHC6_HUMAN	Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376)	ZDHHC6 ZNF376	Homo sapiens (Human)	413	reviewed
ENSG00000023318	Q9BS26	ERP44_HUMAN	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075	Homo sapiens (Human)	406	reviewed
ENSG00000023572	Q9NS18	GLRX2_HUMAN	Glutaredoxin-2, mitochondrial	GLRX2 GRX2 CGI-133	Homo sapiens (Human)	164	reviewed
ENSG00000023734	Q9Y3F4	STRAP_HUMAN	Serine-threonine kinase receptor-associated protein (MAP activator with WD repeats) (UNR-interacting protein) (WD-40 repeat protein PT-WD)	STRAP MAWD UNRIP	Homo sapiens (Human)	350	reviewed
ENSG00000025800	O60684	IMA7_HUMAN	Importin subunit alpha-7 (Karyopherin subunit alpha-6)	KPNA6 IPOA7	Homo sapiens (Human)	536	reviewed
ENSG00000027697	P15260	INGR1_HUMAN	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	IFNGR1	Homo sapiens (Human)	489	reviewed
ENSG00000027847	Q9UBV7	B4GT7_HUMAN	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)	B4GALT7 XGALT1 UNQ748/PRO1478	Homo sapiens (Human)	327	reviewed
ENSG00000028528	Q13596	SNX1_HUMAN	Sorting nexin-1	SNX1	Homo sapiens (Human)	522	reviewed
ENSG00000030582	P28799	GRN_HUMAN	Progranulin (PGRN) (Acrogranin) (Epithelin precursor) (Glycoprotein of 88 Kda) (GP88) (Glycoprotein 88) (Granulin precursor) (PC cell-derived growth factor) (PCDGF) (Proepithelin) (PEPI) [Cleaved into: Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Epithelin-2) (Granulin B); Granulin-4 (Epithelin-1) (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)]	GRN	Homo sapiens (Human)	593	reviewed
ENSG00000031698	P49591	SYSC_HUMAN	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	SARS1 SARS SERS	Homo sapiens (Human)	514	reviewed
ENSG00000033050	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)	ABCF2 HUSSY-18	Homo sapiens (Human)	623	reviewed
ENSG00000034510	P63313	TYB10_HUMAN	Thymosin beta-10	TMSB10 PTMB10 THYB10	Homo sapiens (Human)	44	reviewed
ENSG00000034677	Q9NV58	RN19A_HUMAN	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19	Homo sapiens (Human)	838	reviewed
ENSG00000034713	P60520	GBRL2_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2	Homo sapiens (Human)	117	reviewed
ENSG00000035687	P30520	PURA2_HUMAN	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS2 ADSS	Homo sapiens (Human)	456	reviewed
ENSG00000036257	Q13618	CUL3_HUMAN	Cullin-3 (CUL-3)	CUL3 KIAA0617	Homo sapiens (Human)	768	reviewed
ENSG00000037637	Q6P3S6	FBX42_HUMAN	F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332	Homo sapiens (Human)	717	reviewed
ENSG00000039123	P42285	MTREX_HUMAN	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	MTREX DOB1 KIAA0052 MTR4 SKIV2L2	Homo sapiens (Human)	1042	reviewed
ENSG00000041802	Q9H089	LSG1_HUMAN	Large subunit GTPase 1 homolog (hLsg1) (EC 3.6.5.-)	LSG1	Homo sapiens (Human)	658	reviewed
ENSG00000042753	P53680	AP2S1_HUMAN	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1 AP17 CLAPS2	Homo sapiens (Human)	142	reviewed
ENSG00000047410	P12270	TPR_HUMAN	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	Homo sapiens (Human)	2363	reviewed
ENSG00000047849	P27816	MAP4_HUMAN	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152	reviewed
ENSG00000048544	P82664	RT10_HUMAN	Small ribosomal subunit protein uS10m (28S ribosomal protein S10, mitochondrial) (MRP-S10) (S10mt)	MRPS10 MSTP040	Homo sapiens (Human)	201	reviewed
ENSG00000049245	Q15836	VAMP3_HUMAN	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	Homo sapiens (Human)	100	reviewed
ENSG00000049449	Q15293	RCN1_HUMAN	Reticulocalbin-1	RCN1 RCN	Homo sapiens (Human)	331	reviewed
ENSG00000049656	Q96KA5	CLP1L_HUMAN	Lipid scramblase CLPTM1L (Cisplatin resistance-related protein 9) (CRR9p) (Cleft lip and palate transmembrane protein 1-like protein) (CLPTM1-like protein)	CLPTM1L CRR9	Homo sapiens (Human)	538	reviewed
ENSG00000051108	Q15011	HERP1_HUMAN	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	HERPUD1 HERP KIAA0025 MIF1	Homo sapiens (Human)	391	reviewed
ENSG00000053371	O43488	ARK72_HUMAN	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2 AFAR AFAR1 AKR7	Homo sapiens (Human)	359	reviewed
ENSG00000053372	Q9UKD2	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	MRTO4 C1orf33 MRT4	Homo sapiens (Human)	239	reviewed
ENSG00000053501	Q9NZ43	USE1_HUMAN	Vesicle transport protein USE1 (Putative MAPK-activating protein PM26) (USE1-like protein) (p31)	USE1 USE1L MDS032	Homo sapiens (Human)	259	reviewed
ENSG00000054116	O43617	TPPC3_HUMAN	Trafficking protein particle complex subunit 3 (BET3 homolog)	TRAPPC3 BET3 CDABP0066	Homo sapiens (Human)	180	reviewed
ENSG00000054118	Q9Y2W1	TR150_HUMAN	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	THRAP3 BCLAF2 TRAP150	Homo sapiens (Human)	955	reviewed
ENSG00000054965	Q92567	F168A_HUMAN	Protein FAM168A (Tongue cancer chemotherapy resistance-associated protein 1)	FAM168A KIAA0280 TCRP1	Homo sapiens (Human)	244	reviewed
ENSG00000055044	Q9Y2X3	NOP58_HUMAN	Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOL5 NOP5 HSPC120	Homo sapiens (Human)	529	reviewed
ENSG00000055130	Q13616	CUL1_HUMAN	Cullin-1 (CUL-1)	CUL1	Homo sapiens (Human)	776	reviewed
ENSG00000055211	Q9NU53	GINM1_HUMAN	Glycoprotein integral membrane protein 1	GINM1 C6orf72 UNQ710/PRO1361	Homo sapiens (Human)	330	reviewed
ENSG00000055917	Q8TB72	PUM2_HUMAN	Pumilio homolog 2 (Pumilio-2)	PUM2 KIAA0235 PUMH2	Homo sapiens (Human)	1066	reviewed
ENSG00000055950	Q8N983	RM43_HUMAN	Large ribosomal subunit protein mL43 (39S ribosomal protein L43, mitochondrial) (L43mt) (MRP-L43) (Mitochondrial ribosomal protein bMRP36a)	MRPL43	Homo sapiens (Human)	215	reviewed
ENSG00000056050	Q9NWY4	HPF1_HUMAN	Histone PARylation factor 1	HPF1 C4orf27	Homo sapiens (Human)	346	reviewed
ENSG00000056586	Q9HBD1	RC3H2_HUMAN	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	RC3H2 MNAB RNF164	Homo sapiens (Human)	1191	reviewed
ENSG00000057608	P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB	Homo sapiens (Human)	445	reviewed
ENSG00000057757	Q9GZP4	PITH1_HUMAN	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211	reviewed
ENSG00000058673	O75152	ZC11A_HUMAN	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810	reviewed
ENSG00000060237	Q9H4A3	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	WNK1 HSN2 KDP KIAA0344 PRKWNK1	Homo sapiens (Human)	2382	reviewed
ENSG00000060491	Q9NZT2	OGFR_HUMAN	Opioid growth factor receptor (OGFr) (Protein 7-60) (Zeta-type opioid receptor)	OGFR	Homo sapiens (Human)	677	reviewed
ENSG00000061936	Q12872	SFSWA_HUMAN	Splicing factor, suppressor of white-apricot homolog (Splicing factor, arginine/serine-rich 8) (Suppressor of white apricot protein homolog)	SFSWAP SFRS8 SWAP	Homo sapiens (Human)	951	reviewed
ENSG00000062194	Q86WP2	GPBP1_HUMAN	Vasculin (GC-rich promoter-binding protein 1) (Vascular wall-linked protein)	GPBP1 GPBP SSH6	Homo sapiens (Human)	473	reviewed
ENSG00000062582	Q96EL2	RT24_HUMAN	Small ribosomal subunit protein uS3m (28S ribosomal protein S24, mitochondrial) (MRP-S24) (S24mt) (bMRP-47) (bMRP47)	MRPS24 HSPC335	Homo sapiens (Human)	167	reviewed
ENSG00000063046	P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	611	reviewed
ENSG00000063177	Q07020	RL18_HUMAN	Large ribosomal subunit protein eL18 (60S ribosomal protein L18)	RPL18	Homo sapiens (Human)	188	reviewed
ENSG00000063241	Q96AB3	ISOC2_HUMAN	Isochorismatase domain-containing protein 2	ISOC2	Homo sapiens (Human)	205	reviewed
ENSG00000063244	P26368	U2AF2_HUMAN	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475	reviewed
ENSG00000063245	Q9Y6I3	EPN1_HUMAN	Epsin-1 (EH domain-binding mitotic phosphoprotein) (EPS-15-interacting protein 1)	EPN1	Homo sapiens (Human)	576	reviewed
ENSG00000063322	Q9NX70	MED29_HUMAN	Mediator of RNA polymerase II transcription subunit 29 (Intersex-like protein) (Mediator complex subunit 29)	MED29 IXL	Homo sapiens (Human)	200	reviewed
ENSG00000063854	Q16775	GLO2_HUMAN	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	HAGH GLO2 HAGH1	Homo sapiens (Human)	308	reviewed
ENSG00000064726	Q9H0C5	BTBD1_HUMAN	BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8)	BTBD1 C15orf1 NS5ATP8	Homo sapiens (Human)	482	reviewed
