species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	description	source_file
escherichia_coli_k12_mg1655	b0014	dnaK	protein_coding	Chromosome	12163	14079	1917	+	chaperone protein DnaK	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0015	dnaJ	protein_coding	Chromosome	14168	15298	1131	+	chaperone protein DnaJ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0016	insL-1	protein_coding	Chromosome	15445	16557	1113	+	IS186/IS421 transposase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4412	hokC	protein_coding	Chromosome	16751	16903	153	-	protein HokC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0018	mokC	protein_coding	Chromosome	16751	16960	210	-	regulatory protein MokC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0019	nhaA	protein_coding	Chromosome	17489	18655	1167	+	Na(+):H(+) antiporter NhaA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0020	nhaR	protein_coding	Chromosome	18715	19620	906	+	DNA-binding transcriptional activator NhaR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0021	insB-1	protein_coding	Chromosome	19811	20314	504	-	IS1 protein InsB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0022	insA-1	protein_coding	Chromosome	20233	20508	276	-	IS1 protein InsA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0023	rpsT	protein_coding	Chromosome	20815	21078	264	-	30S ribosomal subunit protein S20	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0024	yaaY	protein_coding	Chromosome	21181	21399	219	+	DUF2575 domain-containing protein YaaY	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0025	ribF	protein_coding	Chromosome	21407	22348	942	+	bifunctional riboflavin kinase/FMN adenylyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0026	ileS	protein_coding	Chromosome	22391	25207	2817	+	isoleucine--tRNA ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0027	lspA	protein_coding	Chromosome	25207	25701	495	+	lipoprotein signal peptidase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0028	fkpB	protein_coding	Chromosome	25826	26275	450	+	peptidyl-prolyl cis-trans isomerase FkpB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0029	ispH	protein_coding	Chromosome	26277	27227	951	+	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0030	rihC	protein_coding	Chromosome	27293	28207	915	+	ribonucleoside hydrolase RihC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0031	dapB	protein_coding	Chromosome	28374	29195	822	+	4-hydroxy-tetrahydrodipicolinate reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0032	carA	protein_coding	Chromosome	29651	30799	1149	+	carbamoyl phosphate synthetase subunit alpha	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0033	carB	protein_coding	Chromosome	30817	34038	3222	+	carbamoyl phosphate synthetase subunit beta	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0034	caiF	protein_coding	Chromosome	34300	34695	396	+	DNA-binding transcriptional activator CaiF	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0035	caiE	protein_coding	Chromosome	34781	35371	591	-	putative transferase CaiE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0036	caiD	protein_coding	Chromosome	35377	36162	786	-	crotonobetainyl-CoA hydratase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0037	caiC	protein_coding	Chromosome	36271	37824	1554	-	carnitine-CoA ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0038	caiB	protein_coding	Chromosome	37898	39115	1218	-	gamma-butyrobetainyl-CoA:carnitine CoA transferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0039	caiA	protein_coding	Chromosome	39244	40386	1143	-	crotonobetainyl-CoA reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0040	caiT	protein_coding	Chromosome	40417	41931	1515	-	L-carnitine:gamma-butyrobetaine antiporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0041	fixA	protein_coding	Chromosome	42403	43173	771	+	putative electron transfer flavoprotein FixA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0042	fixB	protein_coding	Chromosome	43188	44129	942	+	putative electron transfer flavoprotein FixB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0043	fixC	protein_coding	Chromosome	44180	45466	1287	+	putative oxidoreductase FixC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0044	fixX	protein_coding	Chromosome	45463	45750	288	+	putative ferredoxin FixX	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0045	yaaU	protein_coding	Chromosome	45807	47138	1332	+	putative transporter YaaU	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0046	kefF	protein_coding	Chromosome	47246	47776	531	+	regulator of KefC-mediated potassium transport and quinone oxidoreductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0047	kefC	protein_coding	Chromosome	47769	49631	1863	+	K(+) : H(+) antiporter KefC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0048	folA	protein_coding	Chromosome	49823	50302	480	+	dihydrofolate reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0049	apaH	protein_coding	Chromosome	50380	51222	843	-	diadenosine tetraphosphatase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0050	apaG	protein_coding	Chromosome	51229	51606	378	-	DUF525 domain-containing protein ApaG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0051	rsmA	protein_coding	Chromosome	51609	52430	822	-	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0052	pdxA	protein_coding	Chromosome	52427	53416	990	-	4-hydroxythreonine-4-phosphate dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0053	surA	protein_coding	Chromosome	53416	54702	1287	-	peptidyl-prolyl cis-trans isomerase SurA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0054	lptD	protein_coding	Chromosome	54755	57109	2355	-	lipopolysaccharide assembly protein LptD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0055	djlA	protein_coding	Chromosome	57364	58179	816	+	co-chaperone protein DjlA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0056	yabP	protein_coding	Chromosome	58474	59124	651	+	putative uncharacterized protein YabP	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0057	yabQ	protein_coding	Chromosome	59121	59279	159	+	protein YabQ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0058	rluA	protein_coding	Chromosome	59687	60346	660	-	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0059	rapA	protein_coding	Chromosome	60358	63264	2907	-	RNA polymerase-binding ATPase and RNAP recycling factor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0060	polB	protein_coding	Chromosome	63429	65780	2352	-	DNA polymerase II	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0061	araD	protein_coding	Chromosome	65855	66550	696	-	L-ribulose-5-phosphate 4-epimerase AraD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0062	araA	protein_coding	Chromosome	66835	68337	1503	-	L-arabinose isomerase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0063	araB	protein_coding	Chromosome	68348	70048	1701	-	ribulokinase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0064	araC	protein_coding	Chromosome	70387	71265	879	+	DNA-binding transcriptional dual regulator AraC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0065	yabI	protein_coding	Chromosome	71351	72115	765	+	DedA family protein YabI	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0066	thiQ	protein_coding	Chromosome	72229	72927	699	-	thiamine ABC transporter ATP binding subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0067	thiP	protein_coding	Chromosome	72911	74521	1611	-	thiamine ABC transporter membrane subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0068	thiB	protein_coding	Chromosome	74497	75480	984	-	thiamine ABC transporter periplasmic binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0069	sgrR	protein_coding	Chromosome	75644	77299	1656	-	DNA-binding transcriptional dual regulator SgrR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4662	sgrT	protein_coding	Chromosome	77388	77519	132	+	putative inhibitor of the PtsG glucose transporter	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0070	setA	protein_coding	Chromosome	77621	78799	1179	+	sugar exporter SetA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0071	leuD	protein_coding	Chromosome	78848	79453	606	-	3-isopropylmalate dehydratase subunit LeuD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0072	leuC	protein_coding	Chromosome	79464	80864	1401	-	3-isopropylmalate dehydratase subunit LeuC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0073	leuB	protein_coding	Chromosome	80867	81958	1092	-	3-isopropylmalate dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0074	leuA	protein_coding	Chromosome	81958	83529	1572	-	2-isopropylmalate synthase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0075	leuL	protein_coding	Chromosome	83622	83708	87	-	leu operon leader peptide	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0076	leuO	protein_coding	Chromosome	84368	85312	945	+	DNA-binding transcriptional dual regulator LeuO	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4726	yabR	protein_coding	Chromosome	85467	85511	45	-	protein YabR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0077	ilvI	protein_coding	Chromosome	85630	87354	1725	+	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0078	ilvH	protein_coding	Chromosome	87357	87848	492	+	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0080	cra	protein_coding	Chromosome	88028	89032	1005	+	DNA-binding transcriptional dual regulator Cra	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0081	mraZ	protein_coding	Chromosome	89634	90092	459	+	DNA-binding transcriptional repressor MraZ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0082	rsmH	protein_coding	Chromosome	90094	91035	942	+	16S rRNA m(4)C1402 methyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0083	ftsL	protein_coding	Chromosome	91032	91397	366	+	cell division protein FtsL	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0084	ftsI	protein_coding	Chromosome	91413	93179	1767	+	peptidoglycan DD-transpeptidase FtsI	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0085	murE	protein_coding	Chromosome	93166	94653	1488	+	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0086	murF	protein_coding	Chromosome	94650	96008	1359	+	D-alanyl-D-alanine-adding enzyme	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
